manga_plateifu,manga_mangaid,sami_CATID,sep_arcsec,manga_z,sami_z,manga_logMstar_nsa,sami_logMstar,manga_Rd_kpc,sami_Rd_kpc,manga_incl_deg,manga_dl_TType,sami_morph_type,d_logMstar,d_logRd,d_z
12075-12702,1-108250,9016800056,0.13461530130309105,0.046183188,0.0464189,10.31242922671112,10.2271,1.2758137959373987,0.820836339870071,88.66422962578828,1.7864784002304075,1.0,0.08532922671112075,0.1915307188828873,-0.00023571199999999903
12075-1901,1-108257,9016800275,0.054516169798391044,0.045055505,0.0451904,10.333586677121763,10.3501,1.1478253255149655,0.8801987099034143,29.46460177241713,-1.1569892168045044,0.0,-0.016513322878235925,0.1152950750638908,-0.000134894999999996
12685-6102,1-109817,9239900277,1.2392700001198291,0.056179114,0.0562192,10.72608845950407,10.724,2.539612241451465,2.222916193185921,20.343454706462477,-1.2611671686172483,0.0,0.0020884595040691067,0.057844322251518976,-4.008599999999474e-05
12685-9102,1-109849,9239900145,0.40090545124726445,0.056608994,0.0566802,10.799529138899684,10.7773,5.292776397487696,2.29902235479734,54.78118009785166,-1.9769729375839236,1.0,0.02222913889968403,0.36214035265562816,-7.120599999999727e-05
12685-3704,1-109872,9239900125,0.501499331516439,0.0568331,0.0567507,10.708364352661356,10.7455,1.5055415275496309,1.2206167303914888,72.0048745605216,-0.1325629949569702,1.0,-0.03713564733864416,0.0911134208940803,8.239999999999637e-05
12685-3703,1-109934,9239900588,0.9860704761276142,0.051232398,0.0512089,10.568618236177526,10.6707,2.5017737570459326,1.5353026600145985,48.54409805788025,-0.2801993787288666,1.0,-0.1020817638224738,0.21205403020670052,2.34979999999968e-05
12685-3702,1-110095,9239900167,1.0015027670810033,0.05924619,0.0593798,11.016513340565815,11.0284,5.470327982345809,2.900582011321481,56.184352784720254,-0.838747501373291,1.0,-0.01188665943418421,0.2755282166817011,-0.00013361000000000622
12685-6103,1-110139,9239900024,0.746451286115793,0.059384044,0.0595328,10.856136664851928,10.8257,,2.344673480732935,,-1.0138537883758545,1.5,0.030436664851928086,,-0.0001487559999999999
12685-12705,1-110165,9239900615,1.7191891839352145,0.06059711,0.0607269,10.661439268529223,10.5372,3.679782649770551,4.720953557409208,32.990590181632975,4.120351314544678,3.0,0.12423926852922307,-0.10820756068989112,-0.00012978999999999768
11834-1902,1-13736,65410,0.2991728026890246,0.04351376,0.04359,10.072218113680249,10.05,1.399764180546196,0.8912087881127033,37.50409895196406,-1.303147315979004,0.5,0.022218113680247953,0.1960754155012098,-7.623999999999825e-05
11834-9101,1-13738,65406,0.062315568093066376,0.04321273,0.04325,10.9887676549015,11.0,4.823019637020979,3.532740978340536,42.92557263914858,3.1150872707366943,2.0,-0.011232345098500573,0.13520723416754,-3.726999999999897e-05
11834-6102,1-14057,595088,1.0894826826824424,0.043097913,0.04304,9.839824136761806,9.72,1.9173722518318368,1.4363839563610086,57.52630768904727,4.55696964263916,3.0,0.11982413676180492,0.125435892336243,5.7912999999999715e-05
