radius_kpc,axisym_minus_mapped_mond_speed_fraction,mapped_mond_tangential_fraction,axisym_mond_tangential_fraction
2.0,0.0027490631733233517,0.15501101843472145,0.014482726730205063
2.5,0.0002158560216636296,0.17729741285366307,0.010925357009866412
3.0,0.00024675524414274896,0.14563521618633823,0.011454501847050035
3.5,5.0807238174410685e-06,0.0873695059023219,0.013364724152855946
4.0,-0.001050064590704225,0.06965594766094788,0.010648722687614165
4.5,0.00036110373431208487,0.0725453539530858,0.008622563654865956
5.0,0.00015706450538832684,0.0752563841902526,0.007824317670415576
5.5,0.00041500555989637533,0.07578379484326275,0.006967427472753603
6.0,0.0003280010654114207,0.07579835068095775,0.006250735951784494
6.5,-0.00031857330898366065,0.07470401956301073,0.006307365193701329
7.0,0.0003936569030233983,0.07226735890385969,0.0052265638431102796
7.5,0.0003043498588726212,0.0701348429087171,0.004527900068706938
8.0,0.00041204447433718094,0.06751467904084471,0.004067008532138096
8.5,0.0007701800349042554,0.0639771321768353,0.003501018368959035
9.0,0.0005990701635272266,0.06073635535938183,0.0031034128671384577
9.5,0.0009166778113816054,0.05561231466296306,0.0029758715626119407
10.0,0.0005324228760297256,0.050706767081825296,0.003025631079018886
10.5,0.000851259765593193,0.045707391339893766,0.0028789477555169187
11.0,0.0006271394996053559,0.04078385063362062,0.002684095371055388
11.5,0.0004571962286590292,0.036042598049460334,0.0024818263499009193
12.0,0.0008328773929358047,0.03218352164884053,0.0021078329385809673
12.5,0.00040667958135398585,0.027953170134821133,0.0018849219770797998
13.0,0.0007079049970810658,0.023852498687207953,0.0021422650318097093
13.5,0.00025511713409831493,0.021544214587674637,0.002241894013166264
14.0,0.00047255372661036965,0.01921981478097235,0.002300219517065267
14.5,0.0002097564916709871,0.01745390910388588,0.0023792829848019426
15.0,-6.393534779502996e-05,0.01621971704232564,0.002605083816110571
