source_identity_ids,names,surveys,prior_exposures,object_group_id,source_identities,group_holdout_key
MANGA:1-1009,1-1009,MaNGA_local_master,previously_processed_population_catalog,MANGA:1-1009,1,58a6c98bc0d2ccfdffe8f8204af0f1226bee1faafd74d05f2ec79883543ac843
MANGA:1-10166,1-10166,MaNGA_local_master,previously_processed_population_catalog,MANGA:1-10166,1,0ce4d6c426c40b638ae72a16fbfa6599ba87664349b3c304e61907f88d582d15
MANGA:1-10177,1-10177,MaNGA_local_master,previously_processed_population_catalog,MANGA:1-10177,1,8b686ed6c5cc65558345eb4d34ddff169bf5a3325a9acee9e56ebaee4adecfa4
MANGA:1-10263,1-10263,MaNGA_local_master,previously_processed_population_catalog,MANGA:1-10263,1,6f0db1756e2ed182059b980f31a9959952b14ec1c92eea2bf56af5c618f557e2
MANGA:1-1033,1-1033,MaNGA_local_master,previously_processed_population_catalog,MANGA:1-1033,1,4246c28d7db34981604d78f056c9f3a39fc2d432d57d292d02c7f69ab625fa14
MANGA:1-1037,1-1037,MaNGA_local_master,previously_processed_population_catalog,MANGA:1-1037,1,95a0ea5e1ac39436a0ea72a091190ea93948f144f3bad4eb06b280a9932db1b4
MANGA:1-10375,1-10375,MaNGA_local_master,previously_processed_population_catalog,MANGA:1-10375,1,f1ee01a34180b14b094c7f1bf3b22fa50ae68d9c9f141049dfa9fc7e6f279edd
MANGA:1-1038,1-1038,MaNGA_local_master,previously_processed_population_catalog,MANGA:1-1038,1,57beaf1db2a46671be72bdd9b6c74234af06a8fb7f16116eb31e80b0e9990af6
MANGA:1-10425,1-10425,MaNGA_local_master,previously_processed_population_catalog,MANGA:1-10425,1,eb949beda4020f5d61dd5e58f8c1b6ff6c47d59ac24aceac1be069afe4d65fca
MANGA:1-10550,1-10550,MaNGA_local_master,previously_processed_population_catalog,MANGA:1-10550,1,14639bf9beb0e2b69448aa113f6dbbbf1b7423c3c4985d062718f5e4ed74ee3d
MANGA:1-106204,1-106204,MaNGA_local_master,previously_processed_population_catalog,MANGA:1-106204,1,0f1924f6733fbb5aad7cf782647c1f0043a7bb3249b72628eb35f7686867efcd
MANGA:1-106251,1-106251,MaNGA_local_master,previously_processed_population_catalog,MANGA:1-106251,1,2190aded2f9d7ccf12c7c849235ef03dd4451876a02ad025667a73e665f55ece
MANGA:1-106338,1-106338,MaNGA_local_master,previously_processed_population_catalog,MANGA:1-106338,1,21a02ddabc7dcc2d0cd6353f93d3b23a6ad3f410db7f90a64eeedf59b73f2bc1
MANGA:1-106408,1-106408,MaNGA_local_master,previously_processed_population_catalog,MANGA:1-106408,1,8546174a08879f00c987cffdb352550007cd72f0cfdffc26b49597d89bb1dbca
MANGA:1-106411,1-106411,MaNGA_local_master,previously_processed_population_catalog,MANGA:1-106411,1,01c72e9acbaf36b6d9b9a8149f9cb6d367cdb18a5f8b80182c487473aef77b46
MANGA:1-106520,1-106520,MaNGA_local_master,previously_processed_population_catalog,MANGA:1-106520,1,f6c6e61d3af778067f0a1db9a85fba734c303da8208e7b5055b52f005c09d69c
MANGA:1-106630,1-106630,MaNGA_local_master,previously_processed_population_catalog,MANGA:1-106630,1,8129f28a3f2ef4d0ec4dd1fdb3e1b0ad1f6a4f9046ac8f24a76dba98146d5559
MANGA:1-106663,1-106663,MaNGA_local_master,previously_processed_population_catalog,MANGA:1-106663,1,560588d8d0f7412148569f6690058ade3203fe24afe6aa7f97ed96c070d42041
MANGA:1-106664,1-106664,MaNGA_local_master,previously_processed_population_catalog,MANGA:1-106664,1,34cae210e08d27b2c2c76caa1b88e629303ac5002dae31925a0f9a55257a6b25
MANGA:1-106670,1-106670,MaNGA_local_master,previously_processed_population_catalog,MANGA:1-106670,1,052e5cb25c6896d008970a664b4cb7e66847c3c1902e1aa847c556690cac6bc3
MANGA:1-106961,1-106961,MaNGA_local_master,previously_processed_population_catalog,MANGA:1-106961,1,2905a69fdbc73af26e29ae7b04e8327e9298918dbe1503493df1b97c901da96a
MANGA:1-107040,1-107040,MaNGA_local_master,previously_processed_population_catalog,MANGA:1-107040,1,e38acb535574a18d2f1da11b3ad9758fe28803f0390ba788e64540864cc1b513
MANGA:1-107452,1-107452,MaNGA_local_master,previously_processed_population_catalog,MANGA:1-107452,1,2273844470a2d5635e074615415668b59205c07977f907a291c0199e7f5a8733
MANGA:1-107505,1-107505,MaNGA_local_master,previously_processed_population_catalog,MANGA:1-107505,1,33ae4d6991ccf676928dbb92e52bcdda4cc07e0cc4fabdc9e4454eb20401a692
MANGA:1-107573,1-107573,MaNGA_local_master,previously_processed_population_catalog,MANGA:1-107573,1,df1338880561585c3a5e45ab74f036ab23090c8ce53a3cc7afd58686de39ff43
MANGA:1-10760,1-10760,MaNGA_local_master,previously_processed_population_catalog,MANGA:1-10760,1,62e3a8964b4aa4458048ca9ca6b9e727e0c212f377f3135304e284c5ed2bcba9
MANGA:1-107659,1-107659,MaNGA_local_master,previously_processed_population_catalog,MANGA:1-107659,1,37ae41b29ce945775b08df9bb160b873b459aa1df9ae5e6ff29758a16ed57ba9
MANGA:1-107761,1-107761,MaNGA_local_master,previously_processed_population_catalog,MANGA:1-107761,1,74ae14a5ebb358b203be7949987210c62c99324a1cbb4e63ac246d586bbdf8e5
MANGA:1-107835,1-107835,MaNGA_local_master,previously_processed_population_catalog,MANGA:1-107835,1,25c5fe66a6531f035d915f934277093b3a6169685787839bf3d457ca855faac1
MANGA:1-107841,1-107841,MaNGA_local_master,previously_processed_population_catalog,MANGA:1-107841,1,4a6ce1542faa4805de507eed748482fe345a883968806115563918e6707301e6
MANGA:1-107844,1-107844,MaNGA_local_master,previously_processed_population_catalog,MANGA:1-107844,1,1e04733a7039be394a1503f613fc9ac689d3516d0151182eb1fd71da261e423e
MANGA:1-10786,1-10786,MaNGA_local_master,previously_processed_population_catalog,MANGA:1-10786,1,082d727cd257f70207554f80744538ea478695aeb375aae446b5b6322ea52d21
MANGA:1-107935,1-107935,MaNGA_local_master,previously_processed_population_catalog,MANGA:1-107935,1,41a0b1b0afeb998dacb26d20227e2f7c197744d373baf0fa6f0951b50d7b9b95
MANGA:1-10794,1-10794,MaNGA_local_master,previously_processed_population_catalog,MANGA:1-10794,1,a7eb5c3f9a23c4c6810858f69527fc360a725e3f240e92d98269e58f23949af0
MANGA:1-10797,1-10797,MaNGA_local_master,previously_processed_population_catalog,MANGA:1-10797,1,4db74f2705928f884c08801d9105e6e934dbc717b919eb5fcecddd635337fe03
MANGA:1-10808,1-10808,MaNGA_local_master,previously_processed_population_catalog,MANGA:1-10808,1,437d98385d00d2aec1945f21afea545bd675d5a8c4fe67f79be5687889502212
MANGA:1-108080,1-108080,MaNGA_local_master,previously_processed_population_catalog,MANGA:1-108080,1,02bb741cba6d40b427fc40286f96401e8904a0f37d7a32d89e0ccca090d084f9
MANGA:1-1081,1-1081,MaNGA_local_master,previously_processed_population_catalog,MANGA:1-1081,1,cd7ecb61371a2957ff866558f15876af4472b91756d64b0f87a5c9acc7e646a4
MANGA:1-108124,1-108124,MaNGA_local_master,previously_processed_population_catalog,MANGA:1-108124,1,5fab1abea5de48154b93112c83a2ce3df432fc87044477f5593958837772b64f
MANGA:1-108127,1-108127,MaNGA_local_master,previously_processed_population_catalog,MANGA:1-108127,1,b6234095c4e5eb8e84085ccdd7fc6a39f7a2b4e09495653eb5931cc6c3af46e1
MANGA:1-108250,1-108250,MaNGA_local_master,previously_processed_population_catalog,MANGA:1-108250,1,30b5d41e54844658c5cab78c8f140090e866834741ad82ffb4c5f369badfe7c2
MANGA:1-108257,1-108257,MaNGA_local_master,previously_processed_population_catalog,MANGA:1-108257,1,e490d44c9d81e2ed73763fa4360ac1fb218b5d0aa3753dad7e8c89ae3c3bb68a
MANGA:1-10850,1-10850,MaNGA_local_master,previously_processed_population_catalog,MANGA:1-10850,1,4afe1426bb2f3f4b28c7fd7efa3cf1828ae0094e9ec8e0ee5b47dd04f9b9f637
MANGA:1-10856,1-10856,MaNGA_local_master,previously_processed_population_catalog,MANGA:1-10856,1,3459e896bf32d770cc1a8fb6702dab24522e1e0f6652452331cb3212463241cd
MANGA:1-10862,1-10862,MaNGA_local_master,previously_processed_population_catalog,MANGA:1-10862,1,54e01f7682b77e64a5068940650d28e681389ea0efd43ea12f848987a7ac7462
MANGA:1-108696,1-108696,MaNGA_local_master,previously_processed_population_catalog,MANGA:1-108696,1,9f2291e543f7ce05356e3a5cd5b3e0fe63daedaf51dceeb0830f5461d1af400a
MANGA:1-108698,1-108698,MaNGA_local_master,previously_processed_population_catalog,MANGA:1-108698,1,82d99a405334f5acfc84650ad0a03eafbb9f40f5de644c41f48147c5b870f913
MANGA:1-108741,1-108741,MaNGA_local_master,previously_processed_population_catalog,MANGA:1-108741,1,0f5458f302209a61482d049b364f8aa300b621fed6a6577142ee25253587b648
MANGA:1-108765,1-108765,MaNGA_local_master,previously_processed_population_catalog,MANGA:1-108765,1,4565633f2467fb1d85cbb4a43b3b6ca1e4fde6a7bc79d13c21063a97acb2dd31
MANGA:1-108881,1-108881,MaNGA_local_master,previously_processed_population_catalog,MANGA:1-108881,1,492711a1660297e828edd9af075da65f593c77aa65d3a306d7961cf069eb4f74
MANGA:1-108949,1-108949,MaNGA_local_master,previously_processed_population_catalog,MANGA:1-108949,1,613a7eb0fc8c9c7b095501fc99c6f11ad441b213ea0b2e76d38851cc0e7d339e
MANGA:1-109056,1-109056,MaNGA_local_master,previously_processed_population_catalog,MANGA:1-109056,1,2f6d80d1aa2094577d9024ace0138b0b298de2c846e90f99ec0c14893526cebf
MANGA:1-109073,1-109073,MaNGA_local_master,previously_processed_population_catalog,MANGA:1-109073,1,73fb64b1c98c4d9e74685588e21e5fde2aae8ff99587dd362e36862773a1a96d
MANGA:1-109081,1-109081,MaNGA_local_master,previously_processed_population_catalog,MANGA:1-109081,1,4a9e5d1d2c2d057e0110c49ecf2a5ef46be5b16cf38f3e1859575cf40c66dac4
MANGA:1-109112,1-109112,MaNGA_local_master,previously_processed_population_catalog,MANGA:1-109112,1,d95a83547bd40aa27bd6562ac4afaa53bef196ed96254622363707cd854755f2
MANGA:1-109152,1-109152,MaNGA_local_master,previously_processed_population_catalog,MANGA:1-109152,1,f14dbefe997378e7ab456d7e2a79b9aff8bd2dcdab5cd55114664d0e3df7eb1e
MANGA:1-109167,1-109167,MaNGA_local_master,previously_processed_population_catalog,MANGA:1-109167,1,b22d85c3eecc018e7d050f53b15d54a6cee8357b70e1f4cae282a584c72e9b1c
MANGA:1-109206,1-109206,MaNGA_local_master,previously_processed_population_catalog,MANGA:1-109206,1,a8bf7be0b50c605d579c27e06eb6b5d4211c14730c78a3925551db9955d04af8
MANGA:1-109223,1-109223,MaNGA_local_master,previously_processed_population_catalog,MANGA:1-109223,1,cbd786723257a4b42133ba89b06a4f1d444e2b769a279c4b8f3516743ea46d90
MANGA:1-109234,1-109234,MaNGA_local_master,previously_processed_population_catalog,MANGA:1-109234,1,9edccd92e26efd53d794c5a48d60fd0b305804cdc94a8d497acd0467a463cb16
MANGA:1-109244,1-109244,MaNGA_local_master,previously_processed_population_catalog,MANGA:1-109244,1,489075a315368cf81e28bf8babb317c412ee0cef7029b315eb586d9e3e18131f
MANGA:1-109250,1-109250,MaNGA_local_master,previously_processed_population_catalog,MANGA:1-109250,1,5413a4c4daba3a750e205cb5c21d28aceae5feca1e626b1850860b2dded448be
MANGA:1-109270,1-109270,MaNGA_local_master,previously_processed_population_catalog,MANGA:1-109270,1,a7b32e9fe94b1b271f3e883cc6bae73f8b69dc32d5a15a1ddeb76a1ded817d97
MANGA:1-109275,1-109275,MaNGA_local_master,previously_processed_population_catalog,MANGA:1-109275,1,c4ea8de38960684121ba681be39055ef2e628b005a633b8ba30907fc73bd1567
MANGA:1-109284,1-109284,MaNGA_local_master,previously_processed_population_catalog,MANGA:1-109284,1,6a48310e8888fd48ba110a4767cf4a524bf60913d8127af7bbf20ae4a36d46f1
MANGA:1-1093,1-1093,MaNGA_local_master,previously_processed_population_catalog,MANGA:1-1093,1,4d002a3986d7cc57bbf4126af810fe26da0a0c78b57eac2f0211517bd3b98acb
MANGA:1-109308,1-109308,MaNGA_local_master,previously_processed_population_catalog,MANGA:1-109308,1,8a5cf16424e54035e57b21c8351a176b170cbf43df1d91b88aeca43daf0024fc
MANGA:1-109356,1-109356,MaNGA_local_master,previously_processed_population_catalog,MANGA:1-109356,1,6aefe59f9d2d87250e061198248190aa51791c8a442fa609833dfa573e21dfaf
MANGA:1-109378,1-109378,MaNGA_local_master,previously_processed_population_catalog,MANGA:1-109378,1,e4b6bca51c94007a096c404403471210e407cf87917e92d27690a0d098a83d92
MANGA:1-109392,1-109392,MaNGA_local_master,previously_processed_population_catalog,MANGA:1-109392,1,cc098129aced5a2646658a46a101b7ffb47381e217076d028b101afba4019819
MANGA:1-109394,1-109394,MaNGA_local_master,previously_processed_population_catalog,MANGA:1-109394,1,c5a0521928b306c29a879ece955b6926f2e0346d63385ef76431c900b3d99e9c
MANGA:1-109419,1-109419,MaNGA_local_master,previously_processed_population_catalog,MANGA:1-109419,1,b1c378d20b582e914d5bd2159ae25a930cfe5e89de3cbcb209bc2a0ee4b20658
MANGA:1-109428,1-109428,MaNGA_local_master,previously_processed_population_catalog,MANGA:1-109428,1,8e1f4be295527eee2dcb0e429f4dc80c6eb070445af9c93a95d20e586348f69f
