atlas_identity_id,object_group_id
MANGA:1-1009,MANGA:1-1009
MANGA:1-10166,MANGA:1-10166
MANGA:1-10177,MANGA:1-10177
MANGA:1-10263,MANGA:1-10263
MANGA:1-1033,MANGA:1-1033
MANGA:1-1037,MANGA:1-1037
MANGA:1-10375,MANGA:1-10375
MANGA:1-1038,MANGA:1-1038
MANGA:1-10425,MANGA:1-10425
MANGA:1-10550,MANGA:1-10550
MANGA:1-106204,MANGA:1-106204
MANGA:1-106251,MANGA:1-106251
MANGA:1-106338,MANGA:1-106338
MANGA:1-106408,MANGA:1-106408
MANGA:1-106411,MANGA:1-106411
MANGA:1-106520,MANGA:1-106520
MANGA:1-106630,MANGA:1-106630
MANGA:1-106663,MANGA:1-106663
MANGA:1-106664,MANGA:1-106664
MANGA:1-106670,MANGA:1-106670
MANGA:1-106961,MANGA:1-106961
MANGA:1-107040,MANGA:1-107040
MANGA:1-107452,MANGA:1-107452
MANGA:1-107505,MANGA:1-107505
MANGA:1-107573,MANGA:1-107573
MANGA:1-10760,MANGA:1-10760
MANGA:1-107659,MANGA:1-107659
MANGA:1-107761,MANGA:1-107761
MANGA:1-107835,MANGA:1-107835
MANGA:1-107841,MANGA:1-107841
MANGA:1-107844,MANGA:1-107844
MANGA:1-10786,MANGA:1-10786
MANGA:1-107935,MANGA:1-107935
MANGA:1-10794,MANGA:1-10794
MANGA:1-10797,MANGA:1-10797
MANGA:1-10808,MANGA:1-10808
MANGA:1-108080,MANGA:1-108080
MANGA:1-1081,MANGA:1-1081
MANGA:1-108124,MANGA:1-108124
MANGA:1-108127,MANGA:1-108127
MANGA:1-108250,MANGA:1-108250
MANGA:1-108257,MANGA:1-108257
MANGA:1-10850,MANGA:1-10850
MANGA:1-10856,MANGA:1-10856
MANGA:1-10862,MANGA:1-10862
MANGA:1-108696,MANGA:1-108696
MANGA:1-108698,MANGA:1-108698
MANGA:1-108741,MANGA:1-108741
MANGA:1-108765,MANGA:1-108765
MANGA:1-108881,MANGA:1-108881
MANGA:1-108949,MANGA:1-108949
MANGA:1-109056,MANGA:1-109056
