name,in_void_SDSS,kappa_2phase
AT2017cfb,0.0,-1.744219862904988e-06
AT2017cfc,0.0,2.4956976932316794e-05
AT2017oz,1.0,-3.511237895087596e-05
AT2017po,0.0,1.0452191049360527e-05
ATLAS16cpu,1.0,1.7619876605455493e-05
ATLAS17ajs,0.0,2.1734370848680793e-05
ATLAS17bas,0.0,-3.7678344034725074e-07
CSS160428,0.0,3.720311269212612e-05
Gaia16acv,1.0,7.935441997111869e-05
Gaia16aki,0.0,-6.191348973174148e-05
PS15aii,1.0,4.262425445795482e-05
PS15bdr,1.0,2.6799374561389844e-05
PS15cms,1.0,6.476529873880124e-05
PS15mt,0.0,-3.702938596478266e-05
PS16aer,0.0,6.595807340629761e-05
PS16axi,1.0,7.036988719576223e-05
PS16ayd,0.0,7.501456696349308e-05
PS16cqa,0.0,-3.8851075506825304e-05
PS16el,0.0,5.150929225811599e-05
PS16fa,0.0,5.044317962203513e-05
PS17bii,0.0,-4.0944175243756924e-05
PS17tn,0.0,-2.307301336225859e-05
PS17yt,1.0,3.7117862898599e-05
PSNJ0859349,0.0,-1.3214670793615858e-05
PSNJ1204051,1.0,4.420609994003548e-06
PSNJ1602512,1.0,2.1697117303686112e-05
PTF10icb,0.0,5.985313542896719e-06
PTSS17-niq,1.0,-5.804297908810873e-05
SN2016coj,0.0,1.7703805426444192e-06
SN2016esh,0.0,4.07702660365254e-05
SN2016ixf,0.0,8.614874862788103e-05
SN2017cii,0.0,1.3950979764644123e-05
SN2017ckx,0.0,3.878068669374493e-05
SN2017coa,0.0,2.1477113750867034e-05
SN2017cpu,0.0,-1.952831662905464e-05
SN2017hn,0.0,2.282888339263708e-07
SN2017mf,0.0,3.860105797901841e-05
SN2017ms,1.0,-1.005839642103693e-05
SNF20080514-002,0.0,-4.330292194115315e-06
iPTF14bdn,0.0,1.0513037134257843e-05
iPTF16auf,0.0,4.284993799331892e-06
iPTF17dz,0.0,2.8284455376236433e-05
PGC20968,0.0,0.0002082036725113574
PGC21072,0.0,0.00015399123025952512
PGC21073,0.0,1.9009304831334416e-07
PGC21086,1.0,3.4881210193394184e-05
PGC21226,0.0,0.00019577735750561502
PGC21291,0.0,0.0001464282355487341
PGC21300,0.0,1.9408280340634703e-05
PGC21354,0.0,0.00020380155923821995
PGC21399,0.0,1.3629474644697175e-05
PGC21402,0.0,1.8567448716526982e-05
PGC21431,1.0,2.4486289322399862e-05
PGC21437,0.0,5.357197196751797e-05
PGC21475,0.0,1.3436841378226876e-05
PGC21487,0.0,8.74677316264444e-05
PGC21493,0.0,9.051953401454461e-05
PGC21515,0.0,4.421906689972285e-05
PGC21523,0.0,3.3571208787557855e-05
PGC21529,0.0,1.3783221217758982e-05
PGC21549,0.0,5.965514849740942e-05
PGC21558,0.0,9.521553792967578e-06
PGC21559,0.0,4.626030170710038e-05
PGC21577,0.0,4.7902970590442635e-05
PGC21579,0.0,7.86363494151734e-05
PGC21580,0.0,5.624324760207713e-05
PGC21585,0.0,2.1123553463684223e-07
PGC21598,0.0,8.955733791411349e-05
PGC21625,0.0,7.290424593113575e-05
PGC21654,0.0,4.532462916663084e-05
PGC21657,0.0,1.2462211142972959e-05
PGC21673,0.0,2.019459342552279e-05
PGC21676,0.0,1.5587901910673402e-05
PGC21682,0.0,6.883520079408111e-05
PGC21722,0.0,1.84355596804557e-05
PGC21723,0.0,2.5942115129193512e-05
PGC21735,0.0,6.390608890758107e-05
PGC21743,1.0,4.1144992088919484e-05
PGC21750,0.0,9.855019225515233e-05
PGC21753,0.0,8.614301178918545e-05
PGC21757,0.0,0.00013458500356953234
PGC21767,0.0,2.1389230426781952e-05
PGC21786,0.0,2.10930185871741e-05
PGC21789,0.0,4.18204035414763e-05
PGC21792,0.0,4.6464622239536346e-05
PGC21795,0.0,1.7745097109223264e-05
PGC21802,0.0,2.0831503064996426e-05
PGC21831,0.0,1.965533699522107e-05
PGC21834,0.0,6.0224154691505175e-05
PGC21847,0.0,1.7224601005228054e-05
PGC21868,0.0,8.052555290704569e-05
PGC21870,0.0,3.629739770402377e-05
PGC21890,0.0,1.0230452399932535e-05
PGC21891,0.0,1.403911401945777e-05
PGC21893,0.0,4.2797302080945284e-05
PGC21900,0.0,4.269159524540715e-05
PGC21904,0.0,5.660449063866871e-05
PGC21909,0.0,1.241761885980321e-05
PGC21910,0.0,4.197397399022974e-05
PGC21918,0.0,2.0267582385932832e-05
PGC21919,0.0,1.9210170398338198e-05
PGC21940,0.0,1.650589602711558e-05
PGC21943,0.0,4.123703157678445e-05
PGC21953,0.0,3.145813541479361e-05
PGC21976,0.0,4.435511449840195e-06
PGC22037,0.0,9.215658386446442e-05
PGC22040,0.0,4.030612091545074e-05
PGC22042,0.0,1.5452806956186324e-05
PGC22057,0.0,0.00013318720025982684
PGC22097,0.0,5.077722575801058e-05
PGC22120,0.0,8.217991492931226e-05
PGC22139,1.0,3.0340201801719565e-05
PGC22140,0.0,6.55954816322735e-05
PGC22149,0.0,0.00011018389748830129
PGC22151,0.0,1.897407806771582e-05
PGC22186,0.0,3.648355585914687e-05
PGC22188,0.0,1.9879817312030023e-05
PGC22194,0.0,0.00010589766309897205
PGC22211,1.0,6.540169216661128e-05
PGC22212,0.0,7.257569847508661e-05
PGC22217,0.0,0.00011917381934114237
PGC22222,0.0,3.403617413730351e-05
PGC22225,0.0,1.750814409445372e-05
PGC22249,0.0,4.712087105829809e-05
PGC22253,0.0,4.887531134406346e-05
PGC22257,0.0,8.361049049867372e-05
PGC22263,1.0,2.5542421106855356e-05
PGC22277,0.0,2.6521022431795425e-07
PGC22297,0.0,2.0212873116629305e-05
PGC22309,0.0,3.5209100229392285e-05
PGC22326,0.0,1.570254159315535e-05
PGC22343,0.0,1.7983572035024065e-05
PGC22350,0.0,4.233982922357488e-05
PGC22374,0.0,1.890885813231975e-05
PGC22381,0.0,1.7806541438813508e-05
PGC22383,0.0,2.7139339315268244e-05
PGC22389,0.0,1.986374106106309e-05
PGC22397,0.0,2.9311050651842527e-05
PGC22408,0.0,7.537946277489269e-05
PGC22413,1.0,2.4360426954837164e-05
PGC22416,0.0,9.113454196594563e-05
PGC22445,0.0,4.2665973658727935e-05
PGC22446,0.0,6.501746372934619e-07
PGC22447,0.0,6.759467442661019e-06
PGC22452,0.0,3.214691374591231e-05
PGC22459,0.0,1.8489810427337552e-05
PGC22473,1.0,7.906239079313096e-06
PGC22494,0.0,2.4133945647291346e-05
PGC22498,0.0,5.810818050691624e-05
PGC22509,0.0,6.761539150264748e-05
PGC22510,0.0,1.9567494289511567e-05
PGC22511,0.0,2.122832207272652e-05
PGC22554,0.0,4.840879811377338e-05
PGC22555,0.0,1.7813554809588835e-05
PGC22565,0.0,1.8479760814549135e-05
PGC22570,1.0,7.353748777653257e-06
PGC22575,1.0,4.112961682755407e-06
PGC22580,0.0,4.3451034335355815e-05
PGC22582,0.0,2.0102785923703255e-05
PGC22596,0.0,1.6182395581051035e-05
PGC22602,0.0,6.131952139510462e-05
PGC22603,0.0,3.238834909387834e-05
PGC22609,0.0,-5.887387425718141e-06
PGC22618,1.0,7.258035860810336e-06
PGC22620,0.0,5.295211288563057e-05
PGC22621,0.0,5.934395314107033e-05
PGC22630,0.0,1.9218075427298902e-05
PGC22646,0.0,5.8226372081917145e-05
PGC22672,0.0,7.556181073039458e-05
PGC22677,0.0,1.6544229074565773e-05
PGC22693,0.0,1.666587322301682e-05
PGC22706,1.0,-4.673065628938127e-06
PGC22707,0.0,4.232187522734524e-06
PGC22709,0.0,8.585965118849598e-06
PGC22719,0.0,8.383409552518254e-05
PGC22722,0.0,5.7572381858708774e-05
PGC22728,0.0,0.00013216183986973387
PGC22733,1.0,5.033060921705991e-05
PGC22747,1.0,4.9107960185052794e-05
PGC22749,0.0,2.179683796745592e-05
PGC22752,0.0,1.3462284435478025e-05
PGC22762,0.0,3.5232776752904283e-05
PGC22766,0.0,3.360414311758073e-05
PGC22770,0.0,1.9328915365879417e-05
PGC22773,1.0,6.275977762587497e-05
PGC22779,0.0,6.014630313312108e-05
PGC22791,0.0,4.51229054145481e-05
PGC22800,1.0,1.4192790052537217e-05
PGC22802,1.0,-3.499666654531971e-06
PGC22807,0.0,1.8304137148359018e-05
PGC22830,0.0,1.0129238495835805e-05
PGC22838,0.0,5.76807699641231e-06
PGC22841,1.0,0.0001064785945344955
PGC22846,0.0,5.045176776633068e-05
PGC22847,1.0,1.9491447063662493e-06
PGC22870,0.0,-8.527272688279331e-07
PGC22873,0.0,7.754351291313222e-06
PGC22880,0.0,2.115363566072935e-05
