name,v_pec_lin_kms,kappa_los,kappa_2phase,dlnn_dlnr,in_void_VoidFinder,in_void_REVOLVER
12779,94.00253816348865,-0.00010712549083994675,0.000338591968420471,22.214224637969863,0.0,0.0
12843,-17.99126008314929,0.0007781633315247927,8.762556749626671e-05,-21.49777909296449,1.0,1.0
12853,-136.3017643163309,0.00024625559744650635,-0.0005187989476789621,15.470696235986837,0.0,1.0
12860,-59.29108839672217,0.0002635601161300943,0.00011058621100167719,19.464403933411592,0.0,1.0
13727,113.36077095230841,0.0005860380610400234,-0.0011638491776801542,-20.416909831386178,1.0,1.0
14019,318.9425475692897,0.0008599057411654266,-0.0009774784362150551,17.54002952816009,1.0,1.0
14024,36.32356493017527,0.0003057557058932738,-0.00023385781573358026,-17.521717216562696,1.0,1.0
14108,140.30831135040503,-0.00015860783178674076,0.0008199978519890152,-12.844793647244275,0.0,1.0
14157,85.98124890555023,-0.0004910650708524673,0.0022064729253513404,30.083908601273915,0.0,0.0
14284,90.16125673174523,-6.378631722499625e-05,0.0016909234653300802,41.928485044236695,0.0,0.0
14451,34.158698518353226,-0.0007019743910032552,0.001634835470582923,-7.525702666718512,1.0,0.0
14782,-27.309335195315306,0.00027125629608518897,-0.00046423672590016954,-4.188061716763668,0.0,1.0
14871,-50.4221896198104,-0.00022054632424833392,0.0008485515353396988,32.093440028131404,0.0,1.0
14984,813.4840451738086,0.0007314967246441657,-0.000917809155962518,10.156563877261844,1.0,1.0
15129,199.43550916065143,0.00013515031825718773,-0.0007688124097222531,-10.823295365565386,0.0,1.0
15287,54.36286044022265,0.0013188824480581656,-0.0005454406212736492,23.57791448753174,0.0,1.0
15425,-66.7133275153457,-0.0004671766586534121,0.0013009860233847586,-8.969082160911867,1.0,0.0
15443,-28.5248994723606,-0.00016314761912380126,0.0015975202981821156,29.490791987945677,0.0,1.0
15453,-99.57598188589289,-7.515948832419417e-05,-0.0003018161847984997,7.782730401189387,1.0,1.0
15461,-64.38129586966967,0.00023562404462624555,0.0016611283662093816,-7.574573431710206,1.0,0.0
15467,782.562910713207,0.0001216249716974444,-0.0008515205005412503,22.17666489162294,1.0,1.0
15648,-67.25192633094275,0.0005228398484707653,-0.0006255532960054701,-18.917602991632137,1.0,1.0
16350,-296.5684937947005,0.001401613854122911,-0.0006800983376430042,31.985211391287315,0.0,1.0
17366,199.23012914544182,0.00027971756240523037,-0.00012737159789777638,16.13234154790037,0.0,1.0
17389,88.90296348785515,0.0007564478481658816,-2.332212353032699e-05,-8.081774198385975,0.0,1.0
17568,354.846414388411,0.00015152478225883369,-0.00036220574094890433,8.605169841236869,1.0,1.0
17605,134.64476170566778,-0.00034894021155547323,0.000858096085331893,-9.547817144560696,1.0,1.0
17801,509.3769654899725,0.0007519151536396366,-0.0007399770716144355,10.079703445716456,0.0,1.0
1794,-189.5732038014121,0.0001669982216234434,-0.00017187663273731443,0.8448163066237969,0.0,1.0
18466,-476.4807233643778,0.0003410961130093723,0.0020678778261021716,-21.461265845369294,0.0,0.0
18809,64.87326374947179,-2.4296250433150413e-05,0.000923579061336705,43.99193690343357,0.0,0.0
18835,197.65472039196803,-0.00010100322522995332,0.000806311178469777,10.383853542199235,1.0,0.0
18855,217.16043867507148,6.80987882604473e-05,0.0008651383968734242,17.698485486341976,0.0,0.0
19775,-102.46441215510299,0.00021348529522043354,-0.00026422688806517256,36.314179616674046,0.0,1.0
