side,rank,model,mean_west_held_logpdf
1,1,full_0.3,-0.36732224713475164
1,2,full_0.1,-0.36769806823704265
1,3,pixelcorr_mixture_0.0,-0.36769806823704265
1,4,pixelcorr_mixture_0.5,-0.36769806823704265
1,5,pixelcorr_mixture_0.75,-0.36769806823704265
1,6,pixelcorr_mixture_1.0,-0.36769806823704265
1,7,pixelcorr_mixture_0.25,-0.3676980682370427
1,8,bartlett_7_0.1,-0.37225873277244503
1,9,full_0.6,-0.37326732716136146
1,10,bartlett_7_0.3,-0.37543408273964735
1,11,bartlett_3_0.1,-0.3779753672069913
1,12,bartlett_3_0.3,-0.381575882714042
1,13,bartlett_1_0.1,-0.38623814134397766
1,14,bartlett_1_0.3,-0.38972209787593376
1,15,full_1.0,-0.4069329321745557
2,1,pixelcorr_mixture_0.0,-0.2714115024127496
2,2,pixelcorr_mixture_0.25,-0.2718512879380553
2,3,full_0.3,-0.2720581222037439
2,4,pixelcorr_mixture_0.5,-0.27232172411734756
2,5,pixelcorr_mixture_0.75,-0.2728234845492821
2,6,full_0.1,-0.27335731114887585
2,7,pixelcorr_mixture_1.0,-0.27335731114887585
2,8,bartlett_7_0.1,-0.27603896247706833
2,9,full_0.6,-0.27726940938452954
2,10,bartlett_7_0.3,-0.27912444282708876
2,11,bartlett_3_0.1,-0.2816413666140248
2,12,bartlett_3_0.3,-0.2851910281789339
2,13,bartlett_1_0.1,-0.2898275224032646
2,14,bartlett_1_0.3,-0.2932846166042995
2,15,full_1.0,-0.31041562886607643
4,1,pixelcorr_mixture_0.0,-0.02376635140528744
4,2,pixelcorr_mixture_0.25,-0.025408732777293202
4,3,pixelcorr_mixture_0.5,-0.02769973740396597
4,4,full_0.3,-0.028674596909928504
4,5,bartlett_7_0.1,-0.02934549254567004
4,6,full_0.6,-0.030613300979552036
4,7,pixelcorr_mixture_0.75,-0.03072230466343992
4,8,bartlett_7_0.3,-0.03201984440123961
4,9,bartlett_3_0.1,-0.03436841940353242
4,10,full_0.1,-0.03459830613212451
4,11,pixelcorr_mixture_1.0,-0.03459830613212451
4,12,bartlett_3_0.3,-0.03769750676372851
4,13,bartlett_1_0.1,-0.04218056895702484
4,14,bartlett_1_0.3,-0.04552699554888456
4,15,full_1.0,-0.06232728560868863
8,1,pixelcorr_mixture_0.0,0.36072543180185407
8,2,pixelcorr_mixture_0.25,0.35620641823682214
8,3,bartlett_7_0.1,0.35347540290197477
8,4,bartlett_7_0.3,0.35236694025298226
8,5,bartlett_3_0.1,0.35095804510628403
8,6,full_0.6,0.348734838752925
8,7,bartlett_3_0.3,0.3483116763442534
8,8,pixelcorr_mixture_0.5,0.3470908322499035
8,9,bartlett_1_0.1,0.3447897848609548
8,10,bartlett_1_0.3,0.34163744420311143
8,11,full_0.3,0.3356549696646901
8,12,pixelcorr_mixture_0.75,0.3313841517148569
8,13,full_1.0,0.32531213744695614
8,14,full_0.1,0.3042720074475638
8,15,pixelcorr_mixture_1.0,0.3042720074475638
12,1,pixelcorr_mixture_0.0,0.6452719518771283
12,2,bartlett_3_0.1,0.6347287384621734
12,3,pixelcorr_mixture_0.25,0.633841213231609
12,4,bartlett_7_0.3,0.6338234835340375
12,5,bartlett_3_0.3,0.6330001573283364
12,6,bartlett_7_0.1,0.6319367617757088
12,7,bartlett_1_0.1,0.6303351239837552
12,8,bartlett_1_0.3,0.6273701938707348
12,9,full_0.6,0.6183485154040179
12,10,full_1.0,0.6110494916711013
12,11,pixelcorr_mixture_0.5,0.6082614602707446
12,12,full_0.3,0.5622677363088783
12,13,pixelcorr_mixture_0.75,0.5553268075353138
12,14,full_0.1,0.4198440564721891
12,15,pixelcorr_mixture_1.0,0.4198440564721891
24,1,pixelcorr_mixture_0.0,1.1680083616268493
24,2,bartlett_1_0.1,1.1506633225509015
24,3,bartlett_3_0.3,1.150466481202859
24,4,bartlett_1_0.3,1.1501644649800968
24,5,pixelcorr_mixture_0.25,1.1453190227918653
24,6,bartlett_3_0.1,1.1416509468009417
24,7,full_1.0,1.135380643059574
24,8,bartlett_7_0.3,1.1303831786899339
24,9,bartlett_7_0.1,1.0948020626604387
24,10,full_0.6,1.0869241141159782
24,11,pixelcorr_mixture_0.5,1.0546367167173738
24,12,pixelcorr_mixture_0.75,0.774564874671078
24,13,full_0.3,0.7533386135637297
24,14,full_0.1,-1.018156541469771
24,15,pixelcorr_mixture_1.0,-1.018156541469771
