side,model,core,q_over_n,logpdf_per_channel,trace_second_moment
1,full_0.1,validation_r02_c07,0.9922967513252007,-0.35835980648463606,5.49712504431389
1,full_0.1,validation_r02_c08,1.0342252214859677,-0.37932404156501953,5.830283809378911
1,full_0.1,validation_r03_c05,1.033883567493959,-0.37915321456901513,5.668269311254751
1,full_0.1,validation_r03_c06,0.9972352631163827,-0.36082906238022694,5.541699850221973
1,full_0.1,validation_r04_c04,1.0244656876362797,-0.3744442746401754,5.654778842911471
1,full_0.1,validation_r04_c05,1.031102757990782,-0.37776280981742677,5.541069292989666
1,full_0.1,validation_r05_c03,0.9896008790011541,-0.3570118703226126,5.357459796203809
1,full_0.1,validation_r05_c04,1.019738467675793,-0.37208066465993206,5.607519233238239
1,full_0.1,validation_r06_c03,1.0088015832349366,-0.366612222439504,5.586566506081259
1,full_0.1,validation_r07_c02,1.0660683077326307,-0.3952455846883509,5.961158417332346
1,full_0.1,validation_r08_c02,1.0095358029885728,-0.366979332316322,5.470164229222855
1,full_0.1,validation_r09_c02,0.9616237032098633,-0.3430232824269672,5.3747232763457236
1,full_0.1,validation_r10_c01,0.9885725771435615,-0.3564977193938163,5.389602201410308
1,full_0.1,validation_r10_c02,1.0341542505520414,-0.37928855609805634,5.708356059078199
1,full_0.1,validation_r11_c02,0.9845749164661096,-0.35449888905509036,5.455242669899631
1,full_0.1,validation_r12_c02,1.047882014803243,-0.38615243822365714,5.774405719642606
1,full_0.1,validation_r13_c02,1.0164920398736907,-0.37045745075888104,5.7693054188671855
1,full_0.1,validation_r14_c02,1.019282449097211,-0.37185265537064105,5.6166431013525315
1,full_0.1,validation_r14_c03,1.0131140584787943,-0.3687684600614327,5.522997804986493
1,full_0.1,validation_r15_c03,1.0241250646642546,-0.37427396315416284,5.612635584559495
1,full_0.1,validation_r16_c04,0.9902658121293927,-0.3573443368867319,5.518638851772112
1,full_0.1,validation_r17_c05,0.9719069960904034,-0.3481649288672375,5.302981988790598
1,full_0.1,validation_r17_c06,1.0135122986338085,-0.36896758013893993,5.572937692607001
