name	normalized_identity	survey	z_lens	z_source	catalog_ra_deg	catalog_dec_deg	tractor_release	tractor_brickid	tractor_brickname	tractor_objid	tractor_type	tractor_ra_deg	tractor_dec_deg	center_separation_arcsec	reff_arcsec	reff_kpc	axis_ratio	sersic	z_luminosity_Lsun	g_minus_r	r_minus_z	max_fracflux_grz	max_fracmasked_grz	shape_signal_to_noise	minimum_flux_signal_to_noise_grz
SDSSJ0819+4534	J0819+4534	SLACS	1.940000000000e-01	4.460000000000e-01	1.248830700000e+02	4.557912000000e+01	9011	566715	1250p455	286	SER	1.248830672991e+02	4.557911163074e+01	3.104168816362e-02	3.954817533493e+00	1.274068106368e+01	7.989231110495e-01	6.000000000000e+00	1.137678649142e+11	1.220707175106e+00	6.919784135376e-01	2.014259248972e-02	6.903937458992e-02	3.976304998436e+02	2.364541576298e+02
SDSSJ1103+5322	J1103+5322	SLACS	1.580000000000e-01	7.350000000000e-01	1.657842200000e+02	5.337443000000e+01	9011	595984	1656p532	3076	SER	1.657842253755e+02	5.337443564949e+01	2.340772694503e-02	1.828212499619e+00	4.990055467036e+00	4.598301861997e-01	2.160410165787e+00	8.721527095711e+10	1.101106487351e+00	6.967079094281e-01	5.312137305737e-03	7.653106004000e-04	9.045489539523e+02	4.181323670577e+02
SDSSJ1306+0600	J1306+0600	SLACS	1.730000000000e-01	4.720000000000e-01	1.965568800000e+02	6.006140000000e+00	9010	365672	1964p060	5600	SER	1.965568889700e+02	6.006145406098e+00	3.764357620473e-02	3.574058055878e+00	1.050601269328e+01	8.717457041703e-01	5.643065929413e+00	1.224531657078e+11	1.158261926330e+00	7.522799299085e-01	2.555248737335e-01	6.880139559507e-02	5.791293101026e+02	4.048835032709e+02
SDSSJ1313+4615	J1313+4615	SLACS	1.850000000000e-01	5.140000000000e-01	1.982621600000e+02	4.625378000000e+01	9011	569938	1981p462	3031	SER	1.982621638281e+02	4.625377475815e+01	2.129442240198e-02	2.866852998734e+00	8.894023145315e+00	8.524592900684e-01	4.819855213165e+00	1.475116470452e+11	1.230922908048e+00	7.121678064009e-01	2.524373680353e-02	4.550654068589e-02	4.476287741174e+02	3.134321412592e+02
SDSSJ1318-0313	J1318-0313	SLACS	2.400000000000e-01	1.300000000000e+00	1.996638600000e+02	-3.226200000000e+00	9010	312447	1996m032	2792	SER	1.996638528378e+02	-3.226188615650e+00	4.830518197750e-02	6.832419872284e+00	2.591912257569e+01	7.106493148312e-01	4.912878036499e+00	2.449749213537e+11	1.273484230670e+00	7.540591249716e-01	2.805439755321e-02	7.219056785107e-02	4.283383194707e+02	2.874867007390e+02
SDSSJ1614+4522	J1614+4522	SLACS	1.780000000000e-01	8.110000000000e-01	2.436572500000e+02	4.538148000000e+01	9011	567048	2434p455	3635	DEV	2.436572515417e+02	4.538147748982e+01	9.220755379517e-03	2.675605058670e+00	8.048014027396e+00	8.746857623083e-01	4.000000000000e+00	9.122459078667e+10	1.192307776160e+00	7.212231102986e-01	1.176321413368e-03	4.420719668269e-02	4.766612365280e+02	2.231677880631e+02
SDSSJ1644+2625	J1644+2625	SLACS	1.370000000000e-01	6.100000000000e-01	2.511795400000e+02	2.642374000000e+01	9010	478775	2511p265	2683	SER	2.511795444089e+02	2.642374325801e+01	1.869588844119e-02	3.717986822128e+00	9.007894706191e+00	6.939753635659e-01	5.542983055115e+00	1.160680217773e+11	1.007488275686e+00	6.787868516540e-01	1.913555897772e-03	5.433353409171e-02	8.883695458586e+02	7.005781884983e+02
SDSSJ1719+2939	J1719+2939	SLACS	1.810000000000e-01	5.780000000000e-01	2.598923300000e+02	2.965730000000e+01	9010	495333	2597p297	4965	SER	2.598923344597e+02	2.965730534914e+01	2.380788801622e-02	2.408266782761e+00	7.341807884029e+00	5.691824700408e-01	5.064918994904e+00	1.087007263644e+11	1.167644670998e+00	7.257721970405e-01	1.643783040345e-02	2.336157672107e-02	5.781569785703e+02	4.558627368041e+02
SDSSJ115517.35+634622.0	J11551735+6346220	CASTLES	1.760000000000e-01	2.888000000000e+00	1.788221600000e+02	6.377280000000e+01	9011	627727	1785p637	3446	SER	1.788223854631e+02	6.377280546935e+01	3.592414921243e-01	2.036950826645e+00	6.071451317589e+00	7.342669710193e-01	6.000000000000e+00	8.755945072488e+10	9.632366713105e-01	6.175775690467e-01	3.375499248505e-01	1.229964941740e-02	5.314137943100e+02	3.109963155872e+02
SDSSJ0151+0049	J0151+0049	BELLS	5.170000000000e-01	1.364000000000e+00	2.778071000000e+01	8.191600000000e-01	9010	334799	0278p007	1129	SER	2.778071188305e+01	8.191731920182e-01	4.791245040446e-02	8.416095376015e-01	5.228682806830e+00	5.402498570926e-01	2.140650749207e+00	6.483279594837e+10	1.492286731777e+00	1.110668870589e+00	1.611123210751e-03	6.535385735333e-03	1.340818239133e+02	5.692996462586e+01
SDSSJ0747+5055	J0747+5055	BELLS	4.380000000000e-01	8.980000000000e-01	1.168505700000e+02	5.092699000000e+01	9011	587871	1169p510	1481	SER	1.168505773350e+02	5.092697994971e+01	3.983821643873e-02	1.000458955765e+00	5.673256550672e+00	9.102288907388e-01	2.741970300674e+00	1.030862711729e+11	1.532885344345e+00	1.012527921428e+00	5.240726098418e-02	1.227613259107e-02	1.333370358784e+02	5.225618342521e+01
SDSSJ0747+4448	J0747+4448	BELLS	4.370000000000e-01	8.970000000000e-01	1.168948000000e+02	4.481648000000e+01	9011	563631	1170p447	783	SER	1.168948584730e+02	4.481646480377e+01	1.590561742562e-01	1.078856229782e+00	6.109719655297e+00	7.724614749484e-01	2.121252536774e+00	6.954862633013e+10	1.495519096630e+00	1.023300555136e+00	3.950125724077e-02	9.473770856857e-03	1.016948081863e+02	3.773772988382e+01
SDSSJ0801+4727	J0801+4727	BELLS	4.830000000000e-01	1.518000000000e+00	1.202720600000e+02	4.746368000000e+01	9011	574664	1204p475	355	REX	1.202721018330e+02	4.746366697410e+01	1.120910832972e-01	4.821832776070e-01	2.888945743260e+00	1.000000000000e+00	1.000000000000e+00	5.350140043217e+10	1.323215560546e+00	9.982254915741e-01	1.347808050923e-03	5.344415083528e-03	9.482701178377e+01	3.334502235057e+01
SDSSJ0830+5116	J0830+5116	BELLS	5.300000000000e-01	1.332000000000e+00	1.277072200000e+02	5.127542000000e+01	9011	588806	1276p512	2300	SER	1.277072377091e+02	5.127533798253e+01	2.979317241899e-01	1.069515705109e+00	6.730335091152e+00	6.292521408680e-01	2.263800382614e+00	1.092938135197e+11	1.380931508254e+00	1.246645505522e+00	9.915164113045e-02	9.300402365625e-03	8.630651181033e+01	3.701612151900e+01
SDSSJ0944-0147	J0944-0147	BELLS	5.390000000000e-01	1.179000000000e+00	1.461144600000e+02	-1.795130000000e+00	9010	320872	1461m017	3106	DEV	1.461145058548e+02	-1.795179120186e+00	2.418776752959e-01	8.502095341682e-01	5.396270991098e+00	9.679094769149e-01	4.000000000000e+00	8.030681837764e+10	1.625987873830e+00	1.183539476840e+00	3.514991700649e-02	3.364224731922e-02	8.352179581372e+01	3.252843262117e+01
SDSSJ1159-0007	J1159-0007	BELLS	5.790000000000e-01	1.346000000000e+00	1.799359500000e+02	-1.245000000000e-01	9010	331087	1798p000	4303	DEV	1.799359789031e+02	-1.245068059181e-01	1.068706365922e-01	1.343730688095e+00	8.834115151638e+00	7.525723993369e-01	4.000000000000e+00	1.347910742743e+11	1.132642850180e+00	1.171116810580e+00	2.257873862982e-01	9.663529694080e-02	9.519612028980e+01	6.686733020826e+01
SDSSJ1215+0047	J1215+0047	BELLS	6.420000000000e-01	1.297000000000e+00	1.837685100000e+02	7.905700000000e-01	9010	335423	1838p007	471	DEV	1.837685096523e+02	7.905779676422e-01	2.866849352685e-02	9.858087301254e-01	6.794329152149e+00	7.285739830677e-01	4.000000000000e+00	1.487942520288e+11	1.261961974053e+00	1.440601631380e+00	4.390944838524e-01	5.632510408759e-02	8.569524712994e+01	4.814394184371e+01
SDSSJ1221+3806	J1221+3806	BELLS	5.350000000000e-01	1.284000000000e+00	1.854663300000e+02	3.810292000000e+01	9011	534584	1855p380	1050	DEV	1.854663316610e+02	3.810293627788e+01	5.880114577060e-02	1.074115157127e+00	6.791715825004e+00	8.185622646131e-01	4.000000000000e+00	8.239452323714e+10	1.323010453196e+00	1.086333360486e+00	7.646916806698e-02	3.575964644551e-02	6.539022354083e+01	3.033421338327e+01
SDSSJ1234-0241	J1234-0241	BELLS	4.900000000000e-01	1.016000000000e+00	1.886166200000e+02	-2.691550000000e+00	9010	315282	1886m027	1987	REX	1.886166073150e+02	-2.691572736049e+00	9.373174885164e-02	8.532738089561e-01	5.152387476160e+00	1.000000000000e+00	1.000000000000e+00	8.455359251348e+10	1.528603741754e+00	9.920849832395e-01	1.248770952225e-02	4.886598326266e-03	1.380344705939e+02	4.808127652404e+01
SDSSJ1318-0104	J1318-0104	BELLS	6.590000000000e-01	1.396000000000e+00	1.996224600000e+02	-1.072670000000e+00	9010	325406	1996m010	2865	REX	1.996224706721e+02	-1.072673541128e+00	4.054337235848e-02	6.833997368813e-01	4.763402769744e+00	1.000000000000e+00	1.000000000000e+00	1.065320443751e+11	1.390167701738e+00	1.325619647041e+00	2.831948548555e-02	1.472005061805e-02	8.464963669152e+01	3.107556651108e+01
SDSSJ1349+3612	J1349+3612	BELLS	4.400000000000e-01	8.930000000000e-01	2.072929200000e+02	3.621104000000e+01	9011	526598	2073p362	949	SER	2.072929271625e+02	3.621107815340e+01	1.388906833881e-01	2.292061567307e+00	1.303179078247e+01	6.083967113445e-01	3.060492277145e+00	1.439289176342e+11	1.571451959505e+00	1.058497569533e+00	2.385557591915e-01	2.972244657576e-02	1.513431564123e+02	5.020690462606e+01
SDSSJ1352+3216	J1352+3216	BELLS	4.630000000000e-01	1.034000000000e+00	2.080791300000e+02	3.228105000000e+01	9010	507519	2081p322	847	SER	2.080791376891e+02	3.228105774019e+01	3.636714965711e-02	2.356141090393e+00	1.379026496336e+01	5.857414213150e-01	6.000000000000e+00	9.960890247366e+10	1.449270356698e+00	9.435165244754e-01	1.329632401466e-01	7.752843201160e-02	2.394850152820e+02	5.796907706641e+01
SDSSJ1522+2910	J1522+2910	BELLS	5.550000000000e-01	1.311000000000e+00	2.305397300000e+02	2.917275000000e+01	9010	492721	2305p292	3460	SER	2.305397391167e+02	2.917274917671e+01	2.883278423304e-02	8.883267641068e-01	5.721226059018e+00	6.157761298611e-01	1.709531664848e+00	9.098957644385e+10	1.121197354809e+00	1.194480617167e+00	9.440516680479e-02	2.475535683334e-02	7.990787574180e+01	4.748438743779e+01
SDSSJ1541+1812	J1541+1812	BELLS	5.600000000000e-01	1.113000000000e+00	2.353273400000e+02	1.820975000000e+01	9010	434751	2353p182	3051	REX	2.353273351937e+02	1.820973867459e+01	4.389957639995e-02	6.136395931244e-01	3.969608705078e+00	1.000000000000e+00	1.000000000000e+00	8.133143013014e+10	1.400959814778e+00	1.234359302021e+00	0.000000000000e+00	5.956742912531e-03	9.207590894548e+01	3.606506125225e+01
SDSSJ1542+1629	J1542+1629	BELLS	3.520000000000e-01	1.023000000000e+00	2.356930600000e+02	1.649771000000e+01	9010	425120	2356p165	3998	SER	2.356930720248e+02	1.649771904912e+01	5.279055816445e-02	1.848873138428e+00	9.166828645838e+00	8.856953318779e-01	6.000000000000e+00	1.165714827253e+11	1.616036344594e+00	8.737649031942e-01	9.079337120056e-02	4.786423966289e-02	1.665718892644e+02	9.162802007953e+01
