Name	thetaE	e_thetaE	sigma	E_sigma	e_sigma	f_sigma
SDSSJ023740.63-064112.9	0.650		290	89	89	
SDSSJ074249.68+334148.9	1.220		218	28	28	
SDSSJ0747+4448	0.610		281	52	52	
SDSSJ0801+4727	0.490		98	24	24	
SDSSJ0819+4534	0.850		225	15	15	
SDSSJ0830+5116	1.140		268	36	36	
SDSSJ0841+3824	1.410		225	8	8	
SDSSJ085621.59+201040.5	0.980		334	54	54	
SDSSJ091807.86+451856.7	0.770		119	61	61	
SDSSJ091859.21+510452.5	1.600		298	49	49	
SDSSJ0944-0147	0.720		204	34	34	
SDSSJ1103+5322	1.020		196	12	12	
SDSSJ111027.11+280838.4	0.980		191	39	39	
SDSSJ111634.55+091503.0	1.030		274	55	55	
SDSSJ114154.71+221628.8	1.270		285	44	44	
SDSSJ115517.35+634622.0	0.760		190	27	27	a
SDSSJ1159-0007	0.680		165	41	41	
SDSSJ120159.02+474323.2	1.180		239	43	43	
SDSSJ1215+0047	1.370		262	45	45	
SDSSJ1221+3806	0.700		187	48	48	
SDSSJ122656.45+545739.0	1.370		248	26	26	
SDSSJ1234-0241	0.530		122	31	31	
SDSSJ1306+0600	1.320		237	17	17	
SDSSJ1313+4615	1.370		221	17	17	
SDSSJ1318-0104	0.680		177	27	27	
SDSSJ1318-0313	1.580		213	18	18	
SDSSJ1330-0148	0.870		185	9	9	
SDSSJ1349+3612	0.750		178	18	18	
SDSSJ1352+3216	1.820		161	21	21	
SDSSJ1522+2910	0.740		166	27	27	
SDSSJ1542+1629	1.040		210	16	16	
SDSSJ1614+4522	0.840		182	13	13	
SDSSJ1631+1854	1.630		272	14	14	
SDSSJ222825.76+120503.9	1.280		255	50	50	
SDSSJ2303+0037	1.020		274	31	31	
SDSSJ234248.68-012032.5	1.110		274	43	43	
SL2SJ023307-043838	1.770	0.06	204	21	21	
SL2SJ085559-040917	1.360	0.10	281	22	22	
SL2SJ141137+565119	0.930	0.03	214	23	23	
SL2SJ142031+525822	0.960	0.14	246	23	23	
