# ID    RA_GAIA     DEC_GAIA     z_spec cat     
  14.5  39.9576454  -1.5804847   4.248  Gold    
  15.1  39.9713021  -1.5806761   3.1309 Gold    
  15.2  39.9718938  -1.5870503   3.1309 Gold    
  15.3  39.9710233  -1.5777725   3.1309 Gold    
  15.4  39.9839804  -1.5784756   3.1309 Gold    
  15.5  39.9587242  -1.5805342   3.1309 Gold    
  15.6  39.9703633  -1.5696586   3.7084 Bronze  
  15.7  39.9704225  -1.5689636   3.7084 Bronze  
  16.1  39.9639083  -1.5880608   3.7084 Bronze  
  16.2  39.9659417  -1.5892025   3.7084 Bronze  
  16.3  39.9843737  -1.5841461   3.7084 Bronze  
  17.1  39.969745   -1.5885628   3.7084 Gold    
  17.2  39.9853813  -1.5808725   3.7084 Gold    
  17.3  39.9602075  -1.5836708   3.7743 Gold    
  18.1  39.9758029  -1.5870847   ""     Gold    
  18.2  39.9814533  -1.5821003   3.7743 Gold    
  18.3  39.9573383  -1.5821069   4.2567 Gold    
  19.1  39.9719721  -1.5878997   4.2567 Gold    
  19.2  39.98512    -1.5791253   4.2567 Gold    
  19.3  39.9582908  -1.5813244   4.4296 Gold    
  20.1  39.9652637  -1.5878339   4.4296 Gold    
  20.2  39.9635821  -1.5868906   4.4296 Gold    
  21.1  39.96658    -1.5846392   5.6493 Gold    
  21.2  39.9672304  -1.5849958   5.6493 Gold    
  21.3  39.9812754  -1.5817044   5.6493 Gold    
  22.1  39.9743821  -1.5861278   5.7505 Gold    
  22.2  39.9816538  -1.5797064   5.7505 Gold    
  22.3  39.9578796  -1.5810308   1.2567 Gold    
  23.1  39.9800854  -1.5667464   1.2567 Gold    
  23.2  39.9572875  -1.5727639   1.2567 Gold    
  23.3  39.9771383  -1.5662947   3.1309 Gold    
  24.1  39.9630854  -1.5706192   3.1309 Gold    
  24.2  39.9620154  -1.5723669   3.1309 Gold    
  25.1  39.9870617  -1.5791297   5.9386 Gold    
  25.2  39.9616804  -1.58323     5.9386 Gold    
  25.3  39.9669542  -1.58682     5.9386 Bronze  
  26.1  39.9799088  -1.5714144   4.916  Gold    
  26.2  39.9744404  -1.5681225   4.916  Gold    
  26.3  39.9571404  -1.5769786   3.8145 Gold    
  27.1  39.9806642  -1.5711467   3.8145 Gold    
  27.2  39.9582621  -1.5759297   3.8145 Gold    
  27.3  39.9724358  -1.5671872   3.9359 Gold    
  28.1  39.9634754  -1.5822975   3.9359 Gold    
  28.2  39.9670362  -1.5845764   3.9359 Gold    
  28.3  39.9877921  -1.5774778   3.0161 Gold    
  29.1  39.9683996  -1.5646775   3.0161 Gold    
  29.2  39.9834487  -1.5673414   3.0161 Gold    
  29.3  39.9608812  -1.5690275   2.9101 Bronze  
  30.1  39.9834304  -1.5704758   2.9101 Gold    
  30.2  39.972385   -1.5663864   2.9101 Gold    
  31.1  39.9747225  -1.56935     4.4897 Platinum
  31.2  39.9806392  -1.5747547   4.4897 Platinum
  31.3  39.9561283  -1.5786986   4.4897 Platinum
  32.1  39.9662563  -1.5693647   5.6459 Platinum
  32.2  39.9880692  -1.5752072   5.6459 Platinum
  32.3  39.9606542  -1.5783994   5.4476 Platinum
  33.1  39.9626942  -1.5860236   5.4476 Platinum
  33.2  39.9661875  -1.5880161   5.4476 Platinum
  34.1  39.9700792  -1.57017     4.4953 Platinum
  34.2  39.9717783  -1.5880806   4.4953 Platinum
  34.3  39.9585496  -1.58173     4.4953 Platinum
  34.4  39.9850283  -1.5795869   4.882  Platinum
  35.1  39.9815012  -1.5658867   4.882  Gold    
  35.2  39.9757975  -1.5644658   5.2437 Gold    
  36.1  39.9624154  -1.5807297   5.2437 Platinum
  36.2  39.9659683  -1.5844044   5.2437 Platinum
  37.1  39.9703633  -1.5688142   5.2437 Gold    
  37.2  39.9704004  -1.5694403   6.1735 Gold    
  38.1  39.9771413  -1.5738247   6.1735 Gold    
  38.2  39.9750446  -1.5721444   6.2855 Gold    
  39.1  39.9705183  -1.5694      6.2855 Platinum
  39.2  39.9699492  -1.5700567   5.6489 Platinum
  39.3  39.9851954  -1.5794086   5.6489 Platinum
  39.4  39.9713675  -1.58804     3.2    Platinum
  40.1  39.9706042  -1.5710592   3.2    Bronze  
  40.2  39.9831342  -1.5796864   4.9441 Bronze  
  40.3  39.9733554  -1.5874664   4.9441 Bronze  
  40.4  39.9579392  -1.5815281   4.9441 Bronze  
  41.1  39.9654142  -1.5780336   4.9441 Silver  
  41.2  39.9679125  -1.5773672   4.3381 Silver  
  41.3  39.9822625  -1.5769978   4.3381 Silver  
  42.1  39.9635483  -1.5656736   4.3381 Gold    
  42.2  39.9629537  -1.5661528   4.3381 Gold    
  42.3  39.9633704  -1.5659692   ""     Gold    
  43.1  39.9621412  -1.5752242   ""     Silver  
  43.2  39.9840879  -1.5733489   ""     Silver  
  43.3  39.9664579  -1.5697486   1.0315 Silver  
  44.1  39.9775571  -1.5829439   1.0315 Silver  
  44.2  39.9766142  -1.58364     1.0315 Silver  
  45.1  39.9824012  -1.5811089   ""     Silver  
  45.2  39.9758425  -1.5872883   ""     Silver  
  46.1  39.9846067  -1.5817964   ""     Silver  
  46.2  39.9679179  -1.5881267   ""     Silver  
  46.3  39.9620708  -1.5849878   ""     Silver  
  47.1  39.9855833  -1.5722589   ""     Bronze  
  47.2  39.9663708  -1.5688358   ""     Bronze  
  47.3  39.9611417  -1.575295    ""     Bronze  
  48.1  39.9634412  -1.5700494   ""     Bronze  
  48.2  39.9610454  -1.5741261   ""     Bronze  
  49.1  39.9692275  -1.5664692   ""     Bronze  
  49.2  39.9583675  -1.5766606   ""     Bronze  
  50.1  39.9643442  -1.5713669   ""     Bronze  
  50.2  39.9623854  -1.5755917   ""     Bronze  
  51.1  39.9845238  -1.5814008   ""     Bronze  
  51.2  39.9708171  -1.5886561   ""     Bronze  
  51.3  39.9597875  -1.5834939   ""     Bronze  
  52.1  39.9817913  -1.5815261   ""     Bronze  
  52.2  39.9735958  -1.5873775   ""     Bronze  
  53.1  39.9788721  -1.5801744   ""     Bronze  
  53.2  39.9763837  -1.5831356   ""     Bronze  
  54.1  39.9793042  -1.5754683   ""     Bronze  
  54.2  39.9742812  -1.5712231   ""     Bronze  
  55.1  39.9778054  -1.5686714   ""     Bronze  
  55.2  39.9771721  -1.5683728   ""     Bronze  
  56.1  39.9829604  -1.5708731   ""     Silver  
  56.2  39.9688792  -1.5671342   ""     Silver  
  56.3  39.9605162  -1.5741211   ""     Silver  
  57.1  39.976355   -1.5822269   ""     Bronze  
  57.2  39.9626763  -1.5822761   ""     Bronze  
  58.1  39.9611417  -1.5752947   ""     Bronze  
  58.2  39.9837667  -1.5729164   ""     Bronze  
  58.3  39.9675271  -1.5689503   ""     Bronze  
