C:\Users\henry\AppData\Local\Programs\Python\Python313\Lib\site-packages\cupyx\jit\_interface.py:173: FutureWarning: cupyx.jit.rawkernel is experimental. The interface can change in the future.
  cupy._util.experimental('cupyx.jit.rawkernel')
DDO154: noise 0.490 mJy/beam; support IoU 0.842; lag1 0.195
IC2574: noise 0.579 mJy/beam; support IoU 0.866; lag1 0.241
WARNING: VerifyWarning: Invalid 'BLANK' keyword in header.  The 'BLANK' keyword is only applicable to integer data, and will be ignored in this HDU. [astropy.io.fits.hdu.image]
NGC2841: noise 0.353 mJy/beam; support IoU 0.746; lag1 0.213
NGC2903: noise 0.428 mJy/beam; support IoU 0.817; lag1 0.264
NGC2976: noise 0.360 mJy/beam; support IoU 0.672; lag1 0.247
NGC3198: noise 0.344 mJy/beam; support IoU 0.723; lag1 0.229
NGC3521: noise 0.407 mJy/beam; support IoU 0.827; lag1 0.204
NGC4214: noise 0.634 mJy/beam; support IoU 0.863; lag1 0.302
NGC5055: noise 0.385 mJy/beam; support IoU 0.878; lag1 0.305
NGC6946: noise 0.604 mJy/beam; support IoU 0.753; lag1 0.240
NGC7331: noise 0.453 mJy/beam; support IoU 0.496; lag1 0.400
UGC04305: noise 0.943 mJy/beam; support IoU 0.817; lag1 0.209
