galaxy,previous_status,input_image,image_sha256,input_catalog,catalog_sha256,finite_pixel_fraction,previous_stars,finite_footprint_stars,unsupported_stars,finite_calibration,finite_validation,original_distance_replay_max_arcsec,peak_count,highpass_noise,footprint_strict_pass,footprint_validation_median_arcsec,footprint_validation_p90_arcsec,matched_validation_stars,validation_match_fraction,matched_validation_median_arcsec,matched_validation_p90_arcsec,chance_association_p,fitted_coordinate_parameters,cleaned_P5_transfer_validated,association_subset_is_full_astrometry_validation,note
DDO154,FAIL_OR_INSUFFICIENT,work\private\stellar-co-12gal-001\DDO154__STELLAR_IRAC1_FLUX.fits,591fae1ffb4b035d3e96882fb5d6c895a279d481ec3de0919c180b102463d68f,work\private\gaia-stellar-alignment-001\DDO154.csv,b4be736f356be00888032b383446ffdf4037245d69efeacf3b0e9b63c32b9e4f,0.4004456950955463,20,10,10,6,4,5.776656930578383e-11,669,0.008042303639673058,True,0.44241877162906484,0.5426362752649936,4,1.0,0.44241877162906484,0.5426362752649936,0.005,0,False,False,Original split and WCS preserved; strict gate is recomputed on finite footprint. Matched-subset statistics condition on a 1.5 arcsec match and cannot prove absolute registration tails.
IC2574,FAIL_OR_INSUFFICIENT,work\private\stellar-co-12gal-001\IC2574__STELLAR_IRAC1_FLUX.fits,2e7737755fcc26f39594b0fea8981ad619c3616c3ae9c5744a2d2c554ef845b8,work\private\gaia-stellar-alignment-001\IC2574.csv,63f193cc3deade9abddaf283f87a54858c48895409d24d44463f1fc1162c0f8a,0.44431772687180576,84,44,40,22,22,1.1972955960004583e-10,4267,0.00853576040487933,True,0.34132126748356006,0.4941732898630614,21,0.9545454545454546,0.34104291706202944,0.4555301120949536,0.005,0,False,False,Original split and WCS preserved; strict gate is recomputed on finite footprint. Matched-subset statistics condition on a 1.5 arcsec match and cannot prove absolute registration tails.
NGC2841,FAIL_OR_INSUFFICIENT,work\private\stellar-co-12gal-001\NGC2841__STELLAR_IRAC1_FLUX.fits,86137c3d5c8e8bd2ee0ba4a398e887462a9339b166531b510717d2bcbcde5e21,work\private\gaia-stellar-alignment-001\NGC2841.csv,d21b0eca4d47c58e6bf72dbbebcfb92c498352dcc82e6c6a7a8446befc6c374e,0.5697512890949032,47,33,14,18,15,6.702305377359608e-11,1576,0.010737675808909025,True,0.2570541341478613,0.3991643873137041,15,1.0,0.2570541341478613,0.3991643873137041,0.005,0,False,False,Original split and WCS preserved; strict gate is recomputed on finite footprint. Matched-subset statistics condition on a 1.5 arcsec match and cannot prove absolute registration tails.
NGC2903,PASS,work\private\gaia-stellar-alignment-001\NGC2903.P1.fits,e2be92c853e26ed7b67ef0115ed5328c200913eccd143bf05a2fc68fe3a564f5,work\private\gaia-stellar-alignment-001\NGC2903.csv,2426f6067a80d2477c7a571d3676489e5f2e3f63e5bfc5ed9da225c5cbcecbc9,0.6375668948157655,67,59,8,29,30,8.004655271953709e-11,4872,0.00890086389467444,True,0.14066602882437246,0.32116539596858307,30,1.0,0.14066602882437246,0.32116539596858307,0.005,0,False,False,Original split and WCS preserved; strict gate is recomputed on finite footprint. Matched-subset statistics condition on a 1.5 arcsec match and cannot prove absolute registration tails.
NGC2976,FAIL_OR_INSUFFICIENT,work\private\gaia-stellar-alignment-001\NGC2976.P1.fits,e46d58631eaf50ad4632564f55ed99a3e36271cc23f9b4b5c19e455fda823273,work\private\gaia-stellar-alignment-001\NGC2976.csv,a65ba6cb7264d7531d03fec11042fb13cbdabef39dc74f162a909e5bf65f123b,0.5211383303427262,71,37,34,17,20,5.441286310414739e-11,2008,0.009493761319320759,True,0.3039906331528165,0.6183954226337072,19,0.95,0.2995300720656923,0.563263178311184,0.005,0,False,False,Original split and WCS preserved; strict gate is recomputed on finite footprint. Matched-subset statistics condition on a 1.5 arcsec match and cannot prove absolute registration tails.
NGC3198,FAIL_OR_INSUFFICIENT,work\private\gaia-stellar-alignment-001\NGC3198.P1.fits,1e785455d3891891d192df9d4b25a61bd56de3dfe4e4cd2890c1afd018c56ddd,work\private\gaia-stellar-alignment-001\NGC3198.csv,fd9ee3b9f2b5993d5c5a96a5bc603a07841b482ea859997d5f6a66fd42032537,0.3664575194310034,39,16,23,7,9,4.568395661763702e-11,1212,0.009359986103825515,True,0.2571677405124974,0.3173607101003402,9,1.0,0.2571677405124974,0.3173607101003402,0.005,0,False,False,Original split and WCS preserved; strict gate is recomputed on finite footprint. Matched-subset statistics condition on a 1.5 arcsec match and cannot prove absolute registration tails.
NGC3521,FAIL_OR_INSUFFICIENT,work\private\gaia-stellar-alignment-001\NGC3521.P1.fits,1400254dc67ee6e95f7ebe362a9541c6b60f3f7825e485e9da15f7a31d221e8d,work\private\gaia-stellar-alignment-001\NGC3521.csv,28116f9c0aa84a3d854ae5a7505063cfb25e42292bae91e75246d242862b7866,0.5768660022148394,40,25,15,12,13,9.451234239676864e-11,2115,0.010147062953657178,True,0.23501570317004497,0.4212732344307406,12,0.9230769230769231,0.2305037234501584,0.3867036794870185,0.005,0,False,False,Original split and WCS preserved; strict gate is recomputed on finite footprint. Matched-subset statistics condition on a 1.5 arcsec match and cannot prove absolute registration tails.
NGC4214,FAIL_OR_INSUFFICIENT,work\private\gaia-stellar-alignment-001\NGC4214.P1.fits,92386672c46a7a86389e70a300e66c35ed503fc49f2541b4fc8e6defa10d4532,work\private\gaia-stellar-alignment-001\NGC4214.csv,18f0ce49e185ed4e737c3467506b01a14e155df9a2d7d01a8768441244dd3107,0.4682750695577414,17,4,13,1,3,7.405132063098563e-11,2217,0.008082443643386724,False,0.40123700687841213,0.4576524924033406,3,1.0,0.40123700687841213,0.4576524924033406,0.01,0,False,False,Original split and WCS preserved; strict gate is recomputed on finite footprint. Matched-subset statistics condition on a 1.5 arcsec match and cannot prove absolute registration tails.
NGC5055,FAIL_OR_INSUFFICIENT,work\private\stellar-co-12gal-001\NGC5055__STELLAR_IRAC1_FLUX.fits,865a781d30a9284c4b637ea06e8b626acee675b8d21bed6206817f1a3f298e69,work\private\gaia-stellar-alignment-001\NGC5055.csv,a210f6c5126bd8a561df6cc2ced703b895d466937461f2ceda1e881a37078498,0.4728990154991487,56,42,14,22,20,1.0038403441825494e-10,4016,0.010697912857650258,True,0.2341465986385139,0.49921437217958486,20,1.0,0.2341465986385139,0.49921437217958486,0.005,0,False,False,Original split and WCS preserved; strict gate is recomputed on finite footprint. Matched-subset statistics condition on a 1.5 arcsec match and cannot prove absolute registration tails.
NGC6946,FAIL_OR_INSUFFICIENT,work\private\stellar-co-12gal-001\NGC6946__STELLAR_IRAC1_FLUX.fits,f72a95796f27e6b47a408ece3f4bab41ce4b8e33e7a8f6459867c61d781bdf7d,work\private\gaia-stellar-alignment-001\NGC6946.csv,3a0e266bf1ffe9a023d46a57e332a216de10f368232bb970770cdf3f059a85c7,0.5094234934730671,147,104,43,50,54,1.1039358316367043e-10,8467,0.01772800758758984,True,0.33768043866704067,0.6854259540946258,52,0.9629629629629629,0.3343081085787619,0.6014342303202594,0.005,0,False,False,Original split and WCS preserved; strict gate is recomputed on finite footprint. Matched-subset statistics condition on a 1.5 arcsec match and cannot prove absolute registration tails.
