galaxy	response_log10_velocity	response_upper_log10_velocity	response_lower_log10_velocity	response_radius_1_4_log10_velocity	curve_shape_log_ratio	mass_quartile	mass_stratum	phase_stratum	log_mstar	log_matomic	log_mmol	log_mbar	log_lstar	log_re	log_r25	log_sfr	inclination	co_covering_fraction	rco_over_r25	co_aperture_correction	stellar_fraction	atomic_fraction	molecular_fraction	phase_entropy	atomic_molecular_boundary	stellar_gas_boundary	molecular_to_atomic	gas_to_stars	stellar_structure_mismatch	molecular_atomic_ratio_squared	phase_entropy_squared	phase_entropy_x_structure	molecular_atomic_x_structure	gas_stars_x_coverage	phase_boundary_x_coverage
IC1954	2.048265667511051	2.0526294404939347	2.0407854329757322	2.041492692977841	0.1428098028481786	q1	low_mass	atomic_dominant	9.67	8.983538908370218	8.646968585470008	9.78417023395428	0.17609125905568124	0.38021124171160603	0.7481880270062004	-0.44	57.7	0.46	0.84	1.1	0.768829017027164	0.1582590937310038	0.07291188924183223	0.6233218378818013	0.046155878054510775	0.7109238384168352	-0.3365703229002101	-0.5218964463562898	-0.020671973836756674	0.11327958225715169	0.38853011358034656	-0.012885292724571682	0.006957572909221889	-0.43839301493928345	0.03877093756578905
IC5273	1.9832606133055382	1.994020041158134	1.9724820922222062	1.9789620001415182	0.24372887873839863	q1	low_mass	atomic_dominant	9.73	9.083538908370217	8.512480751648255	9.839343942090135	0.11394335230683679	0.3979400086720376	0.7993405494535817	-0.27	44.3	0.27	0.97	1.14	0.7774206243053712	0.17546680419500102	0.04711257149962793	0.5871397757778931	0.033066769433792796	0.6921511888400728	-0.5710581567219626	-0.5431711379695034	0.05920469987251933	0.32610741835868556	0.3447331163005146	0.03476143420814846	-0.0338093267784779	-0.5268760038304183	0.032074766350779015
NGC1300	2.1001743447752474	2.1962400104139403	2.0312075631900806	2.096146919071615	0.03115747440625914	q3	high_mass	atomic_dominant	10.62	9.513538908370219	9.43278586995965	10.678137697541965	0.568201724066995	0.8129133566428556	1.2148438480476977	0.07	31.8	0.1	0.67	1.28	0.8747063965778327	0.0684543751887818	0.056839228233385386	0.42203136655011236	0.015563575419715849	0.4383804654546234	-0.08075303841056823	-0.8439334028075938	0.019919676083179117	0.006521053212538708	0.1781104743521553	0.008406728118619672	-0.0016085743678710407	-0.5654353798810878	0.01042759553120962
NGC1385	2.100163114228379	2.1462072354974118	2.0699930796051027	2.0860077433388478	0.00791338585553702	q1	low_mass	atomic_dominant	9.98	9.323538908370217	9.233002398252404	10.126012543732129	0.414973347970818	0.5314789170422551	0.9294189257142927	0.32	49.7	0.34	0.72	1.09	0.71447568956857	0.1575891687217313	0.12793514170969875	0.7231514883975079	0.08064477052931326	0.8160007143363456	-0.09053651011781255	-0.39834436492332737	-0.1082863874212443	0.008196859664312774	0.522948075171531	-0.078307462236862	0.009803871610384854	-0.2868079427447957	0.05806423478110555
NGC1546	2.223347083713257	2.2256610125725556	2.2201117943526496	2.220933073941661	0.027239093697562878	q2	low_mass	molecular_dominant	10.37	8.813538908370218	9.3186543437952	10.417904237148036	0.3222192947339193	0.3424226808222063	0.9777236052888477	-0.08	67.4	0.46	0.72	1.13	0.8955622171428917	0.024867645703521027	0.07957013715358721	0.3568599732285822	0.007914887917263927	0.374122129475999	0.5051154354249836	-0.9332381193788056	-0.20458857040439443	0.2551416031045708	0.1273490404927044	-0.0730094717573861	-0.10334084482279061	-0.67193144595274	0.005698719300430027
NGC1559	2.0186221466491983	2.065482737607383	1.9810256774794315	1.9955659651717002	0.21111113397035208	q3	high_mass	atomic_dominant	10.37	9.653538908370217	9.530898879098439	10.496114698531168	0.38021124171160603	0.5910646070264992	1.0718820073061255	0.6	54.0	0.31	1.0	1.11	0.7479719326960397	0.14368922746697932	0.10833883983698094	0.6706255025884089	0.06226849680337838	0.7540396823799629	-0.12264002927177778	-0.4724363924473612	-0.013938591177788251	0.015040576779782511	0.44973856472195606	-0.009347574713978608	0.0017094292300512946	-0.4724363924473612	0.06226849680337838
NGC1566	2.350355286163229	2.480444061281171	2.241923585255175	2.354677133334564	-0.00782330686966646	q4	high_mass	atomic_dominant	10.79	9.933538908370219	9.80193573098653	10.884105603159659	0.5910646070264992	0.505149978319906	1.2695129442179163	0.66	30.4	0.26	0.61	1.22	0.8051826289747749	0.11205553287610752	0.08276183814911763	0.5697730285410064	0.037095687502422155	0.6274542518881797	-0.13160317738368768	-0.6162667184042571	-0.3107065851992747	0.017319396297482366	0.3246413040527905	-0.177032232036625	0.040889973846260017	-0.3759226982265968	0.022628369376477515
NGC2090	2.2042846214361833	2.207734874423052	2.202334352267183	2.202031986458897	0.04067009860201369	q1	low_mass	atomic_dominant	10.04	9.503538908370217	8.662893235059958	10.164741660532268	0.2304489213782739	0.2787536009528289	0.8864907251724818	-0.39	71.7	0.44	0.53	1.47	0.7503404155579408	0.21817111332505507	0.031488471117004126	0.5976362568653497	0.02747949920200252	0.7493187053531101	-0.840645673310259	-0.4779100961729429	-0.1764872769181264	0.7066851480552586	0.35716909552002624	-0.1054751955617075	0.1483632657355325	-0.25329235097165975	0.014564134577061336
NGC2283	2.0043235237500037	2.0329646888688973	1.9854784186445387	1.9855619959293878	-0.029903737020547026	q2	low_mass	atomic_dominant	9.89	9.833538908370217	8.5800338895387	10.174897818521599	0.2787536009528289	0.505149978319906	0.7403626894942439	-0.28	44.2	0.18	1.05	1.16	0.5189221173665538	0.45566019307957206	0.025417689553874127	0.7208255741173892	0.04632731731901963	0.9985678138974654	-1.2535050188315164	-0.03288679063497032	0.001604420874395586	1.5712748322358003	0.5195895083016638	0.001156507597912122	-0.002011149618372917	-0.03453113016671883	0.048643683184970615
NGC2903	2.332019449836795	2.3359665196470627	2.32883859833281	2.3291045213450614	0.13944827983252508	q4	high_mass	atomic_dominant	10.64	9.673538908370217	9.657457907617907	10.723549329245426	0.5440680443502757	0.568201724066995	1.2405492482825997	0.49	63.5	0.28	0.75	1.18	0.8249937734162619	0.08912295528669151	0.08588327129704663	0.532500123330644	0.030616683790725935	0.5775161889626379	-0.016081000752309837	-0.6733971699376989	-0.20065827677596204	0.0002585985851957896	0.28355638134715105	-0.10685055713051429	0.0032267858997914413	-0.5050478774532742	0.02296251284304445
