structural_order,kernel_id,single_event_identifiable,discriminator_channel_count,mean_equivalence_class_size,normalized_energy_closed,computed_sort_key,empirical_rank
1,K04_DAMPED_RESONANCE,True,4,1,True,"[-1,-4,1,-1,""K04_DAMPED_RESONANCE""]",
2,K06_STOCHASTIC_OU,True,4,2,True,"[-1,-4,2,-1,""K06_STOCHASTIC_OU""]",
3,K03_BIEXPONENTIAL,True,3,1,True,"[-1,-3,1,-1,""K03_BIEXPONENTIAL""]",
4,K05_HYSTERETIC,True,3,1,False,"[-1,-3,1,0,""K05_HYSTERETIC""]",
5,K02_EXPONENTIAL,True,3,2,True,"[-1,-3,2,-1,""K02_EXPONENTIAL""]",
6,K01_RETARDED,False,1,1,False,"[0,-1,1,0,""K01_RETARDED""]",
