concept_id,driver_id,kernel_id,driver_program_sha256,driver_output_sha256,kernel_input_sha256,pipeline_program_sha256,response_sha256,response_rms,status
D01_ACC::K01_RETARDED,D01_ACC,K01_RETARDED,b8661d5284adface7d8e3d8cd7cd00335670f6d36e20a9a603592b0f2053f8b0,47dcc2e7d1508c6eb5c0792b70b1354566f25aee9046d923da69347e092811d8,47dcc2e7d1508c6eb5c0792b70b1354566f25aee9046d923da69347e092811d8,598663ba0a76a40b0f025e554723958ad75da543de9a90b684284187c8c09175,bc0bdcf1513130d868b9ec5ee84abe4424d96d6b016640f98f627da62ceac334,0.8998397374046908,EXECUTED_DRIVER_OUTPUT_AS_KERNEL_INPUT
D01_ACC::K02_EXPONENTIAL,D01_ACC,K02_EXPONENTIAL,b8661d5284adface7d8e3d8cd7cd00335670f6d36e20a9a603592b0f2053f8b0,47dcc2e7d1508c6eb5c0792b70b1354566f25aee9046d923da69347e092811d8,47dcc2e7d1508c6eb5c0792b70b1354566f25aee9046d923da69347e092811d8,ab7d6dbb9c8bffe89c1bdfe6136853cf6433df4204a3ce3107046eee11d8df70,0ed41e3d0acb2c9364ec96af9b2da0ffc336eeb8a0ca2315485bdf005d89b41d,0.901951743203415,EXECUTED_DRIVER_OUTPUT_AS_KERNEL_INPUT
D01_ACC::K03_BIEXPONENTIAL,D01_ACC,K03_BIEXPONENTIAL,b8661d5284adface7d8e3d8cd7cd00335670f6d36e20a9a603592b0f2053f8b0,47dcc2e7d1508c6eb5c0792b70b1354566f25aee9046d923da69347e092811d8,47dcc2e7d1508c6eb5c0792b70b1354566f25aee9046d923da69347e092811d8,c5c96543b534cc53c63be6a7208320dcaf78ce0ca0978b79eaf27c7cda305a2c,a60125ae7f747dbbde96de864528a063087539bdce5ed8d00696a9ec64b87aeb,0.8975778286244247,EXECUTED_DRIVER_OUTPUT_AS_KERNEL_INPUT
D01_ACC::K04_DAMPED_RESONANCE,D01_ACC,K04_DAMPED_RESONANCE,b8661d5284adface7d8e3d8cd7cd00335670f6d36e20a9a603592b0f2053f8b0,47dcc2e7d1508c6eb5c0792b70b1354566f25aee9046d923da69347e092811d8,47dcc2e7d1508c6eb5c0792b70b1354566f25aee9046d923da69347e092811d8,bfb70e4250974c3b9fbdf199e6295b67367e0e5ad85072539fce1f291c15b434,407824b344ac55f9d11c3d7cd7cc1b63c91941b4879a67f08198225d7242f391,0.8903082673410546,EXECUTED_DRIVER_OUTPUT_AS_KERNEL_INPUT
D01_ACC::K05_HYSTERETIC,D01_ACC,K05_HYSTERETIC,b8661d5284adface7d8e3d8cd7cd00335670f6d36e20a9a603592b0f2053f8b0,47dcc2e7d1508c6eb5c0792b70b1354566f25aee9046d923da69347e092811d8,47dcc2e7d1508c6eb5c0792b70b1354566f25aee9046d923da69347e092811d8,cabd25dc9cc14e04129bf6fc2f7c4fa6b48c798cd2d807b1dfcb82e50a1296af,4bd9c24871fc05f4052e5ae5bc8d7640bb0d022ce9a1d6080fbad72ae41d211c,1.0359293269547558,EXECUTED_DRIVER_OUTPUT_AS_KERNEL_INPUT
D01_ACC::K06_STOCHASTIC_OU,D01_ACC,K06_STOCHASTIC_OU,b8661d5284adface7d8e3d8cd7cd00335670f6d36e20a9a603592b0f2053f8b0,47dcc2e7d1508c6eb5c0792b70b1354566f25aee9046d923da69347e092811d8,47dcc2e7d1508c6eb5c0792b70b1354566f25aee9046d923da69347e092811d8,2ab089375c6c4c3085c5ba3bc6c6914f554cde6c09355d36905a79a52e844b7b,0ed41e3d0acb2c9364ec96af9b2da0ffc336eeb8a0ca2315485bdf005d89b41d,0.901951743203415,EXECUTED_DRIVER_OUTPUT_AS_KERNEL_INPUT
D02_POT::K01_RETARDED,D02_POT,K01_RETARDED,29b82e2c79f5489ba3ff3dc4f5ebc51b9a484cae9990d4b2b17edbd61db5be3f,5b93435756182220ddcae30c1749a512adf4f5a7984a49b1082b032746c34f93,5b93435756182220ddcae30c1749a512adf4f5a7984a49b1082b032746c34f93,0dbb89eeb31feaa0749f4c5676d851c52650b7b2096df3397edea1d6357f712e,2747c7c171c7ce81d8bd1b4b497f2ae1ac6ff590a31a4ffea249f969802c4876,0.46068015079569846,EXECUTED_DRIVER_OUTPUT_AS_KERNEL_INPUT
D02_POT::K02_EXPONENTIAL,D02_POT,K02_EXPONENTIAL,29b82e2c79f5489ba3ff3dc4f5ebc51b9a484cae9990d4b2b17edbd61db5be3f,5b93435756182220ddcae30c1749a512adf4f5a7984a49b1082b032746c34f93,5b93435756182220ddcae30c1749a512adf4f5a7984a49b1082b032746c34f93,4680e74fa3817b1f54d3fd0a562116e46e6abcce75d239e021f6b152a345654d,078c5751de49cf8f36230c93771baa43a2b9f597bf348a9d339344585af759d7,0.4550750046664083,EXECUTED_DRIVER_OUTPUT_AS_KERNEL_INPUT
D02_POT::K03_BIEXPONENTIAL,D02_POT,K03_BIEXPONENTIAL,29b82e2c79f5489ba3ff3dc4f5ebc51b9a484cae9990d4b2b17edbd61db5be3f,5b93435756182220ddcae30c1749a512adf4f5a7984a49b1082b032746c34f93,5b93435756182220ddcae30c1749a512adf4f5a7984a49b1082b032746c34f93,39c1aac792c6fbd690020ddad4ae49231d668c9956ed99d6a7360d5a2ae19b8c,79889f3aeeec3783edf49dc9693a1fa52071ef8c32544d5e9c95cc164b1c7bbb,0.44735815580900545,EXECUTED_DRIVER_OUTPUT_AS_KERNEL_INPUT
D02_POT::K04_DAMPED_RESONANCE,D02_POT,K04_DAMPED_RESONANCE,29b82e2c79f5489ba3ff3dc4f5ebc51b9a484cae9990d4b2b17edbd61db5be3f,5b93435756182220ddcae30c1749a512adf4f5a7984a49b1082b032746c34f93,5b93435756182220ddcae30c1749a512adf4f5a7984a49b1082b032746c34f93,e5bfcb7f77641b856daa972ef43424d93ea88b678c077c132444995cf5f9f6fc,08635f7393683e4c085f35e6a781def94b227a5fa6eaf7963049f9d98f3d02d3,0.4714227479161851,EXECUTED_DRIVER_OUTPUT_AS_KERNEL_INPUT
D02_POT::K05_HYSTERETIC,D02_POT,K05_HYSTERETIC,29b82e2c79f5489ba3ff3dc4f5ebc51b9a484cae9990d4b2b17edbd61db5be3f,5b93435756182220ddcae30c1749a512adf4f5a7984a49b1082b032746c34f93,5b93435756182220ddcae30c1749a512adf4f5a7984a49b1082b032746c34f93,46f9f0d4fe2599f21f93b4ed441dc85545290fefbd17598614d2a0ee3c13742d,db4b3ef3b0d4831f39a8315e74e3845d6ee23b6234a5a7415399546c034dec3e,0.6071404902006862,EXECUTED_DRIVER_OUTPUT_AS_KERNEL_INPUT
