block_id,region,grid_row,grid_column,center_y,center_x,y0,y1,x0,x1,fold
validation_r02_c07,validation,2,7,120,360,108,132,348,372,-1
validation_r02_c08,validation,2,8,120,408,108,132,396,420,-1
training_r02_c12,training,2,12,120,600,108,132,588,612,2
training_r02_c13,training,2,13,120,648,108,132,636,660,1
training_r02_c14,training,2,14,120,696,108,132,684,708,0
validation_r03_c05,validation,3,5,168,264,156,180,252,276,-1
validation_r03_c06,validation,3,6,168,312,156,180,300,324,-1
training_r03_c14,training,3,14,168,696,156,180,684,708,1
training_r03_c15,training,3,15,168,744,156,180,732,756,0
validation_r04_c04,validation,4,4,216,216,204,228,204,228,-1
validation_r04_c05,validation,4,5,216,264,204,228,252,276,-1
training_r04_c16,training,4,16,216,792,204,228,780,804,0
validation_r05_c03,validation,5,3,264,168,252,276,156,180,-1
validation_r05_c04,validation,5,4,264,216,252,276,204,228,-1
training_r05_c17,training,5,17,264,840,252,276,828,852,0
validation_r06_c03,validation,6,3,312,168,300,324,156,180,-1
training_r06_c17,training,6,17,312,840,300,324,828,852,1
training_r06_c18,training,6,18,312,888,300,324,876,900,0
validation_r07_c02,validation,7,2,360,120,348,372,108,132,-1
training_r07_c18,training,7,18,360,888,348,372,876,900,1
validation_r08_c02,validation,8,2,408,120,396,420,108,132,-1
training_r08_c18,training,8,18,408,888,396,420,876,900,2
training_r08_c19,training,8,19,408,936,396,420,924,948,1
validation_r09_c02,validation,9,2,456,120,444,468,108,132,-1
training_r09_c18,training,9,18,456,888,444,468,876,900,0
training_r09_c19,training,9,19,456,936,444,468,924,948,2
validation_r10_c01,validation,10,1,504,72,492,516,60,84,-1
validation_r10_c02,validation,10,2,504,120,492,516,108,132,-1
training_r10_c19,training,10,19,504,936,492,516,924,948,0
validation_r11_c02,validation,11,2,552,120,540,564,108,132,-1
training_r11_c19,training,11,19,552,936,540,564,924,948,1
validation_r12_c02,validation,12,2,600,120,588,612,108,132,-1
training_r12_c18,training,12,18,600,888,588,612,876,900,0
training_r12_c19,training,12,19,600,936,588,612,924,948,2
validation_r13_c02,validation,13,2,648,120,636,660,108,132,-1
training_r13_c18,training,13,18,648,888,636,660,876,900,1
validation_r14_c02,validation,14,2,696,120,684,708,108,132,-1
validation_r14_c03,validation,14,3,696,168,684,708,156,180,-1
training_r14_c18,training,14,18,696,888,684,708,876,900,2
validation_r15_c03,validation,15,3,744,168,732,756,156,180,-1
training_r15_c17,training,15,17,744,840,732,756,828,852,1
validation_r16_c04,validation,16,4,792,216,780,804,204,228,-1
training_r16_c16,training,16,16,792,792,780,804,780,804,0
training_r16_c17,training,16,17,792,840,780,804,828,852,2
validation_r17_c05,validation,17,5,840,264,828,852,252,276,-1
validation_r17_c06,validation,17,6,840,312,828,852,300,324,-1
training_r17_c15,training,17,15,840,744,828,852,732,756,2
training_r17_c16,training,17,16,840,792,828,852,780,804,1
validation_r18_c06,validation,18,6,888,312,876,900,300,324,-1
validation_r18_c07,validation,18,7,888,360,876,900,348,372,-1
validation_r18_c08,validation,18,8,888,408,876,900,396,420,-1
training_r18_c12,training,18,12,888,600,876,900,588,612,0
training_r18_c13,training,18,13,888,648,876,900,636,660,2
training_r18_c14,training,18,14,888,696,876,900,684,708,1
validation_r19_c08,validation,19,8,936,408,924,948,396,420,-1
training_r19_c12,training,19,12,936,600,924,948,588,612,1
