galaxy,stored_channel_index,inner_pixels,inner_median_jy_per_beam,inner_mad_scale_jy_per_beam,inner_upper_to_lower_90pct_tail_ratio,inner_above_3_mad_fraction,inner_below_minus3_mad_fraction,outer_pixels,outer_median_jy_per_beam,outer_mad_scale_jy_per_beam,outer_upper_to_lower_90pct_tail_ratio,outer_above_3_mad_fraction,outer_below_minus3_mad_fraction,inner_to_outer_mad_scale_ratio
IC2574,0,7842,-1.3998150279803667e-05,0.0005361561601028947,1.0543197343707196,0.0019127773527161439,0.0017852588625350675,13964,1.8932453258457826e-06,0.0005322166316897868,0.9917191971600315,0.0017903179604697795,0.002005156115726153,1.0074021144371228
IC2574,82,7842,2.7209876861888915e-05,0.0005419638554291468,1.0219066535235786,0.001530221882172915,0.0016577403723539914,13964,-1.835836337704677e-05,0.0005390063872157413,1.0328978608689015,0.0025780578630764826,0.0015038670867946148,1.0054868889934354
NGC2903,0,7842,-3.152990939270239e-05,0.0003913966328856634,1.0200305016497697,0.0026778882938026014,0.0011476664116296864,13964,5.020493517804425e-06,0.00039068479717443847,0.975121290772605,0.00121741621311945,0.001647092523632197,1.0018220205044404
NGC2903,1,7842,1.6450061593786813e-05,0.0003874485784200875,1.012466581731706,0.001530221882172915,0.00204029584289722,13964,1.5450245882675517e-06,0.0003823400753555954,1.0104300857709827,0.0014322543683758235,0.0010025780578630766,1.0133611499127864
NGC2903,2,7842,2.254178707516985e-05,0.0003977027456245053,1.01648534802713,0.002550369803621525,0.0012751849018107625,13964,-3.180493331456091e-05,0.00038597116441545123,1.0275785120955065,0.001575479805213406,0.001647092523632197,1.0303949680459197
NGC2903,84,7842,-8.207991413655691e-06,0.00039983562064456024,1.0585634941273165,0.010456516194848253,0.0007651109410864575,13964,-1.686101086306735e-06,0.00037635548432981013,0.9961725311146845,0.0010025780578630766,0.0014322543683758235,1.0623881869466099
NGC2903,85,7842,4.7168867922664504e-07,0.00038027849435902296,1.055066519715022,0.0031879622545269064,0.0017852588625350675,13964,-3.4161377016062033e-06,0.00036595230335689,1.003514950215024,0.002076768834144944,0.0007161271841879118,1.0391477000437446
NGC2903,86,7842,1.1404722499719355e-05,0.00037546016656711794,0.9902238214971979,0.0014027033919918389,0.0007651109410864575,13964,-5.233873025645153e-06,0.00036456075666542204,0.9838857257196009,0.0018619306788885707,0.0018619306788885707,1.0298973756840726
NGC2976,0,7842,-1.7906002653944597e-06,0.0003103069751511098,1.0104456288439685,0.0019127773527161439,0.0021678143330782964,13964,-7.563967983514885e-06,0.00031027160266902133,0.9999888004476781,0.002148381552563735,0.002792896018332856,1.000114004896949
NGC2976,41,7842,1.7533139953229693e-06,0.0002995718934323194,0.9772364069926828,0.0014027033919918389,0.0021678143330782964,13964,8.037290513129847e-07,0.00031297450119983916,0.9828127456692861,0.00121741621311945,0.002005156115726153,0.9571766782401164
NGC3198,0,7842,4.48662444796355e-06,0.00032482687646743976,1.0267724238714464,0.0012751849018107625,0.0019127773527161439,13964,-4.521696382653317e-06,0.0003126579032382592,0.9999232304522718,0.0017903179604697795,0.001575479805213406,1.038921047902977
NGC3198,1,7842,6.293441856541904e-07,0.00032189187999148364,1.0086327615571244,0.0019127773527161439,0.00102014792144861,13964,1.8914964527994016e-07,0.0003167215903310113,0.9994832101284785,0.0022199942709825267,0.002864508736751647,1.016324399151535
