galaxy,stored_channels,uvlin_history_groups,direct_channel_mapping,retained_historical_continuum_channels,historical_parent_fit_channels,polynomial_order,unresolved_reasons,spatial_diagnostic_status,inner_to_outer_mad_ratio_median
DDO154,57,1,True,0,46,1,,NO_RETAINED_HISTORICAL_CONTINUUM_CHANNELS,
IC2574,83,1,True,2,27,1,,HISTORICAL_CONTINUUM_CHANNEL_SPATIAL_DIAGNOSTIC,1.0064445017152792
NGC2841,132,1,False,,,,IMAGR_CHANNEL_COUNT_DIFFERS_FROM_STORED_CUBE;POST_UVLIN_PROCESSING_UNRESOLVED:MCUBE,HISTORY_MAPPING_UNRESOLVED,
NGC2903,87,1,True,6,15,1,,HISTORICAL_CONTINUUM_CHANNEL_SPATIAL_DIAGNOSTIC,1.0301461718649962
NGC2976,42,1,True,2,12,1,,HISTORICAL_CONTINUUM_CHANNEL_SPATIAL_DIAGNOSTIC,0.9786453415685328
NGC3198,72,1,True,4,25,1,,HISTORICAL_CONTINUUM_CHANNEL_SPATIAL_DIAGNOSTIC,1.027622723527256
NGC3521,109,5,False,,,,UVLIN_HISTORY_NOT_SINGLE_GROUP,HISTORY_MAPPING_UNRESOLVED,
NGC4214,102,1,True,8,13,1,,HISTORICAL_CONTINUUM_CHANNEL_SPATIAL_DIAGNOSTIC,1.011247262820024
NGC5055,87,1,True,3,12,0,,HISTORICAL_CONTINUUM_CHANNEL_SPATIAL_DIAGNOSTIC,1.0249811923963863
NGC6946,115,1,True,2,21,1,,HISTORICAL_CONTINUUM_CHANNEL_SPATIAL_DIAGNOSTIC,0.9733653132899502
NGC7331,116,2,False,,,,UVLIN_HISTORY_NOT_SINGLE_GROUP,HISTORY_MAPPING_UNRESOLVED,
UGC04305,54,1,True,2,49,1,,HISTORICAL_CONTINUUM_CHANNEL_SPATIAL_DIAGNOSTIC,0.969324962918327
