plateifu	stellar_sigma_1re	stellar_rchi2_1re	stellar_vel_lo_clip	stellar_vel_hi_clip
10214-12704	279.6443	0.9169185	0.278613	37.64393
10495-9102	262.9976	0.9064671	-57.7874	105.7759
10497-6102	262.321	0.9388568	-20.46131	45.671
10497-9101	307.8477	0.9189194	-46.82218	69.63058
10500-12705	215.505	0.9120249	-9.995654	25.43086
10500-3701	252.6095	0.9448726	-152.3577	152.8182
10506-6103	76.43626	0.904737	-82.60714	102.8047
10509-9102	252.3385	1.071452	-0.01566933	38.32159
10511-3703	90.06346	0.9018035	-90.44445	53.39515
10513-6102	136.6259	0.9938675	-94.34929	99.48234
10514-6101	123.9348	1.097294	-148.4736	186.4149
10837-1901	207.7147	1.011477	-0.167758	35.61366
10837-9101	209.1803	0.9728772	-5.975436	26.91241
11006-12704	110.0262	1.014395	-89.33514	111.3555
11011-6103	178.8101	0.8894871	-18.68184	24.43378
11012-12705	115.8336	0.9096935	-125.923	138.0653
11014-3704	55.76273	0.9832237	-38.64135	65.88074
11016-6101	161.1716	0.9859741	-100.5177	8.372602
11020-12704	234.7703	0.9056109	-27.73044	37.49173
11757-12704	175.6424	0.9172701	-227.3342	265.7852
11757-3703	202.8218	0.9568015	-104.785	129.6248
11823-1902	214.9482	1.097268	-109.2579	165.6965
11823-6103	210.0928	0.9026759	-16.4372	29.31762
11824-3704	251.5527	1.422306	-138.3084	180.3308
11831-3703	254.6199	1.02001	-168.9615	165.6117
11834-9101	145.7114	0.8657441	-206.0575	203.2176
11868-3703	254.6688	1.049278	-6.819237	22.6751
11944-6104	134.1309	0.9405931	-46.93108	65.58827
11946-3704	133.0548	1.206445	-51.21701	85.84986
11963-6104	229.6236	1.052737	6.522809	55.78476
11975-1901	276.2936	1.341095	-181.7806	223.5131
11975-6102	196.7071	0.9908499	-25.34279	30.78888
11977-12701	79.68196	0.9628537	-176.54	133.1177
11977-3702	134.4902	1.021668	-115.4591	164.8287
11979-12703	88.26282	0.8972612	-104.5284	114.0573
11979-3701	182.6631	0.990196	-102.6708	125.6206
11979-3702	109.1725	1.009762	-122.2256	108.1925
12073-1902	160.7672	1.319979	-23.0935	36.41339
7958-3701	323.6027	1.107364	-51.62716	41.2442
7975-3702	283.8604	1.050965	-89.99536	152.8946
8131-6103	255.3159	1.017806	-32.82426	82.64254
8134-9101	233.6238	0.9123667	-4.386662	36.37468
8137-3701	178.6836	1.0818	-143.0202	157.9484
8146-12704	287.3813	0.9306825	-169.4621	585.954
8146-6104	228.0852	0.9844519	-187.1526	201.652
8148-6101	160.1257	1.124417	-66.18887	83.31091
8239-6103	266.3943	0.9522786	-3.272324	50.38655
8239-6104	241.0886	1.104559	-146.3464	117.2347
8244-1901	249.318	0.9556283	-206.2321	6.250652
8252-3702	136.7082	0.9505584	-43.84132	78.27593
8253-6102	231.5499	0.977578	-17.11012	16.21358
8254-6103	213.9692	0.9215801	-195.0558	238.87
8261-3702	245.982	0.9076324	-51.25123	61.5459
8262-12705	134.4054	0.902716	-196.1719	222.9142
8309-3701	165.213	1.215713	-95.55726	111.9555
8309-6101	151.1129	1.070584	-214.0223	178.4212
8312-1901	46.558	0.9359187	-48.17987	56.91074
8315-3702	163.5457	1.067229	-19.07753	46.25956
8315-6104	213.5868	0.9502947	-79.79927	90.29546
8317-12701	268.7699	0.9462791	-14.45072	36.10752
8319-6104	235.6167	1.085828	-34.99777	58.41623
8324-3701	174.4717	0.979626	-46.20576	89.37725
8327-12705	201.1389	0.9343897	4.004589	122.0384
8329-9101	161.8024	1.154882	-159.3234	51.98355
8332-12703	109.4304	0.8621601	-105.5764	185.1881
8446-6102	182.5763	1.009066	-1.246189	34.08823
8452-3703	245.6888	0.9138178	-182.6344	249.8245
8455-12703	220.2044	0.9105124	-7.877048	27.18577
8462-3702	285.1052	0.9566695	-88.48248	86.78712
8483-6102	267.0863	1.117755	-145.9495	231.1585
8485-3701	51.93864	0.9751591	-6.688337	20.72083
