component,height_kpc,coarse_relative_rms,fine_relative_rms,fine_prediction_change_from_factor2,nonnegative_image_floor,fine_squared_residual_fraction_due_to_floor,source_integral_fine_over_coarse
stellar_luminosity,0.0,0.05227956610805893,0.0008066794374919536,0.0009225441179288953,0.0,0.0,0.991788018112929
stellar_luminosity,0.1,0.17151102331126564,0.14573514879743618,0.013258520052030646,0.0,0.0,0.991367819927152
stellar_luminosity,0.2,0.22634774798915966,0.2169639565513101,0.005361059673868719,0.0,0.0,0.9922307546581259
stellar_luminosity,0.4,0.2695838858560792,0.266139829587519,0.004080786029182523,0.0,0.0,0.9928230610905671
atomic_helium,0.0,0.001252992694249911,0.00010153533486874188,2.9916427334970445e-05,0.0,0.0,0.9957614860521339
atomic_helium,0.1,0.01498267089351581,0.005786024678096645,0.0012214156358111331,0.0,0.0,0.9885708395954319
atomic_helium,0.2,0.053538839894000094,0.04185956189185604,0.0025700452717351886,0.0,0.0,0.9930693720604508
atomic_helium,0.4,0.11875969475738554,0.11236095076204182,0.0020800939764166115,0.0,0.0,0.9930393881544545
co21,0.0,0.09853282831182944,0.09234276593285178,5.4400481269871775e-05,0.09234263480365776,0.9999971599485983,0.9506106054678962
co21,0.1,0.11515603735158028,0.10771233652349102,0.002057204646919106,0.09234263480365776,0.7349767999776082,0.9744333045607949
co21,0.2,0.15459484616116964,0.14847417767459997,0.0021453928666020556,0.09234263480365776,0.3868144299849973,0.9566209032838632
co21,0.4,0.2636632848637296,0.2599361493836613,0.0021447639107196295,0.09234263480365776,0.12620343098707293,0.9268831068112221
