axis_ratio	d4000	dapqual	daptype	dec	dn4000	drp3qual	g_minus_r_color	halpha_ew	hbeta	hdelta_a	hgamma_a	log_half_light_radius	log_snr	log_specific_sfr	log_stellar_mass	log_surface_brightness	log_surface_density	mangaid	mass_size_crossing_proxy	plateifu	ra	redshift	sersic_index	sfr_1re	sfr_tot	snr_med_g	minimum_predecessor_separation_arcsec	stellar_mass_msun	half_light_radius_kpc	log_baryonic_speed_km_s	internal_acceleration_m_s2	mean_stellar_density_msun_kpc3	log_mean_stellar_density	phase_space_proxy	minimum_item34_role_separation_arcsec	minimum_item35_role_separation_arcsec	mass_bin	size_bin	sample_cell	role	outer_fold	source_map_read	velocity_response_read
5.713110000000e-01	1.746745000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	1.738066482544e+01	1.546504000000e+00	0.000000000000e+00	7.422000000000e-01	1.268316000000e+01	2.863644000000e+00	1.997337000000e+00	-1.206912000000e+00	7.274452787293e-01	1.088438394231e+00	-1.106617413719e+01	1.013546659563e+01	-2.134894225943e-01	8.680576038173e+00	1-382696	-3.976565379722e+00	10218-6102	1.190361022949e+02	2.888740000000e-02	2.114390000000e+00	1.172985000000e-01	1.419541000000e-01	1.225853000000e+01	1.719677204466e+03	1.366049999995e+10	5.338820000000e+00	2.020790835794e+00	6.680144357250e-11	2.143098587924e+07	7.331042150140e+00	7.268669642757e+00	1.300183462833e+03	8.768034119281e+03	1	1	m1-r1	exploration	2	False	False
4.237900000000e-01	1.314785000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	3.339086151123e+01	1.220456000000e+00	0.000000000000e+00	3.365000000000e-01	5.274829000000e+01	4.099298000000e+00	5.850139000000e+00	4.340962000000e+00	8.781844543857e-01	9.928483668521e-01	-1.024541340456e+01	9.088625059361e+00	-5.149043514292e-01	7.332256150589e+00	1-136333	-3.227035848102e+00	10220-9102	1.230280990601e+02	1.736550000000e-02	8.628110000000e-01	6.969661000000e-02	1.148700000000e-01	9.836676000000e+00	2.286754463615e+03	1.226380000001e+09	7.554130000000e+00	1.422000479832e+00	2.995476798148e-12	6.791771823288e+05	5.831983086901e+00	7.565981647407e+00	4.413055019207e+03	6.359389481841e+03	0	1	m0-r1	exploration	3	False	False
7.439070000000e-01	1.611399000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	5.753054046631e+01	1.442863000000e+00	0.000000000000e+00	6.947000000000e-01	1.412554000000e+01	3.193533000000e+00	3.472452000000e+00	4.577132000000e-01	7.317192756417e-01	1.035223149008e+00	-1.105946321676e+01	1.001366707227e+01	-3.591326397991e-01	8.550228520985e+00	1-380097	-3.909254622671e+00	10492-12702	1.240640869141e+02	2.718240000000e-02	2.193440000000e+00	8.999199000000e-02	1.939180000000e-01	1.084484000000e+01	6.436590399456e+02	1.031970000005e+10	5.391619999999e+00	1.957754075658e+00	4.948098432400e-11	1.571884516477e+07	7.196420636042e+00	7.323158409068e+00	2.890707532684e+03	2.026865982473e+04	1	1	m1-r1	exploration	1	False	False
5.541780000000e-01	1.349381000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	2.589351844788e+01	1.228813000000e+00	0.000000000000e+00	4.646000000000e-01	4.647263000000e+01	4.394748000000e+00	6.339270000000e+00	4.832210000000e+00	1.034740725081e+00	1.007984485031e+00	-1.025207652671e+01	9.869131937915e+00	-3.373076950812e-01	7.799650487752e+00	1-585315	-3.382454881335e+00	10498-12705	1.319174346924e+02	2.181850000000e-02	1.762930000000e+00	4.140525000000e-01	6.341852000000e-01	1.018555000000e+01	3.066916873772e+02	7.398299999997e+09	1.083279999999e+01	1.733975783761e+00	8.787398005030e-12	1.389380353240e+06	6.142821153370e+00	6.940893802087e+00	4.534648699674e+03	8.798135466003e+03	1	1	m1-r1	exploration	4	False	False
7.909180000000e-01	1.644482000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	2.564269828796e+01	1.450087000000e+00	0.000000000000e+00	7.197000000000e-01	9.887331000000e+00	2.935910000000e+00	2.354984000000e+00	-1.861989000000e-01	7.482190469328e-01	8.696297970126e-01	-1.117362304130e+01	1.043495991233e+01	-5.804951279241e-01	8.938521818465e+00	1-385544	-4.095151385766e+00	10498-3701	1.307174072266e+02	5.380890000000e-02	1.406360000000e+00	1.825311000000e-01	2.863508000000e-01	7.406786000000e+00	1.135489796052e+03	2.722449999994e+10	5.600400000000e+00	2.160150610043e+00	1.209850276099e-10	3.700105969247e+07	7.568214162229e+00	7.087762332101e+00	1.444481216087e+03	4.824194175104e+03	1	1	m1-r1	exploration	4	False	False
5.011950000000e-01	1.377644000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	5.615960121155e+00	1.238826000000e+00	0.000000000000e+00	3.881000000000e-01	2.842246000000e+01	4.505722000000e+00	6.550268000000e+00	4.602563000000e+00	1.014902583413e+00	7.382302092472e-01	-1.016263684186e+01	9.310527632972e+00	-7.236790771494e-01	7.280722466145e+00	1-79952	-3.132909941366e+00	10503-12701	1.589262542725e+02	2.720660000000e-02	1.311930000000e+00	1.405694000000e-01	2.815688000000e-01	5.473060000000e+00	7.816645581260e+02	2.044220000001e+09	1.034909999999e+01	1.464592702123e+00	2.660310175578e-12	4.402823475476e+05	5.643731273431e+00	7.249953167060e+00	9.760659834534e+02	3.959451878403e+03	0	1	m0-r1	reserved_confirmation		False	False
6.005290000000e-01	1.470178000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	4.895146179199e+01	1.324221000000e+00	0.000000000000e+00	4.085000000000e-01	2.551427000000e+01	3.783926000000e+00	5.052583000000e+00	3.328806000000e+00	7.399724388026e-01	1.124524113240e+00	-1.061155162339e+01	9.614482751988e+00	-2.755690412160e-01	8.134537874383e+00	1-173966	-3.697282717790e+00	10509-6104	1.675568847656e+02	2.433400000000e-02	7.921620000000e-01	1.006772000000e-01	1.895258000000e-01	1.332061000000e+01	2.128027846080e+03	4.116069999998e+09	5.495060000000e+00	1.754035333937e+00	1.899974113368e-11	5.922114859436e+06	6.772476826278e+00	7.510370824468e+00	4.142536326581e+03	4.195571792879e+03	1	1	m1-r1	exploration	3	False	False
5.225450000000e-01	1.533078000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	2.060060262680e+00	1.368648000000e+00	0.000000000000e+00	5.876000000000e-01	1.482830000000e+01	3.489412000000e+00	4.300102000000e+00	2.909225000000e+00	6.214868263425e-01	9.770967175583e-01	-1.096249420336e+01	8.949123492541e+00	-5.513207277465e-01	7.706149839855e+00	1-54115	-3.542331506756e+00	10513-3703	1.408051300049e+02	1.723640000000e-02	8.667510000000e-01	9.696819000000e-03	2.547642000000e-02	9.486297000000e+00	5.550491255683e+02	8.894540000010e+08	4.182990000000e+00	1.480598510443e+00	7.085322935066e-12	2.901178191848e+06	6.462574404211e+00	8.020778872881e+00	1.909547459602e+03	4.548467140448e+03	0	0	m0-r0	exploration	4	False	False
4.533290000000e-01	1.445503000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	2.523862123489e+00	1.291764000000e+00	0.000000000000e+00	6.167000000000e-01	3.578235000000e+01	3.821190000000e+00	5.066488000000e+00	3.225668000000e+00	7.200716084287e-01	1.123605035376e+00	-1.058568359554e+01	9.649393280049e+00	-2.421501732381e-01	8.209250063192e+00	1-60715	-3.744589227382e+00	10516-3702	1.515514526367e+02	2.250890000000e-02	9.690290000000e-01	1.158003000000e-01	1.737009000000e-01	1.329245000000e+01	1.067747379563e+03	4.460599999998e+09	5.248940000000e+00	1.781441013154e+00	2.256627481110e-11	7.363594174316e+06	6.867089845460e+00	7.522766805998e+00	4.296717681730e+03	7.791085173778e+03	1	1	m1-r1	exploration	4	False	False
3.157697000000e-01	1.574864000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	2.338392257690e+00	1.364373000000e+00	0.000000000000e+00	6.518000000000e-01	2.895605000000e+01	3.828982000000e+00	5.261990000000e+00	2.470524000000e+00	7.966969728647e-01	9.008739467366e-01	-1.064306857630e+01	9.659314042623e+00	-7.186806837386e-01	8.065920096894e+00	1-76735	-3.634611562015e+00	10839-12704	1.327366638184e+02	4.023776000000e-02	6.100991000000e-01	1.038115000000e-01	1.937390000000e-01	7.959283000000e+00	2.530417901627e+03	4.563667999996e+09	6.261768000000e+00	1.748088712223e+00	1.622295286481e-11	4.437460648289e+06	6.647134514726e+00	7.402868378057e+00	3.745276917074e+03	4.601595706457e+03	1	1	m1-r1	exploration	0	False	False
7.331053000000e-01	1.501163000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	2.363463020325e+01	1.352564000000e+00	0.000000000000e+00	4.843400000000e-01	1.860740000000e+01	3.561734000000e+00	5.053697000000e+00	2.631758000000e+00	7.498723783423e-01	8.075221072776e-01	-1.066473169558e+01	9.194725471450e+00	-6.777875299473e-01	7.694980714765e+00	1-522145	-3.472554168211e+00	11010-6101	1.982229461670e+02	2.329695000000e-02	7.689087000000e-01	3.388393000000e-02	5.173674000000e-02	6.419809000000e+00	1.777476807355e+03	1.565761000002e+09	5.621761000000e+00	1.539206723898e+00	6.905426772676e-12	2.103874002652e+06	6.323019727121e+00	7.705399555427e+00	4.552668400789e+03	9.968341512382e+03	0	1	m0-r1	exploration	0	False	False
4.897882000000e-01	1.410818000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	5.516770172119e+01	1.250916000000e+00	0.000000000000e+00	4.097800000000e-01	3.473989000000e+01	4.309546000000e+00	5.834441000000e+00	3.710232000000e+00	8.400010226488e-01	7.482877481822e-01	-1.017892021657e+01	9.234495770724e+00	-8.410708821314e-01	7.554493725427e+00	1-245195	-3.357246351389e+00	11013-12705	2.090799560547e+02	4.082531000000e-02	9.484528000000e-01	1.136516000000e-01	2.293136000000e-01	5.601286000000e+00	2.363757873481e+03	1.715915000000e+09	6.918326000001e+00	1.514027551382e+00	4.996933098128e-12	1.237097967794e+06	6.092404093475e+00	7.550321439330e+00	3.866415184573e+03	7.491979856180e+03	0	1	m0-r1	exploration	1	False	False
3.858957000000e-01	1.355223000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	5.577792739868e+01	1.210167000000e+00	0.000000000000e+00	4.239400000000e-01	4.174985000000e+01	4.379208000000e+00	5.977342000000e+00	4.467758000000e+00	6.259824146356e-01	1.187357124573e+00	-1.035204121372e+01	9.473993813364e+00	-3.368923245584e-01	8.222028984092e+00	1-244652	-3.798023284728e+00	11013-9102	2.073282470703e+02	4.000634000000e-02	8.556519000000e-01	1.324197000000e-01	2.556355000000e-01	1.539420000000e+01	1.291149581136e+03	2.978474000003e+09	4.226515000000e+00	1.740785876708e+00	2.324014286914e-11	9.417984257204e+06	6.973957960155e+00	7.751600330030e+00	4.436724153442e+02	1.161346838518e+04	0	0	m0-r0	exploration	3	False	False
4.493834000000e-01	1.562175000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	5.207488250732e+01	1.360309000000e+00	0.000000000000e+00	5.742900000000e-01	1.433684000000e+01	3.649951000000e+00	4.236668000000e+00	2.392590000000e+00	7.474658776795e-01	7.496318250392e-01	-1.092919425163e+01	9.516299587813e+00	-8.611663659120e-01	8.021367832453e+00	1-196861	-3.636950977387e+00	11016-3702	2.110348663330e+02	4.109258000000e-02	7.270347000000e-01	3.864607000000e-02	7.591340000000e-02	5.618648000000e+00	4.874112134173e+02	3.283217000004e+09	5.590696000000e+00	1.701197032411e+00	1.464123265906e-11	4.485525660190e+06	6.651813345472e+00	7.548222248240e+00	5.858670217060e+03	3.791408983226e+03	1	1	m1-r1	exploration	3	False	False
