axis_ratio	d4000	dapqual	daptype	dec	dn4000	drp3qual	g_minus_r_color	half_light_radius_kpc	halpha_ew	hbeta	hdelta_a	hgamma_a	internal_acceleration_m_s2	log_baryonic_speed_km_s	log_half_light_radius	log_mean_stellar_density	log_snr	log_specific_sfr	log_stellar_mass	log_surface_brightness	log_surface_density	mangaid	mass_bin	mass_size_crossing_proxy	mean_stellar_density_msun_kpc3	minimum_item34_role_separation_arcsec	minimum_item35_role_separation_arcsec	minimum_predecessor_separation_arcsec	outer_fold	phase_space_proxy	plateifu	ra	redshift	role	sample_cell	sersic_index	sfr_1re	sfr_tot	size_bin	snr_med_g	source_map_read	stellar_mass_msun	velocity_response_read	annulus	annulus_index	source_pixels	weighted_radius_re	flux_m1	flux_m2	flux_m3	source_nonaxisymmetry	flux_asymmetry	centroid_offset_re	radial_concentration	radius_kpc	enclosed_stellar_mass_msun	enclosed_stellar_mass_fraction	log_baryonic_speed_km_s	log_acceleration	omega_Gyr_inverse	log_omega_Gyr_inverse	mode_frequency_ratio	age_gyr_proxy	vertical_to_orbital_frequency	radial_source_slope	localization_coordinate
5.713110000000e-01	1.746745000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	1.738066482544e+01	1.546504000000e+00	0.000000000000e+00	7.422000000000e-01	5.338820000000e+00	1.268316000000e+01	2.863644000000e+00	1.997337000000e+00	-1.206912000000e+00	6.680144357250e-11	1.878414985532e+00	7.274452787293e-01	7.331042150140e+00	1.088438394231e+00	-1.106617413719e+01	1.013546659563e+01	-2.134894225943e-01	8.680576038173e+00	1-382696	1	-3.976565379722e+00	2.143098587924e+07	1.300183462833e+03	8.768034119281e+03	1.719677204466e+03	2	7.268669642757e+00	10218-6102	1.190361022949e+02	2.888740000000e-02	exploration	m1-r1	2.114390000000e+00	1.172985000000e-01	1.419541000000e-01	1	1.225853000000e+01	False	1.366049999995e+10	False	inner	0	44	3.644014894467e-01	2.372747068999e-02	6.662359272034e-02	7.854074117231e-03	7.115744832798e-02	1.044426418445e-01	1.090733697705e-02	3.250928541855e-01	1.945473959888e+00	2.584015048551e+09	1.891596243593e-01	1.878414985532e+00	-1.002154599632e+01	3.973223406073e+01	1.599142985216e+00	1.838364906639e+00	3.232520000000e+00	8.565706693183e-01	1.052051336788e+00	1.555279392882e-01
5.713110000000e-01	1.746745000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	1.738066482544e+01	1.546504000000e+00	0.000000000000e+00	7.422000000000e-01	5.338820000000e+00	1.268316000000e+01	2.863644000000e+00	1.997337000000e+00	-1.206912000000e+00	6.680144357250e-11	1.884875108896e+00	7.274452787293e-01	7.331042150140e+00	1.088438394231e+00	-1.106617413719e+01	1.013546659563e+01	-2.134894225943e-01	8.680576038173e+00	1-382696	1	-3.976565379722e+00	2.143098587924e+07	1.300183462833e+03	8.768034119281e+03	1.719677204466e+03	2	7.268669642757e+00	10218-6102	1.190361022949e+02	2.888740000000e-02	exploration	m1-r1	2.114390000000e+00	1.172985000000e-01	1.419541000000e-01	1	1.225853000000e+01	False	1.366049999995e+10	False	mid_inner	1	74	6.453590004374e-01	2.937794164169e-02	4.727704654752e-02	4.599658054285e-03	5.585104689775e-02	1.044426418445e-01	1.090733697705e-02	3.250928541855e-01	3.445455538715e+00	4.714509477324e+09	3.451198329007e-01	1.884875108896e+00	-1.025684697744e+01	2.277098833042e+01	1.357381880731e+00	1.695053947892e+00	3.232520000000e+00	1.494597679690e+00	9.362243809997e-01	1.511640210480e-01
5.713110000000e-01	1.746745000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	1.738066482544e+01	1.546504000000e+00	0.000000000000e+00	7.422000000000e-01	5.338820000000e+00	1.268316000000e+01	2.863644000000e+00	1.997337000000e+00	-1.206912000000e+00	6.680144357250e-11	1.873581098891e+00	7.274452787293e-01	7.331042150140e+00	1.088438394231e+00	-1.106617413719e+01	1.013546659563e+01	-2.134894225943e-01	8.680576038173e+00	1-382696	1	-3.976565379722e+00	2.143098587924e+07	1.300183462833e+03	8.768034119281e+03	1.719677204466e+03	2	7.268669642757e+00	10218-6102	1.190361022949e+02	2.888740000000e-02	exploration	m1-r1	2.114390000000e+00	1.172985000000e-01	1.419541000000e-01	1	1.225853000000e+01	False	1.366049999995e+10	False	mid_outer	2	120	9.372355510474e-01	9.491581495936e-03	2.281768860346e-02	1.560318981781e-02	2.922664135663e-02	1.044426418445e-01	1.090733697705e-02	3.250928541855e-01	5.003731904643e+00	6.499738370526e+09	4.758053051169e-01	1.873581098891e+00	-1.044148237999e+01	1.527708476042e+01	1.184040488189e+00	2.127557807143e+00	3.232520000000e+00	2.227746121504e+00	7.783480298390e-01	1.641957115056e-01
5.713110000000e-01	1.746745000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	1.738066482544e+01	1.546504000000e+00	0.000000000000e+00	7.422000000000e-01	5.338820000000e+00	1.268316000000e+01	2.863644000000e+00	1.997337000000e+00	-1.206912000000e+00	6.680144357250e-11	1.853339495872e+00	7.274452787293e-01	7.331042150140e+00	1.088438394231e+00	-1.106617413719e+01	1.013546659563e+01	-2.134894225943e-01	8.680576038173e+00	1-382696	1	-3.976565379722e+00	2.143098587924e+07	1.300183462833e+03	8.768034119281e+03	1.719677204466e+03	2	7.268669642757e+00	10218-6102	1.190361022949e+02	2.888740000000e-02	exploration	m1-r1	2.114390000000e+00	1.172985000000e-01	1.419541000000e-01	1	1.225853000000e+01	False	1.366049999995e+10	False	outer	3	214	1.289668591696e+00	3.123174912699e-02	3.020918614607e-02	8.114234685075e-03	4.420246470123e-02	1.044426418445e-01	1.090733697705e-02	3.250928541855e-01	6.885308470716e+00	8.147831499600e+09	5.964519234017e-01	1.853339495872e+00	-1.062059495546e+01	1.059667258452e+01	1.025169515733e+00	1.667637726199e+00	3.232520000000e+00	3.211712549526e+00	7.079752565949e-01	1.807419568301e-01
4.237900000000e-01	1.314785000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	3.339086151123e+01	1.220456000000e+00	0.000000000000e+00	3.365000000000e-01	7.554130000000e+00	5.274829000000e+01	4.099298000000e+00	5.850139000000e+00	4.340962000000e+00	2.995476798148e-12	1.174964068396e+00	8.781844543857e-01	5.831983086901e+00	9.928483668521e-01	-1.024541340456e+01	9.088625059361e+00	-5.149043514292e-01	7.332256150589e+00	1-136333	0	-3.227035848102e+00	6.791771823288e+05	4.413055019207e+03	6.359389481841e+03	2.286754463615e+03	3	7.565981647407e+00	10220-9102	1.230280990601e+02	1.736550000000e-02	exploration	m0-r1	8.628110000000e-01	6.969661000000e-02	1.148700000000e-01	1	9.836676000000e+00	False	1.226380000001e+09	False	inner	0	64	3.693506545520e-01	2.380610055589e-02	3.150235948830e-02	8.455777111974e-03	4.038105055065e-02	1.040623575545e-01	7.200717076440e-03	2.218688795367e-01	2.790122860071e+00	1.452081891489e+08	1.184039116332e-01	1.174964068396e+00	-1.158504573582e+01	5.483958541131e+00	7.390941628523e-01	1.759264375636e+00	1.602280000000e+00	1.104797009356e+00	1.568046698627e+00	3.822687079275e-01
4.237900000000e-01	1.314785000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	3.339086151123e+01	1.220456000000e+00	0.000000000000e+00	3.365000000000e-01	7.554130000000e+00	5.274829000000e+01	4.099298000000e+00	5.850139000000e+00	4.340962000000e+00	2.995476798148e-12	1.246058986609e+00	8.781844543857e-01	5.831983086901e+00	9.928483668521e-01	-1.024541340456e+01	9.088625059361e+00	-5.149043514292e-01	7.332256150589e+00	1-136333	0	-3.227035848102e+00	6.791771823288e+05	4.413055019207e+03	6.359389481841e+03	2.286754463615e+03	3	7.565981647407e+00	10220-9102	1.230280990601e+02	1.736550000000e-02	exploration	m0-r1	8.628110000000e-01	6.969661000000e-02	1.148700000000e-01	1	9.836676000000e+00	False	1.226380000001e+09	False	mid_inner	1	118	6.572831702493e-01	6.848457801208e-02	4.504592028040e-02	2.253992489911e-02	8.501364933855e-02	1.040623575545e-01	7.200717076440e-03	2.218688795367e-01	4.965202514875e+00	3.585044784160e+08	2.923274013077e-01	1.246058986609e+00	-1.169316953869e+01	3.629739367600e+00	5.598754417642e-01	1.662346511201e+00	1.602280000000e+00	1.669172461736e+00	1.403596089119e+00	3.754541560164e-01
4.237900000000e-01	1.314785000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	3.339086151123e+01	1.220456000000e+00	0.000000000000e+00	3.365000000000e-01	7.554130000000e+00	5.274829000000e+01	4.099298000000e+00	5.850139000000e+00	4.340962000000e+00	2.995476798148e-12	1.269823477156e+00	8.781844543857e-01	5.831983086901e+00	9.928483668521e-01	-1.024541340456e+01	9.088625059361e+00	-5.149043514292e-01	7.332256150589e+00	1-136333	0	-3.227035848102e+00	6.791771823288e+05	4.413055019207e+03	6.359389481841e+03	2.286754463615e+03	3	7.565981647407e+00	10220-9102	1.230280990601e+02	1.736550000000e-02	exploration	m0-r1	8.628110000000e-01	6.969661000000e-02	1.148700000000e-01	1	9.836676000000e+00	False	1.226380000001e+09	False	mid_outer	2	174	9.475002838495e-01	6.681783318535e-02	3.910650313984e-02	5.080301188561e-02	9.260068809713e-02	1.040623575545e-01	7.200717076440e-03	2.218688795367e-01	7.157540319236e+00	5.765678244055e+08	4.701379869249e-01	1.269823477156e+00	-1.180446739404e+01	2.659580229431e+00	4.248130958687e-01	1.897817314702e+00	1.602280000000e+00	2.278051599508e+00	1.153647885257e+00	3.409967409405e-01
4.237900000000e-01	1.314785000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	3.339086151123e+01	1.220456000000e+00	0.000000000000e+00	3.365000000000e-01	7.554130000000e+00	5.274829000000e+01	4.099298000000e+00	5.850139000000e+00	4.340962000000e+00	2.995476798148e-12	1.271910311537e+00	8.781844543857e-01	5.831983086901e+00	9.928483668521e-01	-1.024541340456e+01	9.088625059361e+00	-5.149043514292e-01	7.332256150589e+00	1-136333	0	-3.227035848102e+00	6.791771823288e+05	4.413055019207e+03	6.359389481841e+03	2.286754463615e+03	3	7.565981647407e+00	10220-9102	1.230280990601e+02	1.736550000000e-02	exploration	m0-r1	8.628110000000e-01	6.969661000000e-02	1.148700000000e-01	1	9.836676000000e+00	False	1.226380000001e+09	False	outer	3	322	1.288485226234e+00	7.603294613757e-02	6.479847234029e-02	3.015295947421e-02	1.043506199361e-01	1.040623575545e-01	7.200717076440e-03	2.218688795367e-01	9.733384902054e+00	7.916335033934e+08	6.455042510419e-01	1.271910311537e+00	-1.193379381983e+01	1.965168688036e+00	2.933998356980e-01	1.731671470734e+00	1.602280000000e+00	3.083023372274e+00	1.031263414283e+00	3.273390430301e-01
7.439070000000e-01	1.611399000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	5.753054046631e+01	1.442863000000e+00	0.000000000000e+00	6.947000000000e-01	5.391619999999e+00	1.412554000000e+01	3.193533000000e+00	3.472452000000e+00	4.577132000000e-01	4.948098432400e-11	1.818203566735e+00	7.317192756417e-01	7.196420636042e+00	1.035223149008e+00	-1.105946321676e+01	1.001366707227e+01	-3.591326397991e-01	8.550228520985e+00	1-380097	1	-3.909254622671e+00	1.571884516477e+07	2.890707532684e+03	2.026865982473e+04	6.436590399456e+02	1	7.323158409068e+00	10492-12702	1.240640869141e+02	2.718240000000e-02	exploration	m1-r1	2.193440000000e+00	8.999199000000e-02	1.939180000000e-01	1	1.084484000000e+01	False	1.031970000005e+10	False	inner	0	57	3.514075652092e-01	5.151414178665e-03	5.721083526202e-02	3.149294255679e-02	6.550894725381e-02	5.117327178016e-02	2.493351974784e-02	2.925394003519e-01	1.894656056733e+00	1.907116226467e+09	1.848034561527e-01	1.818203566735e+00	-1.013047379428e+01	3.551620925056e+01	1.550426606053e+00	2.280661387159e+00	2.714315000000e+00	8.206704978516e-01	1.038097808075e+00	1.732537478485e-01
7.439070000000e-01	1.611399000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	5.753054046631e+01	1.442863000000e+00	0.000000000000e+00	6.947000000000e-01	5.391619999999e+00	1.412554000000e+01	3.193533000000e+00	3.472452000000e+00	4.577132000000e-01	4.948098432400e-11	1.823254668956e+00	7.317192756417e-01	7.196420636042e+00	1.035223149008e+00	-1.105946321676e+01	1.001366707227e+01	-3.591326397991e-01	8.550228520985e+00	1-380097	1	-3.909254622671e+00	1.571884516477e+07	2.890707532684e+03	2.026865982473e+04	6.436590399456e+02	1	7.323158409068e+00	10492-12702	1.240640869141e+02	2.718240000000e-02	exploration	m1-r1	2.193440000000e+00	8.999199000000e-02	1.939180000000e-01	1	1.084484000000e+01	False	1.031970000005e+10	False	mid_inner	1	106	6.471069808863e-01	3.311722792552e-02	4.797114128172e-03	8.107011662133e-03	3.443089786107e-02	5.117327178016e-02	2.493351974784e-02	2.925394003519e-01	3.488954940286e+00	3.594548467229e+09	3.483190855561e-01	1.823254668956e+00	-1.038553656790e+01	1.951249164951e+01	1.290312730212e+00	1.456551921140e+00	2.714315000000e+00	1.493766436958e+00	9.174331183234e-01	1.674928891317e-01
