ell_kpc,u_lab,epsilon_lab,height_group,points,norm_ratio_min,norm_ratio_median,norm_ratio_max,norm_enhancement_points,more_inward_points,candidate_inward_points,candidate_outward_points,newton_outward_points,positive_inward_ratio_points,inward_ratio_median,mean_inward_difference
0.25,0,0.2,all,384,0.1368498606465872,0.31134920253470716,0.7246277419296914,0,2,382,2,2,382,0.3201734140745078,-1569.7761275210942
0.25,0,0.2,0,96,0.1368498606465872,0.2996961234879899,0.6962682888355103,0,1,95,1,1,95,0.3056155905966031,-1570.3994896460035
0.25,0,0.2,0.2,96,0.16438099840341663,0.29548453080767195,0.6978480437833288,0,1,95,1,1,95,0.29927972022827254,-1662.121355326818
0.25,0,0.2,0.5,96,0.200161997969961,0.30670092637200097,0.7055610082274694,0,0,96,0,0,96,0.3126641315360623,-1711.3665818607467
0.25,0,0.2,1,96,0.2175575135545569,0.3846210167785793,0.7246277419296914,0,0,96,0,0,96,0.3849101145838705,-1335.2170832508084
0.25,0.01,0.20792079207920794,all,384,0.14226965710783818,0.3236798640212302,0.7533258703229464,0,2,382,2,2,382,0.33285354928537936,-1541.0638794739082
0.25,0.01,0.20792079207920794,0,96,0.14226965710783818,0.3115652768934549,0.7238432705715702,0,1,95,1,1,95,0.31771917834300323,-1542.5656056333016
0.25,0.01,0.20792079207920794,0.2,96,0.170891136954047,0.30718688846342135,0.7254855900717775,0,1,95,1,1,95,0.3111323824155309,-1633.4055257925181
0.25,0.01,0.20792079207920794,0.5,96,0.20808920581035548,0.3188474977134663,0.7335040184542998,0,0,96,0,0,96,0.3250468694186786,-1681.993855236702
0.25,0.01,0.20792079207920794,1,96,0.2261736527052324,0.39985353229456266,0.7533258703229464,0,0,96,0,0,96,0.4001540795178852,-1306.2905312331113
0.25,0.1,0.27272727272727276,all,384,0.18661344633625526,0.42456709436550977,0.9881287389950337,0,2,382,2,2,382,0.43660011010160155,-1306.145486360567
0.25,0.1,0.27272727272727276,0,96,0.18661344633625526,0.40867653202907717,0.9494567575029687,0,1,95,1,1,95,0.4167485326317315,-1314.8338273475558
0.25,0.1,0.27272727272727276,0.2,96,0.22415590691375,0.40293345110137085,0.9516109687954486,0,1,95,1,1,95,0.40810870940218985,-1398.4578296027892
0.25,0.1,0.27272727272727276,0.5,96,0.27294817904994684,0.4182285359618195,0.9621286475829128,0,0,96,0,0,96,0.4263601793673577,-1441.6715464945166
0.25,0.1,0.27272727272727276,1,96,0.2966693366653049,0.5244832046980628,0.9881287389950337,0,0,96,0,0,96,0.5248774289780052,-1069.618741997407
0.25,1,0.6,all,384,0.4105495819397615,0.9340476076041214,2.173883225789074,179,186,382,2,2,382,0.9605202422235232,-119.80760113819615
