identity	name	ra_deg	dec_deg	distance_mpc	seeing_arcsec	morphological_type	ttype	inclination_deg	position_angle_deg	total_R_magnitude	absolute_R_magnitude	log_stellar_mass_proxy	disk_scale_arcsec	disk_scale_kpc	disk_mu0_R	bulge_fraction_proxy	bulge_re_kpc	bulge_sersic_n	bar_component_count	disk_break_present	disk_break_radius_scale	response_catalog	response_query_name
UGC10310	UGC 10310	2.440762500000e+02	4.704638900000e+01	1.270000000000e+01	1.900000000000e+00	SBm	9.200000000000e+00	6.100000000000e+01	2.000000000000e+00	1.350000000000e+01	-1.701901860478e+01	8.575607441912e+00	3.071700000000e+01	1.891284997455e+00	2.166000000000e+01	0.000000000000e+00	0.000000000000e+00	1.000000000000e+00	1	0	0.000000000000e+00	J/MNRAS/390/466/tablef	UGC10310
UGC10652	UGC 10652	2.548608330000e+02	4.992194400000e+01	1.820000000000e+01	1.900000000000e+00	S(r)bc	3.800000000000e+00	3.300000000000e+01	5.500000000000e+01	1.290000000000e+01	-1.840035693993e+01	9.128142775970e+00	9.976400000000e+00	8.802777010157e-01	1.962800000000e+01	7.267937641765e-02	3.597029064553e-01	8.075500000000e-01	0	1	2.409586624434e+00	J/MNRAS/388/500/tablef	UGC 10652
UGC10757	UGC 10757	2.575537500000e+02	7.241055600000e+01	1.950000000000e+01	2.800000000000e+00	Sc	6.000000000000e+00	6.070000000000e+01	7.000000000000e+01	1.360000000000e+01	-1.785017305681e+01	8.908069222725e+00	1.512500000000e+01	1.429896007563e+00	2.050600000000e+01	3.434298551469e-02	4.706508617555e-01	1.080800000000e+00	0	1	1.656528925620e+00	J/MNRAS/388/500/tablef	UGC 10757
UGC11300	UGC 11300	2.787095830000e+02	7.052388900000e+01	8.400000000000e+00	3.000000000000e+00	SABc	6.400000000000e+00	7.680000000000e+01	-1.000000000000e+01	1.157000000000e+01	-1.805139643031e+01	8.988558572124e+00	3.558900000000e+01	1.449337502727e+00	1.998400000000e+01	2.086471157753e-02	3.429516398807e-01	1.217400000000e+00	0	0	0.000000000000e+00	J/MNRAS/390/466/tablef	UGC11300
UGC11466	UGC 11466	2.957450000000e+02	4.529805600000e+01	1.420000000000e+01	3.000000000000e+00	Sc	4.800000000000e+00	4.700000000000e+01	2.800000000000e+01	1.170000000000e+01	-1.906144172192e+01	9.392576688766e+00	1.255600000000e+01	8.643987103968e-01	1.866000000000e+01	0.000000000000e+00	0.000000000000e+00	1.000000000000e+00	0	0	0.000000000000e+00	J/MNRAS/388/500/tablef	UGC 11466
UGC11470	UGC 11470	2.959195830000e+02	5.610944400000e+01	5.080000000000e+01	2.400000000000e+00	Sab	2.200000000000e+00	3.700000000000e+01	4.500000000000e+01	1.050000000000e+01	-2.302931856142e+01	1.097972742457e+01	2.268000000000e+01	5.585746491164e+00	1.944900000000e+01	2.442570831575e-01	1.294573097714e+00	1.762900000000e+00	0	0	0.000000000000e+00	J/MNRAS/388/500/tablef	UGC 11470
UGC11597	UGC 11597	3.087179170000e+02	6.015388900000e+01	5.900000000000e+00	3.400000000000e+00	SABc	5.900000000000e+00	3.500000000000e+01	8.300000000000e+01	7.850000000000e+00	-2.100426005821e+01	1.016970402328e+01	1.184900000000e+02	3.389285627712e+00	1.919800000000e+01	6.240727591046e-03	3.687625142414e-01	3.690700000000e-01	0	1	1.906743185079e+00	J/MNRAS/388/500/tablef	UGC 11597
UGC11670	UGC 11670	3.158900000000e+02	2.989750000000e+01	1.280000000000e+01	1.800000000000e+00	S(r)a	5.000000000000e-01	7.070000000000e+01	-2.400000000000e+01	1.020000000000e+01	-2.033604984824e+01	9.902419939296e+00	5.490900000000e+01	3.407438004509e+00	1.997600000000e+01	1.388361353080e-01	3.529564395317e-01	1.911800000000e+00	0	0	0.000000000000e+00	J/MNRAS/388/500/tablef	UGC 11670
UGC11707	UGC 11707	3.186325000000e+02	2.673444400000e+01	1.590000000000e+01	2.400000000000e+00	Sd	7.900000000000e+00	5.500000000000e+01	7.300000000000e+01	1.256000000000e+01	-1.844698562160e+01	9.146794248641e+00	7.644800000000e+01	5.893017235110e+00	2.212800000000e+01	3.333014993772e-02	7.677850338157e-01	6.525900000000e-01	0	0	0.000000000000e+00	J/MNRAS/390/466/tablef	UGC11707
UGC11852	UGC 11852	3.289970830000e+02	2.789833300000e+01	8.010000000000e+01	2.100000000000e+00	SBa	1.000000000000e+00	4.050000000000e+01	1.000000000000e+01	1.300000000000e+01	-2.151816258042e+01	1.037526503217e+01	1.288000000000e+01	5.001759872009e+00	2.059900000000e+01	1.299332823713e-01	4.504302232565e-01	1.582700000000e+00	1	0	0.000000000000e+00	J/MNRAS/390/466/tablef	UGC11852
