identity	name	fold	mass_stratum	radius_label	radius_disk_scale	radius_kpc	primary_velocity_km_s	approaching_velocity_km_s	receding_velocity_km_s	side_fractional_difference
UGC10652	UGC 10652	4	0	0	7.500000000000e-01	6.602082757618e-01	6.118922987419e+01	7.233680459603e+01	5.004165515236e+01	3.643639491707e-01
UGC10652	UGC 10652	4	0	1	1.250000000000e+00	1.100347126270e+00	1.076986656154e+02	1.093154679660e+02	1.060818632648e+02	3.002455678239e-02
UGC10652	UGC 10652	4	0	2	1.750000000000e+00	1.540485976777e+00	1.209063860002e+02	1.060263237421e+02	1.357864482583e+02	2.461418747240e-01
UGC10652	UGC 10652	4	0	3	2.250000000000e+00	1.980624827285e+00	1.363542628135e+02	1.298671781446e+02	1.428413474824e+02	9.515044905888e-02
UGC10652	UGC 10652	4	0	4	2.750000000000e+00	2.420763677793e+00	1.330214197297e+02	1.287680348565e+02	1.372748046030e+02	6.395037553901e-02
UGC11466	UGC 11466	2	1	0	7.500000000000e-01	6.482990327976e-01	6.573322654456e+01	5.746939313504e+01	7.399705995408e+01	2.514355020719e-01
UGC11466	UGC 11466	2	1	1	1.250000000000e+00	1.080498387996e+00	8.146088286311e+01	6.707886252611e+01	9.584290320011e+01	3.531024911962e-01
UGC11466	UGC 11466	2	1	2	1.750000000000e+00	1.512697743194e+00	9.027685288112e+01	8.873355530853e+01	9.182015045371e+01	3.419032727293e-02
UGC11466	UGC 11466	2	1	3	2.250000000000e+00	1.944897098393e+00	9.390389183817e+01	1.014965699464e+02	8.631121372991e+01	1.617116811589e-01
UGC11466	UGC 11466	2	1	4	2.750000000000e+00	2.377096453591e+00	9.854206462850e+01	1.043099537425e+02	9.277417551451e+01	1.170645071369e-01
UGC11466	UGC 11466	2	1	5	3.250000000000e+00	2.809295808790e+00	1.103832565988e+02	1.132051445007e+02	1.075613686970e+02	5.112891191646e-02
UGC12276	UGC 12276	2	3	1	1.250000000000e+00	5.583276367779e+00	9.105379893314e+01	9.015017042135e+01	9.195742744493e+01	1.984823307491e-02
UGC12276	UGC 12276	2	3	2	1.750000000000e+00	7.816586914890e+00	9.140882653531e+01	9.264566235606e+01	9.017199071457e+01	2.706162780169e-02
UGC12276	UGC 12276	2	3	3	2.250000000000e+00	1.004989746200e+01	8.469809177281e+01	8.503290886490e+01	8.436327468072e+01	7.906130706978e-03
