omitted_object_id,retained_object_count,newton_mean_rmse_km_s,rar_mean_rmse_km_s,mond_mean_rmse_km_s,rg_mean_rmse_km_s,rg_rank,rg_fractional_improvement_over_newton
NGC2841,5,16.271175513,28.3849462317,19.8887620795,22.5032187528,3,-0.383011248005
IC2574,5,34.3370371412,33.5359908288,29.906151441,34.2072599396,3,0.00377951076752
DDO154,5,34.1266251283,37.3667133069,33.4911654102,34.6940457739,3,-0.0166269194069
NGC5055,5,33.9933511519,31.4792321701,30.4317439546,30.5385783644,2,0.101630838692
NGC6946,5,34.7436673591,37.2892206665,34.188284573,35.5741892245,3,-0.0239042659706
NGC7331,5,34.3120808258,32.1451719241,31.869006679,30.0295076328,1,0.124812401052
