sample_role,object_id,cell_score_id,primary_cell,inclination_deg,conversion_cell_id,resolution,common_pixel_count,beam_equivalent_count,newton_rmse_km_s,rar_rmse_km_s,mond_rmse_km_s,rg_rmse_km_s,winner,best_comparator,rg_fractional_improvement_over_best_comparator,rg_wins_cell
HOLMBERG_II_DEVELOPMENT,UGC04305,UGC04305__IRAC1_FIXED_ML0P6__I27P0__NATURAL,false,27,IRAC1_FIXED_ML0P6,NATURAL,34663,398.492307788,8.10395663186,12.1635894182,11.03921253,7.17167019378,REFRACTED_GRAVITY_DISKMASS_MEDIAN_3D_PCG,Newton,0.115040896741,true
HOLMBERG_II_DEVELOPMENT,UGC04305,UGC04305__IRAC1_FIXED_ML0P6__I27P0__ROBUST,false,27,IRAC1_FIXED_ML0P6,ROBUST,91384,4320.1386395,7.17261046569,11.523318367,10.3926121279,6.55286783375,REFRACTED_GRAVITY_DISKMASS_MEDIAN_3D_PCG,Newton,0.0864040553861,true
HOLMBERG_II_DEVELOPMENT,UGC04305,UGC04305__IRAC1_FIXED_ML0P6__I38P0__NATURAL,true,38,IRAC1_FIXED_ML0P6,NATURAL,33547,385.66256381,7.10269058801,20.5073129786,18.8213174935,8.09338776738,NEWTON_3D_DST,Newton,-0.139481956463,false
HOLMBERG_II_DEVELOPMENT,UGC04305,UGC04305__IRAC1_FIXED_ML0P6__I38P0__ROBUST,false,38,IRAC1_FIXED_ML0P6,ROBUST,92582,4376.77356563,6.36532263446,18.4251868788,16.7560175588,7.31267671648,NEWTON_3D_DST,Newton,-0.148830489266,false
HOLMBERG_II_DEVELOPMENT,UGC04305,UGC04305__IRAC1_FIXED_ML0P6__I49P0__NATURAL,false,49,IRAC1_FIXED_ML0P6,NATURAL,29038,333.826259514,7.54133284191,25.7392106237,23.9863004687,9.11599541103,NEWTON_3D_DST,Newton,-0.208804279314,false
HOLMBERG_II_DEVELOPMENT,UGC04305,UGC04305__IRAC1_FIXED_ML0P6__I49P0__ROBUST,false,49,IRAC1_FIXED_ML0P6,ROBUST,83860,3964.4448296,6.58667723068,21.8215156827,20.1749221538,7.76608863694,NEWTON_3D_DST,Newton,-0.179060148988,false
HOLMBERG_II_DEVELOPMENT,UGC04305,UGC04305__IRAC1_GLOBAL_COLOR_ML__I27P0__NATURAL,false,27,IRAC1_GLOBAL_COLOR_ML,NATURAL,38058,437.521860479,8.58957894545,11.6568080103,10.6820899155,7.47381451469,REFRACTED_GRAVITY_DISKMASS_MEDIAN_3D_PCG,Newton,0.129897453396,true
HOLMBERG_II_DEVELOPMENT,UGC04305,UGC04305__IRAC1_GLOBAL_COLOR_ML__I27P0__ROBUST,false,27,IRAC1_GLOBAL_COLOR_ML,ROBUST,90004,4254.89974294,7.62388624786,10.7731665181,9.80610549155,6.76865675131,REFRACTED_GRAVITY_DISKMASS_MEDIAN_3D_PCG,Newton,0.11217763077,true
HOLMBERG_II_DEVELOPMENT,UGC04305,UGC04305__IRAC1_GLOBAL_COLOR_ML__I38P0__NATURAL,false,38,IRAC1_GLOBAL_COLOR_ML,NATURAL,36623,421.024833053,7.22139601085,19.7653908446,18.2570977148,7.6861299929,NEWTON_3D_DST,Newton,-0.064355144262,false
HOLMBERG_II_DEVELOPMENT,UGC04305,UGC04305__IRAC1_GLOBAL_COLOR_ML__I38P0__ROBUST,false,38,IRAC1_GLOBAL_COLOR_ML,ROBUST,91285,4315.45845779,6.42144956816,17.2449514325,15.7725004669,6.79751477332,NEWTON_3D_DST,Newton,-0.058563911647,false
HOLMBERG_II_DEVELOPMENT,UGC04305,UGC04305__IRAC1_GLOBAL_COLOR_ML__I49P0__NATURAL,false,49,IRAC1_GLOBAL_COLOR_ML,NATURAL,33319,383.04143332,7.52543323751,24.9408850772,23.3194365104,8.5646685379,NEWTON_3D_DST,Newton,-0.138096408219,false
HOLMBERG_II_DEVELOPMENT,UGC04305,UGC04305__IRAC1_GLOBAL_COLOR_ML__I49P0__ROBUST,false,49,IRAC1_GLOBAL_COLOR_ML,ROBUST,83657,3954.84809337,6.60210489367,20.7639693397,19.271416476,7.30139889457,NEWTON_3D_DST,Newton,-0.105919856191,false
HOLMBERG_II_DEVELOPMENT,UGC04305,UGC04305__IRAC1_IRAC2_FASTICA36__I27P0__NATURAL,false,27,IRAC1_IRAC2_FASTICA36,NATURAL,46249,531.687122952,6.97609997245,14.6046790467,13.1784317819,6.45158850466,REFRACTED_GRAVITY_DISKMASS_MEDIAN_3D_PCG,Newton,0.0751869196055,true
HOLMBERG_II_DEVELOPMENT,UGC04305,UGC04305__IRAC1_IRAC2_FASTICA36__I27P0__ROBUST,false,27,IRAC1_IRAC2_FASTICA36,ROBUST,87906,4155.71771036,7.17512892611,11.7473606084,10.5809640057,6.48275939272,REFRACTED_GRAVITY_DISKMASS_MEDIAN_3D_PCG,Newton,0.0964957620298,true
HOLMBERG_II_DEVELOPMENT,UGC04305,UGC04305__IRAC1_IRAC2_FASTICA36__I38P0__NATURAL,false,38,IRAC1_IRAC2_FASTICA36,NATURAL,44464,511.166430299,6.43488087514,23.8365264172,21.8983464633,8.5081160091,NEWTON_3D_DST,Newton,-0.322187026333,false
HOLMBERG_II_DEVELOPMENT,UGC04305,UGC04305__IRAC1_IRAC2_FASTICA36__I38P0__ROBUST,false,38,IRAC1_IRAC2_FASTICA36,ROBUST,87031,4114.35246798,6.15361654438,18.7498768001,17.0754691854,7.14656166163,NEWTON_3D_DST,Newton,-0.161359602129,false
HOLMBERG_II_DEVELOPMENT,UGC04305,UGC04305__IRAC1_IRAC2_FASTICA36__I49P0__NATURAL,false,49,IRAC1_IRAC2_FASTICA36,NATURAL,38149,438.568013438,7.24427641656,28.9678879137,26.9999194061,9.84588211615,NEWTON_3D_DST,Newton,-0.359125680744,false
HOLMBERG_II_DEVELOPMENT,UGC04305,UGC04305__IRAC1_IRAC2_FASTICA36__I49P0__ROBUST,false,49,IRAC1_IRAC2_FASTICA36,ROBUST,78882,3729.11205639,6.63264224111,22.443152609,20.7684020978,7.91600816501,NEWTON_3D_DST,Newton,-0.193492408793,false
SIX_GALAXY_EXTERNAL,NGC2841,NGC2841__IRAC1_FIXED_ML0P6__I73P7__NATURAL,true,73.7,IRAC1_FIXED_ML0P6,NATURAL,3697,70.8059186992,106.428059554,58.2765439697,80.3313037398,75.030705924,RAR_2016_ON_NEWTON_3D,RAR,-0.287494089612,false
SIX_GALAXY_EXTERNAL,NGC2841,NGC2841__IRAC1_FIXED_ML0P6__I73P7__ROBUST,false,73.7,IRAC1_FIXED_ML0P6,ROBUST,12300,696.004824141,86.818921608,54.7357246161,69.7827125988,65.5390365482,RAR_2016_ON_NEWTON_3D,RAR,-0.197372228246,false
SIX_GALAXY_EXTERNAL,NGC2841,NGC2841__IRAC1_GLOBAL_COLOR_ML__I73P7__NATURAL,false,73.7,IRAC1_GLOBAL_COLOR_ML,NATURAL,3572,68.4118857435,122.997965822,72.5318992621,93.2661183289,93.8774358166,RAR_2016_ON_NEWTON_3D,RAR,-0.294291708498,false
SIX_GALAXY_EXTERNAL,NGC2841,NGC2841__IRAC1_GLOBAL_COLOR_ML__I73P7__ROBUST,false,73.7,IRAC1_GLOBAL_COLOR_ML,ROBUST,12236,692.383335625,99.17163125,64.8902940518,79.5473975128,79.1380266847,RAR_2016_ON_NEWTON_3D,RAR,-0.219566467392,false
SIX_GALAXY_EXTERNAL,NGC2841,NGC2841__IRAC1_IRAC2_FASTICA36__I73P7__NATURAL,false,73.7,IRAC1_IRAC2_FASTICA36,NATURAL,3692,70.710157381,113.078159116,64.1387398388,85.668034836,82.3604111148,RAR_2016_ON_NEWTON_3D,RAR,-0.284097743762,false
SIX_GALAXY_EXTERNAL,NGC2841,NGC2841__IRAC1_IRAC2_FASTICA36__I73P7__ROBUST,false,73.7,IRAC1_IRAC2_FASTICA36,ROBUST,12459,705.001959673,91.0104837665,58.213456812,73.1001410517,69.985139951,RAR_2016_ON_NEWTON_3D,RAR,-0.202215841211,false
SIX_GALAXY_EXTERNAL,IC2574,IC2574__IRAC1_FIXED_ML0P6__I53P4__NATURAL,true,53.4,IRAC1_FIXED_ML0P6,NATURAL,47981,624.951556539,16.0987514134,32.5213209843,30.2443569324,16.5104999901,NEWTON_3D_DST,Newton,-0.0255764292589,false
SIX_GALAXY_EXTERNAL,IC2574,IC2574__IRAC1_FIXED_ML0P6__I53P4__ROBUST,false,53.4,IRAC1_FIXED_ML0P6,ROBUST,126051,7707.35029404,14.620232051,19.9832247529,17.7121945737,11.331790335,REFRACTED_GRAVITY_DISKMASS_MEDIAN_3D_PCG,Newton,0.224924043922,true
SIX_GALAXY_EXTERNAL,IC2574,IC2574__IRAC1_GLOBAL_COLOR_ML__I53P4__NATURAL,false,53.4,IRAC1_GLOBAL_COLOR_ML,NATURAL,70355,916.372454937,20.4147040355,28.1933744291,26.4998564287,18.6314515748,REFRACTED_GRAVITY_DISKMASS_MEDIAN_3D_PCG,Newton,0.0873513746592,true
SIX_GALAXY_EXTERNAL,IC2574,IC2574__IRAC1_GLOBAL_COLOR_ML__I53P4__ROBUST,false,53.4,IRAC1_GLOBAL_COLOR_ML,ROBUST,129553,7921.4790255,16.5534068971,17.5979257878,15.6930613886,12.9249618516,REFRACTED_GRAVITY_DISKMASS_MEDIAN_3D_PCG,MOND,0.176390027955,true
SIX_GALAXY_EXTERNAL,DDO154,DDO154__IRAC1_FIXED_ML0P6__I66P0__NATURAL,true,66,IRAC1_FIXED_ML0P6,NATURAL,52004,580.508042637,17.150811478,13.3677085935,12.3192870861,14.0765708185,MOND_STANDARD_MU_ON_NEWTON_3D,MOND,-0.142644920941,false
SIX_GALAXY_EXTERNAL,DDO154,DDO154__IRAC1_FIXED_ML0P6__I66P0__ROBUST,false,66,IRAC1_FIXED_ML0P6,ROBUST,85091,3395.69757582,16.6352496287,11.8324001313,10.8591638479,13.8710382263,MOND_STANDARD_MU_ON_NEWTON_3D,MOND,-0.277357853746,false
SIX_GALAXY_EXTERNAL,DDO154,DDO154__IRAC1_GLOBAL_COLOR_ML__I66P0__NATURAL,false,66,IRAC1_GLOBAL_COLOR_ML,NATURAL,51564,575.596429324,17.8900419996,11.9720750288,11.0473675139,15.0214025241,MOND_STANDARD_MU_ON_NEWTON_3D,MOND,-0.359726876575,false
SIX_GALAXY_EXTERNAL,DDO154,DDO154__IRAC1_GLOBAL_COLOR_ML__I66P0__ROBUST,false,66,IRAC1_GLOBAL_COLOR_ML,ROBUST,86797,3463.77833717,17.2187185409,10.7855819954,9.93217827185,14.594401402,MOND_STANDARD_MU_ON_NEWTON_3D,MOND,-0.469405904985,false
SIX_GALAXY_EXTERNAL,NGC5055,NGC5055__IRAC1_FIXED_ML0P6__I59P0__NATURAL,true,59,IRAC1_FIXED_ML0P6,NATURAL,21185,482.755039037,17.8171813598,42.8051142775,27.6163943644,34.853907866,NEWTON_3D_DST,Newton,-0.95619650282,false
SIX_GALAXY_EXTERNAL,NGC5055,NGC5055__IRAC1_FIXED_ML0P6__I59P0__ROBUST,false,59,IRAC1_FIXED_ML0P6,ROBUST,50237,3275.32770655,18.3292512945,39.5362427247,25.9670059556,33.7243968864,NEWTON_3D_DST,Newton,-0.839922228379,false
SIX_GALAXY_EXTERNAL,NGC5055,NGC5055__IRAC1_GLOBAL_COLOR_ML__I59P0__NATURAL,false,59,IRAC1_GLOBAL_COLOR_ML,NATURAL,19021,433.442699907,19.0653539251,31.0181108543,18.7741903573,21.0183104819,MOND_STANDARD_MU_ON_NEWTON_3D,MOND,-0.119532191903,false
SIX_GALAXY_EXTERNAL,NGC5055,NGC5055__IRAC1_GLOBAL_COLOR_ML__I59P0__ROBUST,false,59,IRAC1_GLOBAL_COLOR_ML,ROBUST,49649,3236.99156602,17.0550897144,27.2459836497,16.428744068,19.3026138941,MOND_STANDARD_MU_ON_NEWTON_3D,MOND,-0.174929368566,false
SIX_GALAXY_EXTERNAL,NGC5055,NGC5055__IRAC1_IRAC2_FASTICA36__I59P0__NATURAL,false,59,IRAC1_IRAC2_FASTICA36,NATURAL,20036,456.572101116,16.3883981869,40.947282032,25.720049189,32.3145595666,NEWTON_3D_DST,Newton,-0.971794875746,false
SIX_GALAXY_EXTERNAL,NGC5055,NGC5055__IRAC1_IRAC2_FASTICA36__I59P0__ROBUST,false,59,IRAC1_IRAC2_FASTICA36,ROBUST,50398,3285.82450693,16.9720586581,37.6621017396,24.2097094204,31.491223213,NEWTON_3D_DST,Newton,-0.855474568367,false
SIX_GALAXY_EXTERNAL,NGC6946,NGC6946__IRAC1_FIXED_ML0P6__I32P6__NATURAL,true,32.6,IRAC1_FIXED_ML0P6,NATURAL,211894,12420.4733574,14.0656003236,13.7551717956,8.83369127216,9.67585356552,MOND_STANDARD_MU_ON_NEWTON_3D,MOND,-0.0953352644335,false
SIX_GALAXY_EXTERNAL,NGC6946,NGC6946__IRAC1_FIXED_ML0P6__I32P6__ROBUST,false,32.6,IRAC1_FIXED_ML0P6,ROBUST,198561,17723.0471629,14.5776433393,14.31252729,9.95773746349,10.6499274008,MOND_STANDARD_MU_ON_NEWTON_3D,MOND,-0.0695127723402,false
SIX_GALAXY_EXTERNAL,NGC6946,NGC6946__IRAC1_GLOBAL_COLOR_ML__I32P6__NATURAL,false,32.6,IRAC1_GLOBAL_COLOR_ML,NATURAL,204831,12006.4653944,20.4354864673,8.99081960281,9.32289012425,11.8330793039,RAR_2016_ON_NEWTON_3D,RAR,-0.316129099084,false
SIX_GALAXY_EXTERNAL,NGC6946,NGC6946__IRAC1_GLOBAL_COLOR_ML__I32P6__ROBUST,false,32.6,IRAC1_GLOBAL_COLOR_ML,ROBUST,196166,17509.2755866,20.4280309307,10.0398983938,10.3902808953,12.5732050096,RAR_2016_ON_NEWTON_3D,RAR,-0.252323929624,false
SIX_GALAXY_EXTERNAL,NGC7331,NGC7331__IRAC1_FIXED_ML0P6__I75P8__NATURAL,true,75.8,IRAC1_FIXED_ML0P6,NATURAL,5640,325.826428223,16.2235329905,39.4754155076,20.4300807424,37.3992615238,NEWTON_3D_DST,Newton,-1.30524766374,false
SIX_GALAXY_EXTERNAL,NGC7331,NGC7331__IRAC1_FIXED_ML0P6__I75P8__ROBUST,false,75.8,IRAC1_FIXED_ML0P6,ROBUST,9078,793.695518025,24.3538020043,41.5556726132,27.9194197774,41.1531344499,NEWTON_3D_DST,Newton,-0.68980327764,false
SIX_GALAXY_EXTERNAL,NGC7331,NGC7331__IRAC1_GLOBAL_COLOR_ML__I75P8__NATURAL,false,75.8,IRAC1_GLOBAL_COLOR_ML,NATURAL,4826,278.801124575,30.1644574465,22.5774138465,15.1005728888,16.8873805013,MOND_STANDARD_MU_ON_NEWTON_3D,MOND,-0.118327140673,false
SIX_GALAXY_EXTERNAL,NGC7331,NGC7331__IRAC1_GLOBAL_COLOR_ML__I75P8__ROBUST,false,75.8,IRAC1_GLOBAL_COLOR_ML,ROBUST,8925,780.318627271,27.5362009055,26.9747723312,20.1571129978,23.9143217283,MOND_STANDARD_MU_ON_NEWTON_3D,MOND,-0.186396173445,false
SIX_GALAXY_EXTERNAL,NGC7331,NGC7331__IRAC1_IRAC2_FASTICA36__I75P8__NATURAL,false,75.8,IRAC1_IRAC2_FASTICA36,NATURAL,1504,86.887047526,69.3578331044,32.5572935385,45.5135471734,47.7888570072,RAR_2016_ON_NEWTON_3D,RAR,-0.467838748658,false
SIX_GALAXY_EXTERNAL,NGC7331,NGC7331__IRAC1_IRAC2_FASTICA36__I75P8__ROBUST,false,75.8,IRAC1_IRAC2_FASTICA36,ROBUST,8110,709.062640579,68.183723388,34.8591999656,44.912785255,50.2907941618,RAR_2016_ON_NEWTON_3D,RAR,-0.442683544414,false
