case,kind,time,energy,oscillator_energy,mean_radius,mean_inward_acceleration
nested_co,newton,0.0,-0.7570450908524732,0.0,1.5,6.251350094095388
nested_co,newton,0.1,-0.757045090853266,0.0,1.4998949085554165,6.252521266935879
nested_co,newton,0.2,-0.7570450908532832,0.0,1.4995912060604502,6.255722223842948
nested_co,newton,0.30000000000000004,-0.7570450908533074,0.0,1.4991229492582454,6.260001297416049
nested_co,newton,0.4,-0.7570450908533364,0.0,1.49854470334862,6.263731890405634
nested_co,newton,0.5,-0.7570450908533736,0.0,1.4979279335744287,6.264622518538801
nested_co,newton,0.6000000000000001,-0.7570450908534114,0.0,1.4973537004995223,6.260095458347683
nested_co,newton,0.7000000000000001,-0.7570450908533788,0.0,1.4968945853311624,6.248662417151886
nested_co,newton,0.8,-0.7570450908533495,0.0,1.4965751117354147,6.231429837731646
nested_co,newton,0.9,-0.757045090853262,0.0,1.4963235534093864,6.210691257541543
nested_co,newton,1.0,-0.7570450908531846,0.0,1.4959705623797528,6.188835270835973
nested_co,newton,1.1,-0.7570450908530745,0.0,1.4953094882605642,6.169842010233326
nested_co,newton,1.2000000000000002,-0.7570450908530066,0.0,1.4941606102626603,6.158403287635245
nested_co,newton,1.3,-0.7570450908529739,0.0,1.4924063078035075,6.158153079075992
nested_co,newton,1.4000000000000001,-0.7570450908529753,0.0,1.4900049316509816,6.171036732623598
nested_co,newton,1.5,-0.7570450908530144,0.0,1.4869944019514576,6.1973113293493896
nested_co,newton,1.6,-0.7570450908530915,0.0,1.4834900086223337,6.235648019794098
nested_co,newton,1.7000000000000002,-0.7570450908532077,0.0,1.4796773652664996,6.28320478930849
nested_co,newton,1.8,-0.757045090853357,0.0,1.4758002463834792,6.335693956000394
nested_co,newton,1.9000000000000001,-0.7570450908535294,0.0,1.4721428477330898,6.387509864762977
nested_co,newton,2.0,-0.7570450908537047,0.0,1.469006440417791,6.4319943471927195
nested_co,newton,2.1,-0.7570450908538721,0.0,1.4666809470291864,6.461982832735114
nested_co,newton,2.2,-0.7570450908539805,0.0,1.4654109447748733,6.471076107532479
nested_co,newton,2.3000000000000003,-0.7570450908539552,0.0,1.4653504303457303,6.456221613972936
nested_co,newton,2.4000000000000004,-0.7570450908538311,0.0,1.4665004196611877,6.419484405600162
nested_co,newton,2.5,-0.7570450908536613,0.0,1.468661625524363,6.365693816708868
nested_co,newton,2.6,-0.7570450908534295,0.0,1.4714692072819624,6.301583860336205
nested_co,newton,2.7,-0.7570450908532022,0.0,1.4744934303980115,6.236272118942515
nested_co,newton,2.8000000000000003,-0.7570450908530345,0.0,1.4773269895467944,6.178779982441078
nested_co,newton,2.9000000000000004,-0.7570450908529172,0.0,1.4796339735362203,6.136063582840096
nested_co,newton,3.0,-0.7570450908528503,0.0,1.4811741660180713,6.112663111078501
nested_co,newton,3.1,-0.757045090852834,0.0,1.4818148227589645,6.110939453440346
nested_co,newton,3.2,-0.7570450908528681,0.0,1.4815355407672794,6.131309352020932
nested_co,newton,3.3000000000000003,-0.7570450908529555,0.0,1.4804284104984144,6.1723144813712665
nested_co,newton,3.4000000000000004,-0.7570450908531023,0.0,1.4786936346846713,6.230515712386271
nested_co,newton,3.5,-0.7570450908533078,0.0,1.4766292578242286,6.300279823130438
nested_co,newton,3.6,-0.7570450908535685,0.0,1.4746125164760862,6.373606753560767
nested_co,newton,3.7,-0.7570450908538751,0.0,1.473069635587016,6.440302935606441
nested_co,newton,3.8000000000000003,-0.7570450908541674,0.0,1.4724298390275057,6.489186925765642
nested_co,newton,3.9000000000000004,-0.7570450908543367,0.0,1.473056147909795,6.511197961992358
nested_co,newton,4.0,-0.7570450908543535,0.0,1.4751488697620583,6.502476878537606
nested_co,newton,4.1000000000000005,-0.7570450908542498,0.0,1.4786606350790354,6.463562765799482
nested_co,newton,4.2,-0.7570450908540028,0.0,1.48330277305174,6.399410071100809
nested_co,newton,4.3,-0.7570450908537095,0.0,1.488637614849453,6.319827170858429
nested_co,newton,4.4,-0.7570450908534507,0.0,1.4941755737051214,6.236213825285611
nested_co,newton,4.5,-0.757045090853236,0.0,1.4994430268901668,6.158659062846163
nested_co,newton,4.6000000000000005,-0.7570450908530763,0.0,1.5040267626305175,6.094922387088123
nested_co,newton,4.7,-0.7570450908529724,0.0,1.5076026807242116,6.0503587980592375
nested_co,newton,4.800000000000001,-0.757045090852922,0.0,1.5099532251407655,6.028130707718107
nested_co,newton,4.9,-0.7570450908529225,0.0,1.510976836208458,6.029420580764601
nested_co,newton,5.0,-0.7570450908529733,0.0,1.5106918121240778,6.053510557471425
nested_co,newton,5.1000000000000005,-0.757045090853077,0.0,1.5092356611528248,6.097677893410141
nested_co,newton,5.2,-0.7570450908532382,0.0,1.5068592947965547,6.156949570934397
nested_co,newton,5.300000000000001,-0.7570450908534685,0.0,1.5039129536782516,6.223984302482018
nested_co,newton,5.4,-0.7570450908537003,0.0,1.5008162921217747,6.289838823468825
nested_co,newton,5.5,-0.7570450908539448,0.0,1.4979987912948476,6.346179923576205
nested_co,newton,5.6000000000000005,-0.7570450908540731,0.0,1.4958060904766464,6.386513227769823
nested_co,newton,5.7,-0.7570450908541814,0.0,1.494419013145833,6.405655018386673
nested_co,newton,5.800000000000001,-0.7570450908541261,0.0,1.4938479422003377,6.402087155424465
nested_co,newton,5.9,-0.7570450908540142,0.0,1.4939792162138903,6.379005687390746
nested_co,newton,6.0,-0.7570450908538691,0.0,1.494620080744004,6.342151517058839
nested_co,newton,6.1000000000000005,-0.7570450908537079,0.0,1.495532666850645,6.29795208140263
nested_co,newton,6.2,-0.7570450908535536,0.0,1.4964638545861035,6.2525716782998275
nested_co,newton,6.300000000000001,-0.7570450908534224,0.0,1.497172798247402,6.211362194246406
nested_co,newton,6.4,-0.7570450908533234,0.0,1.4974546485833864,6.178513708131872
nested_co,newton,6.5,-0.7570450908532596,0.0,1.4971591553108032,6.156843097227371
nested_co,newton,6.6000000000000005,-0.757045090853231,0.0,1.4962038220009388,6.147658105773182
nested_co,newton,6.7,-0.7570450908532371,0.0,1.4945818701786284,6.15063653775991
nested_co,newton,6.800000000000001,-0.7570450908532849,0.0,1.4923648851548497,6.163746496921741
nested_co,newton,6.9,-0.7570450908533658,0.0,1.4896976630409446,6.183539915750016
