RADIUS	WIDTH	KT	KT_LO	KT_HI	NORM	NORM_LO	NORM_HI	ZFE	ZFE_LO	ZFE_HI
0.25	0.25	5.734288215637207	0.056438300758600235	0.05642959848046303	0.012011297047138214	6.679689977318048e-05	6.656200275756419e-05	0.6138297915458679	0.019816799089312553	0.020196299999952316
0.75	0.25	6.643914699554443	0.05299479886889458	0.05308479815721512	0.005436795763671398	2.3975699150469154e-05	2.388110078754835e-05	0.4380997121334076	0.016151700168848038	0.01642630062997341
1.25	0.25	7.036008834838867	0.0920587033033371	0.092181496322155	0.0026941047981381416	1.2744900232064538e-05	1.2685600268014241e-05	0.36984390020370483	0.017421899363398552	0.01776690036058426
1.75	0.25	7.32200288772583	0.11061300337314606	0.11078000068664551	0.0014694832498207688	8.163199709088076e-06	8.116589924611617e-06	0.351681113243103	0.02089410088956356	0.02137809991836548
2.25	0.25	7.450094223022461	0.13316400349140167	0.1332789957523346	0.0008944364381022751	5.942450115981046e-06	5.901799795537954e-06	0.36450719833374023	0.02538220025599003	0.02609339915215969
2.75	0.25	7.46208381652832	0.15806399285793304	0.15841999650001526	0.0005933901993557811	4.354219981905771e-06	4.320620064390823e-06	0.27230268716812134	0.026771700009703636	0.027627499774098396
3.5	0.5	7.723091125488281	0.14774100482463837	0.14780600368976593	0.0003401965368539095	2.449530029480229e-06	2.435380110910046e-06	0.3228577971458435	0.025822799652814865	0.026590900495648384
4.5	0.5	8.20638370513916	0.20346400141716003	0.2034360021352768	0.00017827963165473193	1.7246300103579415e-06	1.7105400047512376e-06	0.3277494013309479	0.03722139820456505	0.03861989825963974
5.5	0.5	8.223990440368652	0.25925999879837036	0.2580130100250244	0.00010932081931969151	1.3728199519391637e-06	1.3588600040748133e-06	0.38459470868110657	0.05055370181798935	0.052990399301052094
6.5	0.5	8.473426818847656	0.3367069959640503	0.4225209951400757	7.187764276750386e-05	1.163140041171573e-06	1.1491499662952265e-06	0.41078439354896545	0.0695774033665657	0.07400870323181152
7.5	0.5	7.5177531242370605	0.7784429788589478	0.7593100070953369	4.8279151087626815e-05	1.0443500286783092e-06	1.033509988701553e-06	0.4378189146518707	0.09950689971446991	0.1075339987874031
9.0	1.0	6.397439002990723	0.7150589823722839	0.8853740096092224	3.115267099929042e-05	6.242719905458216e-07	6.169310040604614e-07	0.28496840596199036	0.08418740332126617	0.09018860012292862
11.5	1.5	6.138984203338623	0.46820399165153503	0.4526839852333069	1.4131735042610671e-05	3.8493499232572503e-07	3.829059949111979e-07	0.20841029286384583	0.08749429881572723	0.097565196454525
15.0	2.0	5.138656139373779	0.5265359878540039	0.8716070055961609	6.087621841288637e-06	2.8597199275282037e-07	1.9053699418236647e-07	0.011960700154304504	0.011960700154304504	0.12120100110769272
