id,component,height_kpc,refinement_factor,source_node_spacing_kpc,observed_cell_width_kpc,latent_nodes_per_axis,observed_cells_per_axis,refitted_source_image_rms,nonnegative_image_floor,excess_squared_rms_above_nonnegative_floor,prediction_change_relative_to_target_rms,gross_refitted_mismatch,optimizer_converged,iterations,scaled_projected_gradient_rms,normalized_objective,conditional_source_integral,fitted_cells,reported_cells,negative_reported_cells,elapsed_seconds,noise_likelihood,independent_prediction
stellar_luminosity-h0p0-f1,stellar_luminosity,0.0,1,0.125,0.125,129,129,0.05227956610805893,0.0,0.002733153032446904,,True,True,250,8.272555029947604e-07,8.069413141404137,3494923673.142347,4996,1776,0,0.14090020000003278,False,False
stellar_luminosity-h0p0-f2,stellar_luminosity,0.0,2,0.0625,0.125,257,129,0.0016753831808178805,0.0,2.806908802567439e-06,0.0507546310254613,False,True,350,5.82653736003249e-07,0.5068602134833067,3465338220.6337595,4996,1776,0,0.1922346000210382,False,False
stellar_luminosity-h0p0-f4,stellar_luminosity,0.0,4,0.03125,0.125,513,129,0.0008066794374919536,0.0,6.507317148723347e-07,0.0009225441179288953,False,True,400,9.340263031596334e-07,0.2979969111828408,3466223423.2418065,4996,1776,0,0.28903350001201034,False,False
stellar_luminosity-h0p1-f1,stellar_luminosity,0.1,1,0.125,0.125,129,129,0.17151102331126564,0.0,0.029416031117277506,,True,True,800,9.255022662035832e-07,84.11307811680472,3552062733.497615,4996,1776,0,0.3782941999961622,False,False
stellar_luminosity-h0p1-f2,stellar_luminosity,0.1,2,0.0625,0.125,257,129,0.15070320587043656,0.0,0.022711456259627186,0.03394592733324869,True,True,800,9.27012287291743e-07,67.64165665760008,3523743938.7660766,4996,1776,0,0.3638427999976557,False,False
stellar_luminosity-h0p1-f4,stellar_luminosity,0.1,4,0.03125,0.125,513,129,0.14573514879743618,0.0,0.021238733595010866,0.013258520052030646,True,True,750,8.712685500018208e-07,64.52264091138522,3521400688.3520107,4996,1776,0,0.47276900001452304,False,False
stellar_luminosity-h0p2-f1,stellar_luminosity,0.2,1,0.125,0.125,129,129,0.22634774798915966,0.0,0.05123330301976413,,True,True,1100,9.262743022683166e-07,145.00344162466092,3571819101.328587,4996,1776,0,0.5466842000023462,False,False
stellar_luminosity-h0p2-f2,stellar_luminosity,0.2,2,0.0625,0.125,257,129,0.21807299410483585,0.0,0.04755583075784777,0.02278628767353381,True,True,1100,9.70817756429495e-07,136.98926084398502,3545218207.253423,4996,1776,0,0.52336209997884,False,False
stellar_luminosity-h0p2-f4,stellar_luminosity,0.2,4,0.03125,0.125,513,129,0.2169639565513101,0.0,0.04707335844239877,0.005361059673868719,True,True,1000,9.16214788056365e-07,135.06381343844626,3544068762.4135733,4996,1776,0,0.6118543999909889,False,False
stellar_luminosity-h0p4-f1,stellar_luminosity,0.4,1,0.125,0.125,129,129,0.2695838858560792,0.0,0.07267547151326352,,True,True,1450,8.689986707519192e-07,204.62507848451347,3600443127.2014327,4996,1776,0,0.7023963000101503,False,False
stellar_luminosity-h0p4-f2,stellar_luminosity,0.4,2,0.0625,0.125,257,129,0.26702344900372244,0.0,0.07130152231784355,0.017214276001648106,True,True,1350,9.60185298534405e-07,201.621497050136,3576590285.94589,4996,1776,0,0.5784329999878537,False,False
stellar_luminosity-h0p4-f4,stellar_luminosity,0.4,4,0.03125,0.125,513,129,0.266139829587519,0.0,0.07083040889287363,0.004080786029182523,True,True,1300,9.361737881598583e-07,200.30766338450937,3574602966.8306203,4996,1776,0,0.762799799995264,False,False
atomic_helium-h0p0-f1,atomic_helium,0.0,1,0.125,0.125,129,129,0.001252992694249911,0.0,1.5699906918436508e-06,,False,True,300,6.238026297236402e-07,0.1675655670845061,177079136.8582644,4572,1789,0,0.1378815000061877,False,False
