id,radius_inner_kpc,relative_image_rms
stellar_luminosity-h0p0-f1,0.0,0.00015722816734452824
stellar_luminosity-h0p0-f1,0.5,0.0002170825299269259
stellar_luminosity-h0p0-f1,1.0,0.011185199988936157
stellar_luminosity-h0p0-f1,1.5,0.12137975505103651
stellar_luminosity-h0p0-f1,2.0,0.001889614176805182
stellar_luminosity-h0p0-f1,2.5,0.021295314158967696
stellar_luminosity-h0p0-f2,0.0,0.00010490256017087645
stellar_luminosity-h0p0-f2,0.5,0.0001312926539370726
stellar_luminosity-h0p0-f2,1.0,0.0001830441784736738
stellar_luminosity-h0p0-f2,1.5,0.0039002974774591617
stellar_luminosity-h0p0-f2,2.0,0.00015651873048927044
stellar_luminosity-h0p0-f2,2.5,0.0005802681317458756
stellar_luminosity-h0p0-f4,0.0,7.892479420113608e-05
stellar_luminosity-h0p0-f4,0.5,9.24026400479313e-05
stellar_luminosity-h0p0-f4,1.0,0.00013411047167909327
stellar_luminosity-h0p0-f4,1.5,0.001870525269157061
stellar_luminosity-h0p0-f4,2.0,0.00010564330910866376
stellar_luminosity-h0p0-f4,2.5,0.00034582487850500426
stellar_luminosity-h0p1-f1,0.0,0.01567947649731302
stellar_luminosity-h0p1-f1,0.5,0.018559272701539675
stellar_luminosity-h0p1-f1,1.0,0.08451667471172364
stellar_luminosity-h0p1-f1,1.5,0.3847614202171897
stellar_luminosity-h0p1-f1,2.0,0.12195700522385931
stellar_luminosity-h0p1-f1,2.5,0.17408211764515946
stellar_luminosity-h0p1-f2,0.0,0.007668192090860887
stellar_luminosity-h0p1-f2,0.5,0.008875490900814768
stellar_luminosity-h0p1-f2,1.0,0.07079237356747108
stellar_luminosity-h0p1-f2,1.5,0.3397737928880003
stellar_luminosity-h0p1-f2,2.0,0.11332992846083076
stellar_luminosity-h0p1-f2,2.5,0.1404362777157174
stellar_luminosity-h0p1-f4,0.0,0.006422429166402875
stellar_luminosity-h0p1-f4,0.5,0.006891611528323707
stellar_luminosity-h0p1-f4,1.0,0.06345164047670682
stellar_luminosity-h0p1-f4,1.5,0.32960813964099955
stellar_luminosity-h0p1-f4,2.0,0.12273106796388007
stellar_luminosity-h0p1-f4,2.5,0.13486789445003047
stellar_luminosity-h0p2-f1,0.0,0.03558438261329531
stellar_luminosity-h0p2-f1,0.5,0.04220783891040677
stellar_luminosity-h0p2-f1,1.0,0.15015715954197106
stellar_luminosity-h0p2-f1,1.5,0.48196086091540086
stellar_luminosity-h0p2-f1,2.0,0.3608165630553529
stellar_luminosity-h0p2-f1,2.5,0.22680059832057597
stellar_luminosity-h0p2-f2,0.0,0.030984855775593775
stellar_luminosity-h0p2-f2,0.5,0.03803340505211811
stellar_luminosity-h0p2-f2,1.0,0.13879034053923014
stellar_luminosity-h0p2-f2,1.5,0.46558545354018405
stellar_luminosity-h0p2-f2,2.0,0.3765367234863748
stellar_luminosity-h0p2-f2,2.5,0.20631357854234908
stellar_luminosity-h0p2-f4,0.0,0.029601357646683403
stellar_luminosity-h0p2-f4,0.5,0.03653900957680238
stellar_luminosity-h0p2-f4,1.0,0.13751753953863283
stellar_luminosity-h0p2-f4,1.5,0.46314196518836576
stellar_luminosity-h0p2-f4,2.0,0.3829251759026678
stellar_luminosity-h0p2-f4,2.5,0.20533425340644967
stellar_luminosity-h0p4-f1,0.0,0.05143703348592254
stellar_luminosity-h0p4-f1,0.5,0.062082844893833485
stellar_luminosity-h0p4-f1,1.0,0.18051989610182367
stellar_luminosity-h0p4-f1,1.5,0.5612398643042897
stellar_luminosity-h0p4-f1,2.0,0.5189880707930427
stellar_luminosity-h0p4-f1,2.5,0.4322732643022913
stellar_luminosity-h0p4-f2,0.0,0.0484073305572743
stellar_luminosity-h0p4-f2,0.5,0.060740628558959016
stellar_luminosity-h0p4-f2,1.0,0.17378038944844734
stellar_luminosity-h0p4-f2,1.5,0.5564430831346732
stellar_luminosity-h0p4-f2,2.0,0.5358500032727781
stellar_luminosity-h0p4-f2,2.5,0.43808281744876293
stellar_luminosity-h0p4-f4,0.0,0.04758110452966141
stellar_luminosity-h0p4-f4,0.5,0.060038629839265986
stellar_luminosity-h0p4-f4,1.0,0.17522255710362983
stellar_luminosity-h0p4-f4,1.5,0.5540699296663205
stellar_luminosity-h0p4-f4,2.0,0.532545533921456
stellar_luminosity-h0p4-f4,2.5,0.43608452052358837
atomic_helium-h0p0-f1,0.0,0.0001920270400133261
atomic_helium-h0p0-f1,0.5,0.00015774629612948877
atomic_helium-h0p0-f1,1.0,0.00014906962200943185
atomic_helium-h0p0-f1,1.5,0.0001770656589594306
atomic_helium-h0p0-f1,2.0,0.0016119536011912532
atomic_helium-h0p0-f1,2.5,0.008179227158952352
atomic_helium-h0p0-f2,0.0,0.00013205460947509403
atomic_helium-h0p0-f2,0.5,0.00010777228215101154
atomic_helium-h0p0-f2,1.0,0.00010919037202563597
atomic_helium-h0p0-f2,1.5,0.00012936514607179926
atomic_helium-h0p0-f2,2.0,0.0002002200191670541
atomic_helium-h0p0-f2,2.5,0.0002806177734910303
atomic_helium-h0p0-f4,0.0,0.00010422755246656524
atomic_helium-h0p0-f4,0.5,8.642944099432222e-05
atomic_helium-h0p0-f4,1.0,8.790014154938314e-05
atomic_helium-h0p0-f4,1.5,0.00010371504063568279
atomic_helium-h0p0-f4,2.0,0.00015605943503490334
atomic_helium-h0p0-f4,2.5,0.0002072088686288957
atomic_helium-h0p1-f1,0.0,0.009899532127738983
