group	role	outer_fold	richness_stratum	mass_stratum	concentration_stratum	members	log10_mass	log10_r_rms	log10_r50	log10_r90	log10_richness	log10_distance	log10_virial_velocity	log10_acceleration_amplitude	log10_tidal_amplitude	shape_axis_ratio	radial_concentration	signed_log_center_acceleration_norm	signed_log_tidal_trace_norm	log10_tidal_frobenius_norm	signed_log_tidal_determinant_norm	tidal_eigenvalue_anisotropy	log10_third_derivative_norm	acceleration_shape_alignment	tidal_shape_alignment	third_x_tidal_anisotropy	radial_field_slope_inner	radial_field_slope_outer	radial_field_curvature	radial_slope_transition	r_rms_kpc	epsilon_kpc	total_mass_msun
6	reserved_confirmation		8_11	low_mass	high_concentration	10	1.143539223773e+01	2.670525492105e+00	2.532537176444e+00	2.827281871616e+00	1.000000000000e+00	1.902872785446e+00	1.699213550158e+00	7.279016082109e-01	-1.942623883894e+00	3.540348894935e-01	5.072888360064e-01	2.657314746460e-01	5.109477769261e-01	4.699609541798e-01	-4.530883777889e-01	9.999999999997e-01	9.613715395118e-01	9.262519971135e-01	9.601775106312e-01	9.613715395115e-01	1.306945992850e+00	-1.878928413067e+00	-1.532081735437e+00	-3.185874405917e+00	4.683014388036e+02	2.341507194018e+01	2.725161455841e+11
11	exploration	2	8_11	low_mass	low_concentration	9	1.157812496422e+01	2.040871539210e+00	1.333437210270e+00	2.026497322698e+00	9.542425094393e-01	1.724392914335e+00	2.085406889849e+00	2.129942240489e+00	8.907070127868e-02	4.070561188448e-01	2.027402079308e-01	8.837808346612e-01	-1.131149674240e+00	1.585651403779e+00	-2.822386093326e+00	1.000000000000e+00	2.681551513063e+00	5.784009567271e-01	-5.623552233904e-01	2.681551513062e+00	-1.018552916325e+00	-2.178226216818e+00	-5.576849732245e-01	-1.159673300494e+00	1.098680810480e+02	2.000000000000e+01	3.785514937391e+11
19	reserved_confirmation		20_plus	high_mass	low_concentration	24	1.210520535544e+01	2.527977518934e+00	2.251156213163e+00	2.761586361225e+00	1.380211241712e+00	2.043058980128e+00	2.105394095597e+00	1.682810672261e+00	-8.451668466731e-01	7.408450575090e-01	3.087236156907e-01	8.578861268368e-01	1.569337789369e+00	2.050356024815e+00	-3.752391312180e+00	1.000000000000e+00	3.356749584163e+00	-8.669209690663e-01	-6.790449786633e-01	3.356749584163e+00	-2.795591611587e-01	-1.760618518867e+00	-7.122389968758e-01	-1.481059357708e+00	3.372698495788e+02	2.000000000000e+01	1.274105397269e+12
22	reserved_confirmation		12_19	low_mass	low_concentration	14	1.168557251227e+01	2.321525167152e+00	1.866739714912e+00	2.680430611333e+00	1.146128035678e+00	1.781386041706e+00	1.998803849903e+00	1.676082532653e+00	-6.454426344984e-01	6.300373734897e-01	1.535709615723e-01	7.902807965536e-01	1.137447584006e+00	1.462023072604e+00	-2.531271713678e+00	1.000000000000e+00	2.392545278571e+00	9.721818988013e-01	9.737297089456e-01	2.392545278571e+00	-8.557215721979e-01	-1.689164272265e+00	-4.008012167508e-01	-8.334427000674e-01	2.096646276393e+02	2.000000000000e+01	4.848110526694e+11
24	exploration	0	8_11	low_mass	low_concentration	11	1.173185299421e+01	2.654473148302e+00	2.454245937900e+00	2.916649885489e+00	1.041392685158e+00	1.827784534741e+00	1.855470100299e+00	1.056467052296e+00	-1.598006096006e+00	3.447743900195e-01	3.448228622159e-01	3.977289211580e-01	8.532449024917e-01	7.141078747668e-01	8.062881602879e-01	6.522939168844e-01	1.747021954426e+00	-7.484920777573e-01	-6.711073817967e-01	1.139571793536e+00	5.877426285861e-01	-2.777699227016e+00	-1.618435425159e+00	-3.365441855602e+00	4.513081208552e+02	2.256540604276e+01	5.393280326681e+11
32	exploration	1	8_11	low_mass	high_concentration	8	1.164585682348e+01	2.717072871231e+00	2.700139430946e+00	2.968312311162e+00	9.030899869919e-01	2.055804115665e+00	1.781172153468e+00	8.452714357053e-01	-1.871801435526e+00	2.250454304965e-01	5.392959015020e-01	6.209217462568e-01	1.182019833195e+00	1.473824294258e+00	-2.535688476549e+00	1.000000000000e+00	2.534838676850e+00	9.675546420838e-01	7.372703553809e-01	2.534838676850e+00	-1.836371375988e+00	-2.768226311925e+00	-4.481274983013e-01	-9.318549359367e-01	5.212821708548e+02	2.606410854274e+01	4.424424855932e+11
43	reserved_confirmation		8_11	low_mass	low_concentration	8	1.180073780371e+01	2.467748364429e+00	2.132434219143e+00	2.664624768597e+00	9.030899869919e-01	2.133365520924e+00	1.983274896986e+00	1.498801429544e+00	-9.689469348854e-01	2.420733982376e-01	2.936361022293e-01	6.385447127183e-01	1.223164545587e+00	1.408074598062e+00	-2.311573230724e+00	1.000000000000e+00	2.647593485511e+00	-7.547948782240e-01	1.184567395402e-03	2.647593485511e+00	9.708488569518e-02	-1.820392146530e+00	-9.221115351367e-01	-1.917477032225e+00	2.935948034595e+02	2.000000000000e+01	6.320301610679e+11
46	exploration	4	8_11	high_mass	high_concentration	8	1.210690092181e+01	2.758963990473e+00	2.749041465544e+00	2.759585007479e+00	9.030899869919e-01	2.377550811160e+00	1.990748643012e+00	1.222533295551e+00	-1.536430694922e+00	4.948038766223e-01	9.760149232337e-01	3.556372656140e-01	7.595960284968e-01	9.560419667363e-01	-1.485157269002e+00	9.999999999999e-01	1.908962674313e+00	8.738557193085e-01	8.470934750568e-01	1.908962674313e+00	-4.122876119269e-01	-3.699356782430e+00	-1.580746130448e+00	-3.287069170503e+00	5.740688613141e+02	2.870344306571e+01	1.279089464557e+12
49	exploration	3	12_19	high_mass	low_concentration	13	1.183628712081e+01	2.490822578541e+00	2.121656353854e+00	2.695265937841e+00	1.113943352307e+00	2.083195372218e+00	1.989512448476e+00	1.488202318411e+00	-1.002620260130e+00	4.522114299679e-01	2.669257157951e-01	4.052930096704e-01	1.046831224083e+00	1.180362814756e+00	-1.808475381688e+00	9.999999999999e-01	2.167819638809e+00	-5.610794602425e-01	9.999815776902e-01	2.167819638808e+00	2.893886641086e-01	-2.186342318897e+00	-1.190574937253e+00	-2.475730983006e+00	3.096154175124e+02	2.000000000000e+01	6.859415663284e+11
50	exploration	2	8_11	high_mass	low_concentration	9	1.180683087242e+01	2.298446944048e+00	1.705863180492e+00	2.673295952979e+00	9.542425094393e-01	1.815055674134e+00	2.070972141531e+00	1.843497339014e+00	-4.549496050340e-01	4.233157686332e-01	1.077872092221e-01	8.201546895057e-01	1.258305279778e+00	1.546723200922e+00	-2.676129105221e+00	1.000000000000e+00	2.864100244850e+00	-9.983518342810e-01	-7.905165659383e-01	2.864100244850e+00	-1.245391343277e+00	-2.406963992411e+00	-5.585983668456e-01	-1.161572649133e+00	1.988139912768e+02	2.000000000000e+01	6.409599185434e+11
