group	role	outer_fold	richness_stratum	mass_stratum	concentration_stratum	members	log10_mass	log10_r_rms	log10_r50	log10_r90	log10_richness	log10_distance	log10_virial_velocity	log10_acceleration_amplitude	log10_tidal_amplitude	shape_axis_ratio	radial_concentration	signed_log_center_acceleration_norm	signed_log_tidal_trace_norm	log10_tidal_frobenius_norm	signed_log_tidal_determinant_norm	tidal_eigenvalue_anisotropy	log10_third_derivative_norm	acceleration_shape_alignment	tidal_shape_alignment	third_x_tidal_anisotropy	radial_field_slope_inner	radial_field_slope_outer	radial_field_curvature	radial_slope_transition	r_rms_kpc	epsilon_kpc	total_mass_msun
6	reserved_confirmation		8_11	low_mass	high_concentration	9	1.117633328577e+01	2.678743923347e+00	2.659730270481e+00	2.823148571662e+00	9.542425094393e-01	1.902872785446e+00	1.565574858556e+00	4.524057937644e-01	-2.226338129583e+00	4.536170035572e-01	6.864069921085e-01	7.273651752117e-01	1.367188372898e+00	1.839510658234e+00	-3.330478494545e+00	1.000000000000e+00	3.246925343708e+00	-5.669758741041e-01	-3.933714921820e-01	3.246925343708e+00	-8.853628868544e-02	-2.709073657539e+00	-1.260212088836e+00	-2.620537368853e+00	4.772477871125e+02	2.386238935562e+01	1.500836163631e+11
11	exploration	2	8_11	low_mass	low_concentration	8	1.113684862761e+01	2.246671024380e+00	2.069942183410e+00	2.502649921812e+00	9.030899869919e-01	1.724392914335e+00	1.761868978957e+00	1.277066933535e+00	-9.696040908454e-01	3.951600852810e-01	3.692259882700e-01	3.155309781022e-01	6.144220147656e-01	5.702978002951e-01	-4.854716477702e-01	9.999999999998e-01	1.617430439426e+00	7.207449133043e-01	6.832657399466e-02	1.617430439426e+00	7.124420026787e-01	-1.539847586961e+00	-1.083122340540e+00	-2.252289589640e+00	1.764700563546e+02	2.000000000000e+01	1.370404031580e+11
19	reserved_confirmation		20_plus	high_mass	low_concentration	23	1.201906499561e+01	2.570206248344e+00	2.319847540688e+00	2.847862835269e+00	1.361727836018e+00	2.043058980128e+00	2.041209550976e+00	1.512212853607e+00	-1.057993394737e+00	7.376599879371e-01	2.964726978672e-01	6.092090861077e-01	1.141521116692e+00	1.326971328063e+00	-2.157722945826e+00	1.000000000000e+00	2.588895199162e+00	1.075280353782e-01	1.403034680409e-01	2.588895199162e+00	4.060017059362e-01	-1.739638652108e+00	-1.031834901360e+00	-2.145640358044e+00	3.717117147021e+02	2.000000000000e+01	1.044876581573e+12
22	reserved_confirmation		12_19	low_mass	high_concentration	13	1.142084760636e+01	2.434490292185e+00	2.347494855753e+00	2.626537735674e+00	1.113943352307e+00	1.781386041706e+00	1.809958834433e+00	1.185427376680e+00	-1.249062915505e+00	6.711600751722e-01	5.259653328151e-01	3.966529491674e-01	7.406934531809e-01	9.161585694832e-01	-1.395171241082e+00	9.999999999999e-01	1.578075237146e+00	9.824516141140e-01	8.263489734948e-01	1.578075237146e+00	3.545839929216e-01	-1.859445582157e+00	-1.064723162782e+00	-2.214029575078e+00	2.719507696076e+02	2.000000000000e+01	2.635406461233e+11
24	exploration	0	8_11	low_mass	high_concentration	10	1.162066433230e+01	2.699715385791e+00	2.610967216889e+00	2.900834152456e+00	1.000000000000e+00	1.827784534741e+00	1.777254650598e+00	8.547939154055e-01	-1.844921470385e+00	2.660039749394e-01	5.130185447843e-01	1.797404014986e-01	7.467336435497e-01	8.775342689346e-01	-1.277679845452e+00	9.999999999999e-01	1.446592928356e+00	-8.324117407392e-01	8.898258000594e-01	1.446592928356e+00	6.916462932527e-01	-2.697057028050e+00	-1.629621825563e+00	-3.388703321303e+00	5.008588889598e+02	2.504294444799e+01	4.175075488869e+11
32	exploration	1	8_11	low_mass	high_concentration	7	1.148446265269e+01	2.789654564956e+00	2.749794827654e+00	2.936778180905e+00	8.450980400143e-01	2.055804115665e+00	1.664184221212e+00	5.387138774673e-01	-2.250940687489e+00	2.208547336735e-01	6.501546106527e-01	5.744504035775e-01	1.125565175971e+00	1.417414079881e+00	-2.425741919633e+00	1.000000000000e+00	2.637555408279e+00	-8.774133208050e-01	-8.217393153114e-01	2.637555408279e+00	-1.595502032996e+00	-2.572306637630e+00	-4.697437196742e-01	-9.768046046338e-01	6.161047611473e+02	3.080523805736e+01	3.051143633681e+11
43	reserved_confirmation		8_11	low_mass	high_concentration	7	1.161993847061e+01	2.532811091300e+00	2.442532056499e+00	2.705181777230e+00	8.450980400143e-01	2.133365520924e+00	1.860343867000e+00	1.187876642701e+00	-1.344934448599e+00	1.985995106298e-01	5.461982184667e-01	8.824900759830e-01	1.478513845123e+00	1.668774053543e+00	-2.823098247501e+00	1.000000000000e+00	2.693886760214e+00	-8.373187521454e-01	-7.307081531642e-01	2.693886760214e+00	-1.955660717859e+00	-2.109959901510e+00	-7.420222235545e-02	-1.542991836509e-01	3.410445323631e+02	2.000000000000e+01	4.168103269961e+11
46	exploration	4	8_11	high_mass	high_concentration	7	1.193694011872e+01	2.702307449178e+00	2.499314681667e+00	2.719544692570e+00	8.450980400143e-01	2.377550811160e+00	1.934096512115e+00	1.165885575053e+00	-1.536421874125e+00	2.062383095843e-01	6.022405431542e-01	8.089908614426e-01	1.388628380725e+00	1.647589312596e+00	-2.852604420840e+00	1.000000000000e+00	2.932622305657e+00	2.341470203692e-02	-4.570192527369e-01	2.932622305657e+00	-6.276079001135e-02	-2.733410208464e+00	-1.284310890652e+00	-2.670649418453e+00	5.038571771110e+02	2.519285885555e+01	8.648486637155e+11
49	exploration	3	12_19	low_mass	low_concentration	12	1.170785492636e+01	2.542076279717e+00	2.192689862915e+00	2.882994996290e+00	1.079181246048e+00	2.083195372218e+00	1.899669500664e+00	1.257262721611e+00	-1.284813558106e+00	4.427916369221e-01	2.040303932478e-01	8.542470659028e-01	1.400569207558e+00	1.745318277424e+00	-3.099252080286e+00	1.000000000000e+00	2.896203725554e+00	3.825749068642e-01	4.614937847425e-01	2.896203725554e+00	-7.508095111752e-01	-1.885962426880e+00	-5.458931607127e-01	-1.135152915705e+00	3.483985025633e+02	2.000000000000e+01	5.103344971149e+11
50	exploration	2	8_11	low_mass	low_concentration	8	1.151126941715e+01	2.431846003117e+00	2.066070718007e+00	2.710391223052e+00	9.030899869919e-01	1.815055674134e+00	1.856491884361e+00	1.281137765605e+00	-1.150708237512e+00	3.278975161147e-01	2.268190331972e-01	4.028252838420e-01	1.231570005506e+00	1.640847086060e+00	-2.918423638042e+00	1.000000000000e+00	2.663211863882e+00	-9.899887310899e-01	-4.620561842306e-01	2.663211863882e+00	-1.269037772362e-01	-6.884495291710e-01	-2.700464238495e-01	-5.615457519348e-01	2.702999734978e+02	2.000000000000e+01	3.245408857727e+11
