case,comparison,aperture,profile_L1,centroid_km_s,reference_L1_mjy_beam,passed
h0p1_newton_p5_boxcar_independent_s-1_sys0_sig3,planar,0,0.002822845907068346,0.004883325239852354,3.983260335576953,True
h0p1_newton_p5_boxcar_independent_s-1_sys0_sig3,planar,1,0.0022986146761543235,0.009340478207711556,6.5847835068686225,True
h0p1_newton_p5_boxcar_independent_s-1_sys0_sig3,planar,2,0.003500063825238506,0.013381009554606749,17.724804801212965,True
h0p1_newton_p5_boxcar_independent_s-1_sys0_sig3,planar,3,0.000952000252446741,0.002928142652343979,22.60304214815132,True
h0p1_newton_p5_boxcar_independent_s-1_sys0_sig3,planar,4,0.0017758168330578828,0.0029407131559793243,7.815794202344787,True
h0p1_newton_p5_boxcar_independent_s-1_sys0_sig3,planar,5,0.0023215177390820234,0.007185503578476471,9.4226089047226,True
h0p1_newton_p5_boxcar_independent_s-1_sys0_sig3,planar,6,0.002759648349050567,0.0022130337213818185,5.9170507069098415,True
h0p1_newton_p5_boxcar_independent_s-1_sys0_sig3,planar,7,0.0018799201608155176,0.0003232986214811717,5.534368283603578,True
h0p1_newton_p5_boxcar_independent_s-1_sys0_sig3,planar,8,0.0032411368188101112,0.011343717759899619,4.3200767324511355,True
h0p1_newton_p5_boxcar_independent_s-1_sys0_sig3,planar,9,0.0035180899476538983,0.011867964982949175,8.530016446546263,True
h0p1_newton_p5_boxcar_independent_s-1_sys0_sig3,planar,10,0.0013078469265060053,0.004839526165746122,21.202235089834463,True
h0p1_newton_p5_boxcar_independent_s-1_sys0_sig3,planar,11,0.001251226890817839,0.0010650799942908407,4.87787288874416,True
h0p1_newton_p5_boxcar_independent_s-1_sys0_sig3,planar,12,0.0018187521490124969,0.004726050903741452,8.001775275390132,True
h0p1_newton_p5_boxcar_independent_s-1_sys0_sig3,planar,13,0.0004190637453756996,0.0013963799921938858,12.642983856197528,True
h0p1_newton_p5_boxcar_independent_s-1_sys0_sig3,planar,14,0.00029403268932303285,0.00029675140439877623,8.71100525258529,True
h0p1_newton_p5_boxcar_independent_s-1_sys0_sig3,vertical,0,0.0003747754453552719,0.0003421060159212175,3.97079415734302,True
h0p1_newton_p5_boxcar_independent_s-1_sys0_sig3,vertical,1,0.001164630588365811,0.006657756392627334,6.567870501567516,True
