case,source,invalid_groups,global_steady_valid,min_supported_rotation_squared,max_unknown_envelope_at_multiplier2_mjy_beam
h0p1_newton_p5_boxcar_independent_s-1,p0p0625_z24,557,False,-20961.268820979287,5.031664187169596e-09
h0p1_newton_p5_boxcar_independent_s-1,p0p0625_z48,557,False,-20961.268820979287,4.199123360676234e-09
h0p1_newton_p5_boxcar_independent_s-1,p0p03125_z24,1806,False,-24878.297209742388,7.569529505216513e-09
h0p1_newton_p5_boxcar_independent_s-1,p0p03125_z48,1806,False,-24878.297209742388,6.241433411167137e-09
h0p1_newton_p5_boxcar_independent_s1,p0p0625_z24,557,False,-20961.268820979287,5.031664187169596e-09
h0p1_newton_p5_boxcar_independent_s1,p0p0625_z48,557,False,-20961.268820979287,4.199123360676234e-09
h0p1_newton_p5_boxcar_independent_s1,p0p03125_z24,1806,False,-24878.297209742388,7.569529505216513e-09
h0p1_newton_p5_boxcar_independent_s1,p0p03125_z48,1806,False,-24878.297209742388,6.241433411167137e-09
h0p1_newton_p5_boxcar_hanning_full_s-1,p0p0625_z24,557,False,-20961.268820979287,5.022901274966235e-09
h0p1_newton_p5_boxcar_hanning_full_s-1,p0p0625_z48,557,False,-20961.268820979287,4.191810362834583e-09
h0p1_newton_p5_boxcar_hanning_full_s-1,p0p03125_z24,1806,False,-24878.297209742388,7.556346764873049e-09
h0p1_newton_p5_boxcar_hanning_full_s-1,p0p03125_z48,1806,False,-24878.297209742388,6.230563621179036e-09
h0p1_newton_p5_boxcar_hanning_full_s1,p0p0625_z24,557,False,-20961.268820979287,5.022901274966235e-09
h0p1_newton_p5_boxcar_hanning_full_s1,p0p0625_z48,557,False,-20961.268820979287,4.191810362834583e-09
h0p1_newton_p5_boxcar_hanning_full_s1,p0p03125_z24,1806,False,-24878.297209742388,7.556346764873049e-09
h0p1_newton_p5_boxcar_hanning_full_s1,p0p03125_z48,1806,False,-24878.297209742388,6.230563621179036e-09
h0p1_newton_p5_boxcar_hanning_decimated_s-1,p0p0625_z24,557,False,-20961.268820979287,1.004580254993247e-08
h0p1_newton_p5_boxcar_hanning_decimated_s-1,p0p0625_z48,557,False,-20961.268820979287,8.383620725669165e-09
h0p1_newton_p5_boxcar_hanning_decimated_s-1,p0p03125_z24,1806,False,-24878.297209742388,1.5112693529746097e-08
h0p1_newton_p5_boxcar_hanning_decimated_s-1,p0p03125_z48,1806,False,-24878.297209742388,1.2461127242358072e-08
h0p1_newton_p5_boxcar_hanning_decimated_s1,p0p0625_z24,557,False,-20961.268820979287,1.004580254993247e-08
h0p1_newton_p5_boxcar_hanning_decimated_s1,p0p0625_z48,557,False,-20961.268820979287,8.383620725669165e-09
h0p1_newton_p5_boxcar_hanning_decimated_s1,p0p03125_z24,1806,False,-24878.297209742388,1.5112693529746097e-08
h0p1_newton_p5_boxcar_hanning_decimated_s1,p0p03125_z48,1806,False,-24878.297209742388,1.2461127242358072e-08
h0p1_newton_p10_boxcar_independent_s-1,p0p0625_z24,2761,False,-89609.27432194991,7.339121416365889e-07
h0p1_newton_p10_boxcar_independent_s-1,p0p0625_z48,2761,False,-89609.27432194991,5.433069004876237e-07
h0p1_newton_p10_boxcar_independent_s-1,p0p03125_z24,10411,False,-105275.7980847195,7.55742084951915e-07
h0p1_newton_p10_boxcar_independent_s-1,p0p03125_z48,10411,False,-105275.7980847195,5.61030071217744e-07
h0p1_newton_p10_boxcar_independent_s1,p0p0625_z24,2761,False,-89609.27432194991,7.339121416365889e-07
h0p1_newton_p10_boxcar_independent_s1,p0p0625_z48,2761,False,-89609.27432194991,5.433069004876237e-07
h0p1_newton_p10_boxcar_independent_s1,p0p03125_z24,10411,False,-105275.7980847195,7.55742084951915e-07
h0p1_newton_p10_boxcar_independent_s1,p0p03125_z48,10411,False,-105275.7980847195,5.61030071217744e-07
h0p1_newton_p10_boxcar_hanning_full_s-1,p0p0625_z24,2761,False,-89609.27432194991,7.326339944028086e-07
h0p1_newton_p10_boxcar_hanning_full_s-1,p0p0625_z48,2761,False,-89609.27432194991,5.423607024721454e-07
h0p1_newton_p10_boxcar_hanning_full_s-1,p0p03125_z24,10411,False,-105275.7980847195,7.544259197046981e-07
h0p1_newton_p10_boxcar_hanning_full_s-1,p0p03125_z48,10411,False,-105275.7980847195,5.600530073528577e-07
h0p1_newton_p10_boxcar_hanning_full_s1,p0p0625_z24,2761,False,-89609.27432194991,7.326339944028086e-07
h0p1_newton_p10_boxcar_hanning_full_s1,p0p0625_z48,2761,False,-89609.27432194991,5.423607024721454e-07
h0p1_newton_p10_boxcar_hanning_full_s1,p0p03125_z24,10411,False,-105275.7980847195,7.544259197046981e-07
h0p1_newton_p10_boxcar_hanning_full_s1,p0p03125_z48,10411,False,-105275.7980847195,5.600530073528577e-07
h0p1_newton_p10_boxcar_hanning_decimated_s-1,p0p0625_z24,2761,False,-89609.27432194991,1.4652679888056172e-06
h0p1_newton_p10_boxcar_hanning_decimated_s-1,p0p0625_z48,2761,False,-89609.27432194991,1.0847214049442909e-06
h0p1_newton_p10_boxcar_hanning_decimated_s-1,p0p03125_z24,10411,False,-105275.7980847195,1.5088518394093962e-06
h0p1_newton_p10_boxcar_hanning_decimated_s-1,p0p03125_z48,10411,False,-105275.7980847195,1.1201060147057153e-06
h0p1_newton_p10_boxcar_hanning_decimated_s1,p0p0625_z24,2761,False,-89609.27432194991,1.4652679888056172e-06
h0p1_newton_p10_boxcar_hanning_decimated_s1,p0p0625_z48,2761,False,-89609.27432194991,1.0847214049442909e-06
h0p1_newton_p10_boxcar_hanning_decimated_s1,p0p03125_z24,10411,False,-105275.7980847195,1.5088518394093962e-06
h0p1_newton_p10_boxcar_hanning_decimated_s1,p0p03125_z48,10411,False,-105275.7980847195,1.1201060147057153e-06
h0p1_newton_p15_boxcar_independent_s-1,p0p0625_z24,4585,False,-204022.61682356763,2.373832466875541e-06
h0p1_newton_p15_boxcar_independent_s-1,p0p0625_z48,4585,False,-204022.61682356763,3.841907655389664e-06
h0p1_newton_p15_boxcar_independent_s-1,p0p03125_z24,17568,False,-239271.63287634804,2.6050695940592693e-06
