channel,q
0,0.936441859562625
1,1.0866570707896632
2,1.202744406742176
3,0.9688733974581359
4,1.2928452446611902
5,1.0264240502306246
6,1.1445184229995766
7,0.7899755554824617
8,1.3462724674699564
9,1.1575471341479797
10,0.7582159954754396
11,0.8208919692269744
12,1.3012497129699478
13,1.126078140577282
14,2.0160111096940634
15,1.4022991478960407
16,1.3020213675782155
17,0.8715435457692599
18,0.8039064835161606
19,1.072015222897389
20,0.2971181839667861
21,0.9183048622200211
22,0.8143934624365414
23,1.1716816124282738
24,0.6263980679162044
25,0.7120937758109505
26,1.0733039381688922
27,0.9257289328363218
28,0.7414783174914427
29,0.9410088387892098
30,0.7776939832780022
31,0.6647863861976527
32,0.7150651504455844
33,0.5362228822144802
34,0.7580394435473962
35,1.5686034899509222
36,0.9064473365146145
37,0.497684188937634
38,0.7322979527312852
39,1.442355152546017
40,0.7311445715539298
41,1.1477237344135989
42,0.654309465038411
43,0.9825055601497327
44,0.800496412329364
45,0.7412150258069284
46,0.7655102568255014
47,0.8380632415814445
48,0.8960684796022386
49,1.0072361974877866
50,1.0927717391677136
51,0.5405769154927783
52,0.6938976890050801
53,1.5735289372145684
54,0.6110031323498241
55,1.1664970526459222
56,1.3742996715262272
57,1.1425805907049214
58,0.7487780635394145
59,0.8717244374006082
60,1.434771039889638
61,0.9506539968932376
62,0.7357434538346947
63,0.7142403766672729
64,0.970376953523198
65,1.1525740006015819
66,0.8644524464199191
67,1.0293313383274423
68,0.7086817708957207
69,0.7887421486383651
70,0.5931163611667702
71,0.6990243295732412
