band,group,q
DC,all,0.9481788563033398
DC,eigen_quartile_1,1.0659741022216613
DC,eigen_quartile_2,0.9733225504671882
DC,eigen_quartile_3,0.9423513182060026
DC,eigen_quartile_4,0.8110674543185072
low,all,1.033788578784111
low,eigen_quartile_1,1.2620648276464406
low,eigen_quartile_2,1.1229457930019076
low,eigen_quartile_3,0.9131529821861258
low,eigen_quartile_4,0.83699071230197
low,frequency_lower,1.0327925067278545
low,frequency_upper,1.0347846508403675
middle,all,1.0215387948657186
middle,eigen_quartile_1,1.1774596647860014
middle,eigen_quartile_2,1.0607993599461725
middle,eigen_quartile_3,0.969510398055746
middle,eigen_quartile_4,0.8783857566749548
middle,frequency_lower,1.0286152543409905
middle,frequency_upper,1.014154663239348
high,all,1.0281787154640898
high,eigen_quartile_1,1.180427825070996
high,eigen_quartile_2,1.0697791051735321
high,eigen_quartile_3,0.988510727641733
high,eigen_quartile_4,0.8739972039700994
high,frequency_lower,1.0346214532287066
high,frequency_upper,1.0215849760331155
