core,q,logpdf
validation_r02_c07,1.0200632597237278,2.386249687140692
validation_r02_c08,1.0125910294687894,2.3899858022681606
validation_r03_c05,1.0418786339359838,2.3753420000345633
validation_r03_c06,1.054747257247882,2.3689076883786147
validation_r04_c04,1.038639189574223,2.3769617222154436
validation_r04_c05,1.0304003336870362,2.3810811501590377
validation_r05_c03,1.061492638932786,2.3655349975361624
validation_r05_c04,1.0253509974391422,2.3836058182829842
validation_r06_c03,1.016453365759783,2.388054634122664
validation_r07_c02,0.9983849403905309,2.39708884680729
validation_r08_c02,1.0441903461027675,2.374186143951172
validation_r09_c02,1.033147617377862,2.3797075083136243
validation_r10_c01,1.0076947063240165,2.392433963840547
validation_r10_c02,1.0280169362744638,2.3822728488653233
validation_r11_c02,1.024569305489292,2.3839966642579093
validation_r12_c02,0.9830800129830044,2.4047413105110533
validation_r13_c02,1.0432894022138492,2.374636615895631
validation_r14_c02,1.0327276087383548,2.3799175126333787
