fixture_id,case_id,observer_rapidity,original_scalar_integral,subdivided_scalar_integral,absolute_error,reparameterization_invariant,congruence_independent_claimed
F01_ENDPOINT_SWAP,forward,0.0,5.200000000000e-01,5.200000000000e-01,0.000000000000e+00,True,False
F01_ENDPOINT_SWAP,forward,0.4,3.485664239385e-01,3.485664239385e-01,0.000000000000e+00,True,False
F01_ENDPOINT_SWAP,reverse,0.0,5.200000000000e-01,5.200000000000e-01,0.000000000000e+00,True,False
F01_ENDPOINT_SWAP,reverse,0.4,7.757488427735e-01,7.757488427735e-01,0.000000000000e+00,True,False
F02_EQUAL_ENDPOINT_TWO_PATHS,short,0.0,1.750000000000e-01,1.750000000000e-01,0.000000000000e+00,True,False
F02_EQUAL_ENDPOINT_TWO_PATHS,short,0.4,1.173060080562e-01,1.173060080562e-01,0.000000000000e+00,True,False
F02_EQUAL_ENDPOINT_TWO_PATHS,long,0.0,8.750000000000e-01,8.750000000000e-01,0.000000000000e+00,True,False
F02_EQUAL_ENDPOINT_TWO_PATHS,long,0.4,5.865300402812e-01,5.865300402812e-01,0.000000000000e+00,True,False
F03_POTENTIAL_ZERO_SHIFT,base,0.0,4.000000000000e-01,4.000000000000e-01,0.000000000000e+00,True,False
F03_POTENTIAL_ZERO_SHIFT,base,0.4,2.681280184143e-01,2.681280184143e-01,0.000000000000e+00,True,False
F03_POTENTIAL_ZERO_SHIFT,shift_plus_5,0.0,4.000000000000e-01,4.000000000000e-01,0.000000000000e+00,True,False
F03_POTENTIAL_ZERO_SHIFT,shift_plus_5,0.4,2.681280184143e-01,2.681280184143e-01,0.000000000000e+00,True,False
F04_COMMON_SOURCE_HISTORY,pulse_active,0.0,5.200000000000e-01,5.200000000000e-01,0.000000000000e+00,True,False
F04_COMMON_SOURCE_HISTORY,pulse_active,0.4,3.485664239385e-01,3.485664239385e-01,0.000000000000e+00,True,False
F04_COMMON_SOURCE_HISTORY,pulse_memory,0.0,5.200000000000e-01,5.200000000000e-01,0.000000000000e+00,True,False
F04_COMMON_SOURCE_HISTORY,pulse_memory,0.4,3.485664239385e-01,3.485664239385e-01,0.000000000000e+00,True,False
F05_TWO_FREQUENCIES,nu_1,0.0,5.200000000000e-01,5.200000000000e-01,0.000000000000e+00,True,False
F05_TWO_FREQUENCIES,nu_1,0.4,3.485664239385e-01,3.485664239385e-01,0.000000000000e+00,True,False
F05_TWO_FREQUENCIES,nu_2,0.0,5.200000000000e-01,5.200000000000e-01,0.000000000000e+00,True,False
F05_TWO_FREQUENCIES,nu_2,0.4,3.485664239385e-01,3.485664239385e-01,0.000000000000e+00,True,False
F06_LENS_TWO_IMAGES,image_A,0.0,4.600000000000e-01,4.600000000000e-01,0.000000000000e+00,True,False
F06_LENS_TWO_IMAGES,image_A,0.4,3.083472211764e-01,3.083472211764e-01,5.551115123126e-17,True,False
F06_LENS_TWO_IMAGES,image_B,0.0,1.450000000000e+00,1.450000000000e+00,0.000000000000e+00,True,False
F06_LENS_TWO_IMAGES,image_B,0.4,9.719640667517e-01,9.719640667517e-01,0.000000000000e+00,True,False
F07_ROUND_TRIP,outbound,0.0,5.200000000000e-01,5.200000000000e-01,0.000000000000e+00,True,False
F07_ROUND_TRIP,outbound,0.4,3.485664239385e-01,3.485664239385e-01,0.000000000000e+00,True,False
F07_ROUND_TRIP,return,0.0,5.200000000000e-01,5.200000000000e-01,0.000000000000e+00,True,False
F07_ROUND_TRIP,return,0.4,7.757488427735e-01,7.757488427735e-01,0.000000000000e+00,True,False
F08_EXPANSION_TIME_DILATION,z_0p5,0.0,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,True,False
F08_EXPANSION_TIME_DILATION,z_0p5,0.4,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,True,False
