fixture_id,case_id,closure_id,member_id,delta_log_frequency_unit_probe,expansion_time_stretch
F01_ENDPOINT_SWAP,reverse,C04_DISPERSIVE_PERSISTENT_MEDIUM,TAU_FAST,-3.530171885425e-01,1.000000000000e+00
F01_ENDPOINT_SWAP,reverse,C05_ENDPOINT_MEMORY,TAU_FAST,-1.007327525241e+00,1.000000000000e+00
F01_ENDPOINT_SWAP,reverse,C06_PATH_MEMORY_OPACITY,TAU_FAST,-3.530171885425e-01,1.000000000000e+00
F01_ENDPOINT_SWAP,reverse,C07_GENERAL_TIME_VARYING_METRIC_PATH,G_INST,-9.267256359733e-01,1.000000000000e+00
F01_ENDPOINT_SWAP,reverse,C07_GENERAL_TIME_VARYING_METRIC_PATH,G_MEM_FAST,-7.860343770851e-01,1.000000000000e+00
F01_ENDPOINT_SWAP,reverse,C07_GENERAL_TIME_VARYING_METRIC_PATH,G_MEM_SLOW,-6.162481330843e-01,1.000000000000e+00
F01_ENDPOINT_SWAP,reverse,C08_CAUSAL_METRIC_MEMORY_SUBFAMILY,G_MEM_FAST,-7.860343770851e-01,1.000000000000e+00
F01_ENDPOINT_SWAP,reverse,C08_CAUSAL_METRIC_MEMORY_SUBFAMILY,G_MEM_SLOW,-6.162481330843e-01,1.000000000000e+00
F02_EQUAL_ENDPOINT_TWO_PATHS,short,C00_GR_ENDPOINT,BASE,1.000000000000e-01,1.000000000000e+00
F02_EQUAL_ENDPOINT_TWO_PATHS,short,C01_EXACT_GRADIENT_PATH,BASE,1.000000000000e-01,1.000000000000e+00
F02_EQUAL_ENDPOINT_TWO_PATHS,short,C02_POTENTIAL_COLUMN,BASE,-1.500000000000e-01,1.000000000000e+00
F02_EQUAL_ENDPOINT_TWO_PATHS,short,C03_TIDAL_CURVATURE_COLUMN,BASE,-1.000000000000e-01,1.000000000000e+00
F02_EQUAL_ENDPOINT_TWO_PATHS,short,C04_DISPERSIVE_PERSISTENT_MEDIUM,TAU_FAST,-1.188038615287e-01,1.000000000000e+00
F02_EQUAL_ENDPOINT_TWO_PATHS,short,C05_ENDPOINT_MEMORY,TAU_FAST,1.678879208736e-01,1.000000000000e+00
F02_EQUAL_ENDPOINT_TWO_PATHS,short,C06_PATH_MEMORY_OPACITY,TAU_FAST,-1.188038615287e-01,1.000000000000e+00
F02_EQUAL_ENDPOINT_TWO_PATHS,short,C07_GENERAL_TIME_VARYING_METRIC_PATH,G_INST,-9.955742875643e-03,1.000000000000e+00
F02_EQUAL_ENDPOINT_TWO_PATHS,short,C07_GENERAL_TIME_VARYING_METRIC_PATH,G_MEM_FAST,3.739227694253e-02,1.000000000000e+00
F02_EQUAL_ENDPOINT_TWO_PATHS,short,C07_GENERAL_TIME_VARYING_METRIC_PATH,G_MEM_SLOW,9.453187828893e-02,1.000000000000e+00
F02_EQUAL_ENDPOINT_TWO_PATHS,short,C08_CAUSAL_METRIC_MEMORY_SUBFAMILY,G_MEM_FAST,3.739227694253e-02,1.000000000000e+00
F02_EQUAL_ENDPOINT_TWO_PATHS,short,C08_CAUSAL_METRIC_MEMORY_SUBFAMILY,G_MEM_SLOW,9.453187828893e-02,1.000000000000e+00
F02_EQUAL_ENDPOINT_TWO_PATHS,long,C00_GR_ENDPOINT,BASE,1.000000000000e-01,1.000000000000e+00
F02_EQUAL_ENDPOINT_TWO_PATHS,long,C01_EXACT_GRADIENT_PATH,BASE,1.000000000000e-01,1.000000000000e+00
F02_EQUAL_ENDPOINT_TWO_PATHS,long,C02_POTENTIAL_COLUMN,BASE,-4.500000000000e-01,1.000000000000e+00
F02_EQUAL_ENDPOINT_TWO_PATHS,long,C03_TIDAL_CURVATURE_COLUMN,BASE,-7.500000000000e-01,1.000000000000e+00
F02_EQUAL_ENDPOINT_TWO_PATHS,long,C04_DISPERSIVE_PERSISTENT_MEDIUM,TAU_FAST,-5.940193076437e-01,1.000000000000e+00
F02_EQUAL_ENDPOINT_TWO_PATHS,long,C05_ENDPOINT_MEMORY,TAU_FAST,1.678879208736e-01,1.000000000000e+00
F02_EQUAL_ENDPOINT_TWO_PATHS,long,C06_PATH_MEMORY_OPACITY,TAU_FAST,-5.940193076437e-01,1.000000000000e+00
F02_EQUAL_ENDPOINT_TWO_PATHS,long,C07_GENERAL_TIME_VARYING_METRIC_PATH,G_INST,-4.497787143782e-01,1.000000000000e+00
F02_EQUAL_ENDPOINT_TWO_PATHS,long,C07_GENERAL_TIME_VARYING_METRIC_PATH,G_MEM_FAST,-2.130386152874e-01,1.000000000000e+00
F02_EQUAL_ENDPOINT_TWO_PATHS,long,C07_GENERAL_TIME_VARYING_METRIC_PATH,G_MEM_SLOW,7.265939144463e-02,1.000000000000e+00
F02_EQUAL_ENDPOINT_TWO_PATHS,long,C08_CAUSAL_METRIC_MEMORY_SUBFAMILY,G_MEM_FAST,-2.130386152874e-01,1.000000000000e+00
F02_EQUAL_ENDPOINT_TWO_PATHS,long,C08_CAUSAL_METRIC_MEMORY_SUBFAMILY,G_MEM_SLOW,7.265939144463e-02,1.000000000000e+00
F03_POTENTIAL_ZERO_SHIFT,base,C00_GR_ENDPOINT,BASE,2.000000000000e-01,1.000000000000e+00
F03_POTENTIAL_ZERO_SHIFT,base,C01_EXACT_GRADIENT_PATH,BASE,2.000000000000e-01,1.000000000000e+00
F03_POTENTIAL_ZERO_SHIFT,base,C02_POTENTIAL_COLUMN,BASE,-3.000000000000e-01,1.000000000000e+00
F03_POTENTIAL_ZERO_SHIFT,base,C03_TIDAL_CURVATURE_COLUMN,BASE,-2.500000000000e-01,1.000000000000e+00
F03_POTENTIAL_ZERO_SHIFT,base,C04_DISPERSIVE_PERSISTENT_MEDIUM,TAU_FAST,-2.715516834943e-01,1.000000000000e+00
F03_POTENTIAL_ZERO_SHIFT,base,C05_ENDPOINT_MEMORY,TAU_FAST,4.036637626207e-01,1.000000000000e+00
F03_POTENTIAL_ZERO_SHIFT,base,C06_PATH_MEMORY_OPACITY,TAU_FAST,-2.715516834943e-01,1.000000000000e+00
F03_POTENTIAL_ZERO_SHIFT,base,C07_GENERAL_TIME_VARYING_METRIC_PATH,G_INST,-5.132741228718e-02,1.000000000000e+00
F03_POTENTIAL_ZERO_SHIFT,base,C07_GENERAL_TIME_VARYING_METRIC_PATH,G_MEM_FAST,5.689663301149e-02,1.000000000000e+00
F03_POTENTIAL_ZERO_SHIFT,base,C07_GENERAL_TIME_VARYING_METRIC_PATH,G_MEM_SLOW,1.875014360890e-01,1.000000000000e+00
F03_POTENTIAL_ZERO_SHIFT,base,C08_CAUSAL_METRIC_MEMORY_SUBFAMILY,G_MEM_FAST,5.689663301149e-02,1.000000000000e+00
F03_POTENTIAL_ZERO_SHIFT,base,C08_CAUSAL_METRIC_MEMORY_SUBFAMILY,G_MEM_SLOW,1.875014360890e-01,1.000000000000e+00
F03_POTENTIAL_ZERO_SHIFT,shift_plus_5,C00_GR_ENDPOINT,BASE,2.000000000000e-01,1.000000000000e+00
F03_POTENTIAL_ZERO_SHIFT,shift_plus_5,C01_EXACT_GRADIENT_PATH,BASE,2.000000000000e-01,1.000000000000e+00
F03_POTENTIAL_ZERO_SHIFT,shift_plus_5,C02_POTENTIAL_COLUMN,BASE,-5.300000000000e+00,1.000000000000e+00
F03_POTENTIAL_ZERO_SHIFT,shift_plus_5,C03_TIDAL_CURVATURE_COLUMN,BASE,-2.500000000000e-01,1.000000000000e+00
F03_POTENTIAL_ZERO_SHIFT,shift_plus_5,C04_DISPERSIVE_PERSISTENT_MEDIUM,TAU_FAST,-2.715516834943e-01,1.000000000000e+00
F03_POTENTIAL_ZERO_SHIFT,shift_plus_5,C05_ENDPOINT_MEMORY,TAU_FAST,4.036637626207e-01,1.000000000000e+00
F03_POTENTIAL_ZERO_SHIFT,shift_plus_5,C06_PATH_MEMORY_OPACITY,TAU_FAST,-2.715516834943e-01,1.000000000000e+00
F03_POTENTIAL_ZERO_SHIFT,shift_plus_5,C07_GENERAL_TIME_VARYING_METRIC_PATH,G_INST,-5.132741228718e-02,1.000000000000e+00
F03_POTENTIAL_ZERO_SHIFT,shift_plus_5,C07_GENERAL_TIME_VARYING_METRIC_PATH,G_MEM_FAST,5.689663301149e-02,1.000000000000e+00
F03_POTENTIAL_ZERO_SHIFT,shift_plus_5,C07_GENERAL_TIME_VARYING_METRIC_PATH,G_MEM_SLOW,1.875014360890e-01,1.000000000000e+00
F03_POTENTIAL_ZERO_SHIFT,shift_plus_5,C08_CAUSAL_METRIC_MEMORY_SUBFAMILY,G_MEM_FAST,5.689663301149e-02,1.000000000000e+00
F03_POTENTIAL_ZERO_SHIFT,shift_plus_5,C08_CAUSAL_METRIC_MEMORY_SUBFAMILY,G_MEM_SLOW,1.875014360890e-01,1.000000000000e+00
F04_COMMON_SOURCE_HISTORY,pulse_active,C00_GR_ENDPOINT,BASE,2.000000000000e-01,1.000000000000e+00
F04_COMMON_SOURCE_HISTORY,pulse_active,C01_EXACT_GRADIENT_PATH,BASE,2.000000000000e-01,1.000000000000e+00
F04_COMMON_SOURCE_HISTORY,pulse_active,C02_POTENTIAL_COLUMN,BASE,-3.300000000000e-01,1.000000000000e+00
F04_COMMON_SOURCE_HISTORY,pulse_active,C03_TIDAL_CURVATURE_COLUMN,BASE,-4.200000000000e-01,1.000000000000e+00
F04_COMMON_SOURCE_HISTORY,pulse_active,C04_DISPERSIVE_PERSISTENT_MEDIUM,TAU_FAST,-4.563226573084e-01,1.000000000000e+00
F04_COMMON_SOURCE_HISTORY,pulse_active,C05_ENDPOINT_MEMORY,TAU_FAST,7.265261430482e-01,1.000000000000e+00
F04_COMMON_SOURCE_HISTORY,pulse_active,C06_PATH_MEMORY_OPACITY,TAU_FAST,-4.563226573084e-01,1.000000000000e+00
F04_COMMON_SOURCE_HISTORY,pulse_active,C07_GENERAL_TIME_VARYING_METRIC_PATH,G_INST,2.000000000000e-01,1.000000000000e+00
F04_COMMON_SOURCE_HISTORY,pulse_active,C07_GENERAL_TIME_VARYING_METRIC_PATH,G_MEM_FAST,3.273546853831e-01,1.000000000000e+00
F04_COMMON_SOURCE_HISTORY,pulse_active,C07_GENERAL_TIME_VARYING_METRIC_PATH,G_MEM_SLOW,3.721495719810e-01,1.000000000000e+00
F04_COMMON_SOURCE_HISTORY,pulse_active,C08_CAUSAL_METRIC_MEMORY_SUBFAMILY,G_MEM_FAST,3.273546853831e-01,1.000000000000e+00
F04_COMMON_SOURCE_HISTORY,pulse_active,C08_CAUSAL_METRIC_MEMORY_SUBFAMILY,G_MEM_SLOW,3.721495719810e-01,1.000000000000e+00
F04_COMMON_SOURCE_HISTORY,pulse_memory,C00_GR_ENDPOINT,BASE,2.000000000000e-01,1.000000000000e+00
F04_COMMON_SOURCE_HISTORY,pulse_memory,C01_EXACT_GRADIENT_PATH,BASE,2.000000000000e-01,1.000000000000e+00
F04_COMMON_SOURCE_HISTORY,pulse_memory,C02_POTENTIAL_COLUMN,BASE,-3.300000000000e-01,1.000000000000e+00
F04_COMMON_SOURCE_HISTORY,pulse_memory,C03_TIDAL_CURVATURE_COLUMN,BASE,-4.200000000000e-01,1.000000000000e+00
F04_COMMON_SOURCE_HISTORY,pulse_memory,C04_DISPERSIVE_PERSISTENT_MEDIUM,TAU_FAST,-6.251105147742e-02,1.000000000000e+00
F04_COMMON_SOURCE_HISTORY,pulse_memory,C05_ENDPOINT_MEMORY,TAU_FAST,2.721281363201e-01,1.000000000000e+00
F04_COMMON_SOURCE_HISTORY,pulse_memory,C06_PATH_MEMORY_OPACITY,TAU_FAST,-6.251105147742e-02,1.000000000000e+00
F04_COMMON_SOURCE_HISTORY,pulse_memory,C07_GENERAL_TIME_VARYING_METRIC_PATH,G_INST,2.000000000000e-01,1.000000000000e+00
F04_COMMON_SOURCE_HISTORY,pulse_memory,C07_GENERAL_TIME_VARYING_METRIC_PATH,G_MEM_FAST,7.497789704516e-02,1.000000000000e+00
F04_COMMON_SOURCE_HISTORY,pulse_memory,C07_GENERAL_TIME_VARYING_METRIC_PATH,G_MEM_SLOW,7.322856252102e-02,1.000000000000e+00
F04_COMMON_SOURCE_HISTORY,pulse_memory,C08_CAUSAL_METRIC_MEMORY_SUBFAMILY,G_MEM_FAST,7.497789704516e-02,1.000000000000e+00
F04_COMMON_SOURCE_HISTORY,pulse_memory,C08_CAUSAL_METRIC_MEMORY_SUBFAMILY,G_MEM_SLOW,7.322856252102e-02,1.000000000000e+00
F05_TWO_FREQUENCIES,nu_1,C00_GR_ENDPOINT,BASE,1.500000000000e-01,1.000000000000e+00
F05_TWO_FREQUENCIES,nu_1,C01_EXACT_GRADIENT_PATH,BASE,1.500000000000e-01,1.000000000000e+00
F05_TWO_FREQUENCIES,nu_1,C02_POTENTIAL_COLUMN,BASE,-3.300000000000e-01,1.000000000000e+00
F05_TWO_FREQUENCIES,nu_1,C03_TIDAL_CURVATURE_COLUMN,BASE,-4.200000000000e-01,1.000000000000e+00
F05_TWO_FREQUENCIES,nu_1,C04_DISPERSIVE_PERSISTENT_MEDIUM,TAU_FAST,-3.530171885425e-01,1.000000000000e+00
F05_TWO_FREQUENCIES,nu_1,C05_ENDPOINT_MEMORY,TAU_FAST,4.215516834943e-01,1.000000000000e+00
F05_TWO_FREQUENCIES,nu_1,C06_PATH_MEMORY_OPACITY,TAU_FAST,-3.530171885425e-01,1.000000000000e+00
F05_TWO_FREQUENCIES,nu_1,C07_GENERAL_TIME_VARYING_METRIC_PATH,G_INST,-1.767256359733e-01,1.000000000000e+00
F05_TWO_FREQUENCIES,nu_1,C07_GENERAL_TIME_VARYING_METRIC_PATH,G_MEM_FAST,-3.603437708507e-02,1.000000000000e+00
F05_TWO_FREQUENCIES,nu_1,C07_GENERAL_TIME_VARYING_METRIC_PATH,G_MEM_SLOW,1.337518669157e-01,1.000000000000e+00
F05_TWO_FREQUENCIES,nu_1,C08_CAUSAL_METRIC_MEMORY_SUBFAMILY,G_MEM_FAST,-3.603437708507e-02,1.000000000000e+00
