axis_ratio	d4000	dapqual	daptype	dec	dn4000	drp3qual	g_minus_r_color	halpha_ew	hbeta	hdelta_a	hgamma_a	log_half_light_radius	log_snr	log_specific_sfr	log_stellar_mass	log_surface_brightness	log_surface_density	mangaid	mass_size_crossing_proxy	plateifu	ra	redshift	sersic_index	sfr_1re	sfr_tot	snr_med_g	minimum_predecessor_separation_arcsec	stellar_mass_msun	half_light_radius_kpc	log_baryonic_speed_km_s	internal_acceleration_m_s2	mean_stellar_density_msun_kpc3	log_mean_stellar_density	phase_space_proxy	minimum_item34_role_separation_arcsec	mass_bin	sersic_bin	sample_cell	role	outer_fold	source_map_read	velocity_response_read
5.558380000000e-01	1.454254000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	3.515713882446e+01	1.320029000000e+00	0.000000000000e+00	4.118000000000e-01	1.682060000000e+01	3.836418000000e+00	5.284739000000e+00	3.478312000000e+00	7.539880583201e-01	9.493922513072e-01	-1.087601038264e+01	9.367847718615e+00	-3.571980680899e-01	7.859871601975e+00	1-153412	-3.552941771827e+00	10214-6101	1.230618209839e+02	1.749220000000e-02	2.324670000000e+00	3.103397000000e-02	4.649233000000e-02	8.900046000000e+00	1.605354319954e+03	2.332640000001e+09	5.675290000000e+00	1.623710007491e+00	1.009442095096e-11	3.046456170926e+06	6.483794934352e+00	7.612664911878e+00	2.949985055977e+03	0	1	m0-n1	exploration	1	False	False
4.584160000000e-01	1.650208000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	-9.455425143242e-01	1.440364000000e+00	0.000000000000e+00	7.765000000000e-01	2.440587000000e+01	3.616135000000e+00	4.734550000000e+00	2.073296000000e+00	7.228633470765e-01	1.228246839787e+00	-1.085351522131e+01	9.817126887638e+00	-1.180021712672e-01	8.371400193485e+00	1-36392	-3.824268423204e+00	10226-3703	3.793550491333e+01	2.000540000000e-02	2.024730000000e+00	9.196269000000e-02	1.610749000000e-01	1.691402000000e+01	8.041001078750e+02	6.563370000003e+09	5.282790000000e+00	1.863911947625e+00	3.278007953328e-11	1.062791903188e+07	7.026448237106e+00	7.434712394232e+00	5.942250199290e+03	1	1	m1-n1	exploration	2	False	False
5.246470000000e-01	1.923880000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	4.171623992920e+01	1.726567000000e+00	0.000000000000e+00	7.675000000000e-01	3.879410000000e+00	2.275661000000e+00	2.884126000000e-01	-2.720222000000e+00	6.967712606901e-01	1.134051775447e+00	-1.166625817737e+01	1.000267568053e+01	-1.817865809812e-01	8.609133159155e+00	1-548653	-3.956180949232e+00	10496-3702	1.240814590454e+02	2.487090000000e-02	1.946140000000e+00	2.169789000000e-02	4.327194000000e-02	1.361607000000e+01	1.374398884961e+03	1.006179999988e+10	4.974750000000e+00	1.969732387264e+00	5.666866329846e-11	1.951071967605e+07	7.290273289157e+00	7.381076127366e+00	2.362141469770e+03	1	1	m1-n1	exploration	0	False	False
3.887900000000e-01	1.889272000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	1.759493827820e+01	1.721865000000e+00	0.000000000000e+00	6.611000000000e-01	6.021347000000e-01	2.367796000000e+00	5.535259000000e-01	-2.609757000000e+00	5.890152545806e-01	1.310212455325e+00	-1.252645132443e+01	9.396061537024e+00	-1.364514843682e-01	8.218031027863e+00	1-412393	-3.814507886641e+00	10497-3704	1.215798110962e+02	1.636880000000e-02	1.158400000000e+00	7.406452000000e-04	1.558925000000e-03	2.042737000000e+01	6.434727739813e+02	2.489210000000e+09	3.881640000000e+00	1.720303318566e+00	2.302718432324e-11	1.016078270941e+07	7.006927163980e+00	7.846017208283e+00	4.100698892148e+02	0	0	m0-n0	reserved_confirmation		False	False
3.927240000000e-01	1.659630000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	3.091737556458e+01	1.423921000000e+00	0.000000000000e+00	7.049000000000e-01	2.065212000000e+01	3.680755000000e+00	4.520236000000e+00	2.506852000000e+00	7.944734072726e-01	1.046193043164e+00	-1.092207815917e+01	9.967866092707e+00	-4.198424996901e-01	8.378919278162e+00	1-300275	-3.792222935445e+00	10500-6101	1.348919219971e+02	3.063810000000e-02	1.044820000000e+00	1.111189000000e-01	1.885462000000e-01	1.112226000000e+01	1.269735019366e+03	9.286799999993e+09	6.229790000000e+00	1.903476520061e+00	3.335255335758e-11	9.169745062834e+06	6.962357261587e+00	7.251927701403e+00	5.476001020803e+03	1	0	m1-n0	exploration	1	False	False
3.890800000000e-01	1.497610000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	5.462989807129e+00	1.329875000000e+00	0.000000000000e+00	5.567000000000e-01	3.368948000000e+01	3.965247000000e+00	5.740788000000e+00	3.829000000000e+00	6.204972960255e-01	1.016162206872e+00	-1.053711280404e+01	9.142330012517e+00	-5.361865643338e-01	7.901335420466e+00	1-80117	-3.640419062220e+00	10503-3703	1.600205230713e+02	2.628870000000e-02	1.235640000000e+00	4.029185000000e-02	6.192715000000e-02	1.037916000000e+01	1.105756284768e+03	1.387810000001e+09	4.173470000000e+00	1.577696535590e+00	1.110568190287e-11	4.557739667011e+06	6.658749515138e+00	7.925659908369e+00	8.009475811187e+02	0	0	m0-n0	reserved_confirmation		False	False
7.120850000000e-01	1.553606000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	3.146137475967e+00	1.398108000000e+00	0.000000000000e+00	7.748000000000e-01	1.701570000000e+01	3.219864000000e+00	3.475914000000e+00	9.392940000000e-01	7.360178236929e-01	9.121170051626e-01	-1.088655763225e+01	9.520885543923e+00	-5.748035323773e-01	8.048849896537e+00	1-76920	-3.656416036422e+00	10512-6104	1.367697296143e+02	2.389190000000e-02	1.614520000000e+00	4.308518000000e-02	9.930943000000e-02	8.168024000000e+00	3.137045812764e+03	3.318070000004e+09	5.445250000000e+00	1.709214037459e+00	1.559766921962e-11	4.906179839586e+06	6.690743463542e+00	7.563101351165e+00	3.997090096432e+03	1	1	m1-n1	exploration	2	False	False
3.786530000000e-01	1.505181000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	3.217089891434e+00	1.315436000000e+00	0.000000000000e+00	6.720000000000e-01	3.311444000000e+01	3.782105000000e+00	5.791974000000e+00	3.598473000000e+00	9.061561144205e-01	9.094331043684e-01	-1.061917436647e+01	9.794951372184e+00	-5.897822282594e-01	7.982639143343e+00	1-605657	-3.538241514461e+00	10512-9102	1.371501922607e+02	2.622480000000e-02	1.396770000000e+00	1.498915000000e-01	2.389359000000e-01	8.117702000000e+00	4.287287177265e+03	6.236649999997e+09	8.056680000000e+00	1.761177806226e+00	1.339210830216e-11	2.847045577023e+06	6.454394419620e+00	7.170861000943e+00	5.294798336473e+03	1	1	m1-n1	reserved_confirmation		False	False
4.622330000000e-01	1.924705000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	1.154296755791e+00	1.706265000000e+00	0.000000000000e+00	8.269000000000e-01	2.093756000000e+00	2.407481000000e+00	1.009513000000e+00	-2.025249000000e+00	8.394818183664e-01	9.657199571692e-01	-1.193618321214e+01	9.676197773822e+00	-4.666475726268e-01	7.997234137090e+00	1-54492	-3.578876159362e+00	10513-9101	1.416863555908e+02	1.693780000000e-02	1.854580000000e+00	5.495593000000e-03	1.073784000000e-02	9.241021000000e+00	1.572243053893e+03	4.744579999998e+09	6.910060000001e+00	1.735138155072e+00	1.384981417846e-11	3.432920210090e+06	6.535663709420e+00	7.330249244205e+00	3.474835446477e+03	1	1	m1-n1	exploration	0	False	False
3.570290000000e-01	1.541332000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	2.703570842743e+00	1.378594000000e+00	0.000000000000e+00	6.570000000000e-01	1.983169000000e+01	3.440901000000e+00	4.742916000000e+00	2.442217000000e+00	7.660870040445e-01	9.091061517663e-01	-1.090710352957e+01	9.147416597223e+00	-6.424083431071e-01	7.615242589133e+00	1-54979	-3.424577792544e+00	10514-3701	1.441697540283e+02	1.893640000000e-02	7.007020000000e-01	1.739054000000e-02	2.616861000000e-02	8.111593000000e+00	1.061326021940e+03	1.404160000001e+09	5.835619999999e+00	1.507444973933e+00	5.747148230426e-12	1.686813141350e+06	6.227066975787e+00	7.704732053987e+00	1.003691997075e+04	0	0	m0-n0	exploration	4	False	False
