Name	thetaE	sigap	e_sigap	Survey
SL2SJ021247-055552	1.27	273	22	SL2S
SL2SJ021411-040502	1.41	287	47	SL2S
SL2SJ021737-051329	1.27	239	27	SL2S
SL2SJ021902-082934	1.30	289	23	SL2S
SL2SJ022046-094927	1.00	254	29	SL2S
SL2SJ022511-045433	1.76	234	21	SL2S
SL2SJ022610-042011	1.19	263	24	SL2S
SL2SJ023251-040823	1.04	281	26	SL2S
SL2SJ084909-041226	1.10	320	24	SL2S
SL2SJ085540-014730	1.03	222	25	SL2S
SL2SJ090407-005952	1.40	183	21	SL2S
SL2SJ095921+020638	0.74	188	22	SL2S
SL2SJ135949+553550	1.14	228	29	SL2S
SL2SJ140454+520024	2.55	342	20	SL2S
SL2SJ140650+522619	0.94	253	19	SL2S
SL2SJ142059+563007	1.40	228	19	SL2S
SL2SJ220329+020518	1.95	213	21	SL2S
SL2SJ222148+011542	1.40	222	23	SL2S
