name	canonical_identity	short_sky_key	survey	ra_deg	dec_deg	z_lens	z_source	reff_arcsec	reff_kpc	axis_ratio	position_angle_deg	g_minus_i	r_minus_z	imag_ab	log10_stellar_mass_msun	log10_stellar_mass_error_dex	stellar_mass_proxy_msun	stellar_surface_density_proxy_msun_kpc2
SL2SJ021247-055552	021247-055552	0212-0555	SL2S	3.319583333333e+01	-5.931111111111e+00	7.500000000000e-01	2.740000000000e+00	1.220000000000e+00	8.952505744237e+00	1.000000000000e+00	-9.100000000000e+00	2.520000000000e+00	1.670000000000e+00	2.021000000000e+01	1.117000000000e+01	1.700000000000e-01	1.479108388168e+11	2.937182384889e+08
SL2SJ021325-074355	021325-074355	0213-0743	SL2S	3.335416666667e+01	-7.731944444444e+00	7.170000000000e-01	3.480000000000e+00	1.970000000000e+00	1.421130385522e+01	6.000000000000e-01	2.120000000000e+01	3.010000000000e+00	1.960000000000e+00	1.927000000000e+01	1.171000000000e+01	1.800000000000e-01	5.128613839914e+11	4.041590248758e+08
SL2SJ021411-040502	021411-040502	0214-0405	SL2S	3.354583333333e+01	-4.083888888889e+00	6.090000000000e-01	1.880000000000e+00	1.210000000000e+00	8.145111823000e+00	8.800000000000e-01	5.710000000000e+01	2.740000000000e+00	1.650000000000e+00	1.965000000000e+01	1.134000000000e+01	1.400000000000e-01	2.187761623950e+11	5.248389156551e+08
SL2SJ021737-051329	021737-051329	0217-0513	SL2S	3.440416666667e+01	-5.224722222222e+00	6.460000000000e-01	1.850000000000e+00	7.300000000000e-01	5.044867108981e+00	9.000000000000e-01	8.760000000000e+01	2.470000000000e+00	1.590000000000e+00	1.970000000000e+01	1.129000000000e+01	1.500000000000e-01	1.949844599758e+11	1.219328346997e+09
SL2SJ021902-082934	021902-082934	0219-0829	SL2S	3.475833333333e+01	-8.492777777778e+00	3.890000000000e-01	2.150000000000e+00	9.500000000000e-01	5.017736223310e+00	7.400000000000e-01	8.260000000000e+01	2.430000000000e+00	1.150000000000e+00	1.894000000000e+01	1.124000000000e+01	1.000000000000e-01	1.737800828749e+11	1.098511169747e+09
SL2SJ022046-094927	022046-094927	0220-0949	SL2S	3.519166666667e+01	-9.824166666667e+00	5.720000000000e-01	2.610000000000e+00	5.300000000000e-01	3.464101658065e+00	7.100000000000e-01	-6.850000000000e+01	2.450000000000e+00	1.360000000000e+00	1.988000000000e+01	1.111000000000e+01	1.200000000000e-01	1.288249551693e+11	1.708593991720e+09
SL2SJ022511-045433	022511-045433	0225-0454	SL2S	3.629583333333e+01	-4.909166666667e+00	2.380000000000e-01	1.200000000000e+00	2.120000000000e+00	7.992230596111e+00	7.200000000000e-01	2.750000000000e+01	1.770000000000e+00	8.100000000000e-01	1.681000000000e+01	1.157000000000e+01	9.000000000000e-02	3.715352290972e+11	9.257295348369e+08
SL2SJ022610-042011	022610-042011	0226-0420	SL2S	3.654166666667e+01	-4.336388888889e+00	4.940000000000e-01	1.230000000000e+00	8.400000000000e-01	5.094507823324e+00	8.700000000000e-01	5.200000000000e+01	2.480000000000e+00	1.240000000000e+00	1.880000000000e+01	1.148000000000e+01	1.000000000000e-01	3.019951720402e+11	1.851892038673e+09
SL2SJ023251-040823	023251-040823	0232-0408	SL2S	3.821250000000e+01	-4.139722222222e+00	3.520000000000e-01	2.340000000000e+00	1.140000000000e+00	5.652191293742e+00	7.000000000000e-01	-7.260000000000e+01	1.990000000000e+00	8.700000000000e-01	1.872000000000e+01	1.111000000000e+01	1.000000000000e-01	1.288249551693e+11	6.417803682657e+08
SL2SJ084847-035103	084847-035103	0848-0351	SL2S	1.321958333333e+02	-3.850833333333e+00	6.820000000000e-01	1.550000000000e+00	4.500000000000e-01	3.181878660170e+00	8.200000000000e-01	-6.540000000000e+01	2.760000000000e+00	1.770000000000e+00	2.081000000000e+01	1.097000000000e+01	1.600000000000e-01	9.332543007970e+10	1.467076983789e+09
SL2SJ084909-041226	084909-041226	0849-0412	SL2S	1.322875000000e+02	-4.207222222222e+00	7.220000000000e-01	1.540000000000e+00	4.600000000000e-01	3.327331487006e+00	5.100000000000e-01	4.370000000000e+01	3.000000000000e+00	2.000000000000e+00	2.016000000000e+01	1.139000000000e+01	1.400000000000e-01	2.454708915685e+11	3.528807696580e+09
SL2SJ084959-025142	084959-025142	0849-0251	SL2S	1.324958333333e+02	-2.861666666667e+00	2.740000000000e-01	2.090000000000e+00	1.340000000000e+00	5.599978613159e+00	7.900000000000e-01	-6.540000000000e+01	1.910000000000e+00	8.800000000000e-01	1.794000000000e+01	1.127000000000e+01	9.000000000000e-02	1.862087136663e+11	9.450339155864e+08
SL2SJ085540-014730	085540-014730	0855-0147	SL2S	1.339166666667e+02	-1.791666666667e+00	3.650000000000e-01	3.390000000000e+00	6.900000000000e-01	3.501709409687e+00	8.200000000000e-01	-7.080000000000e+01	2.050000000000e+00	9.500000000000e-01	1.937000000000e+01	1.086000000000e+01	1.000000000000e-01	7.244359600750e+10	9.402859033089e+08
SL2SJ090407-005952	090407-005952	0904-0059	SL2S	1.360291666667e+02	-9.977777777778e-01	6.110000000000e-01	2.360000000000e+00	2.000000000000e+00	1.348318069868e+01	6.400000000000e-01	7.110000000000e+01	2.140000000000e+00	1.450000000000e+00	1.947000000000e+01	1.130000000000e+01	1.100000000000e-01	1.995262314969e+11	1.746768782849e+08
SL2SJ095921+020638	095921+020638	0959+0206	SL2S	1.498375000000e+02	2.110555555556e+00	5.520000000000e-01	3.350000000000e+00	4.600000000000e-01	2.954667374835e+00	9.000000000000e-01	4.200000000000e+01	2.510000000000e+00	1.330000000000e+00	2.023000000000e+01	1.103000000000e+01	1.000000000000e-01	1.071519305238e+11	1.953452872042e+09
