name,survey,indicator,ra,dec,z_helio,z_cmb,z_hd,mu,sigma_mu,sigma_mu_column,dl_mpc,is_calibrator,n_lightcurves,pantheon_row,cap,r_end_mpch,D_comov_indep_mpc,I_q_VoidFinder,I_q_VIDE,I_q_REVOLVER,I_q_ZOBOV_ellipsoid,I_q_SDSS_VoidFinder,I_T_VoidFinder,I_T_VIDE,I_T_REVOLVER,I_T_ZOBOV_ellipsoid,I_q_den,I_T_den,I_g,path_covered_frac,mean_delta_los,odd_parity_voids
12779,PantheonPlus,SNIa,309.472,1.2211,0.07995,0.07891,0.07906,37.7843,0.16946651586670447,0.238199,360.46242493363343,0,1,724,SGC,232.09565261112675,333.7769572050868,59.928843628153246,0.27985079153697257,0.9588725558656819,30.945977229859352,,-4.315072078380978e-07,0.0,-2.8233847678824487e-08,8.270528364109615e-08,64.3002365786177,-5.881342523237186e-07,3.6862396272985705e-05,0.8789479583307808,-0.2237230690381778,0
12843,PantheonPlus,SNIa,323.878,-0.9803,0.16725,0.16595,0.16606,39.1817,0.1370497354977382,0.193496,686.025090865522,0,1,855,SGC,477.5108092485695,587.7276426348442,158.67324258407527,184.37118222077018,234.50024182825396,178.05640162198245,,-1.6441896815318603e-06,3.150829755031053e-08,-1.1903008894461624e-08,-1.796456689816398e-07,68.63192605565524,-9.445539831709709e-07,0.00012197753090600484,0.9423870439878385,0.32411035565476304,0
12853,PantheonPlus,SNIa,316.766,0.7231,0.1694,0.16817,0.16828,39.2757,0.11657744207178333,0.165826,716.3743047864237,0,1,856,SGC,483.6228131225357,612.5998843735453,245.06998812242657,125.94160054299871,341.35764902571304,265.3589320899094,,-1.3278270497419577e-06,3.3474043676629836e-07,3.332027277990811e-07,7.851812483631282e-07,76.16498497096848,-9.861600269518277e-07,0.00014062727921378108,0.9428835605496201,0.10904344011175827,0
12860,PantheonPlus,SNIa,323.694,1.1759,0.12168,0.12042,0.12058,38.7926,0.18640716187958015,0.252257,573.4822757726505,0,1,765,SGC,350.53821805226033,511.2708399656323,96.11216862686581,109.04139229052757,157.22905606767605,86.62436208842831,,-1.525009745086841e-06,6.199401249593338e-07,3.7555789990298155e-07,-2.625828993257702e-07,44.988907929418545,-6.583259297229965e-07,9.062364261742397e-05,0.9185874276110867,0.3175700842022874,0
13727,PantheonPlus,SNIa,317.588,0.9326,0.22664,0.22534,0.22543,40.1329,0.13516752568572082,0.188923,1063.114398149143,0,1,1017,SGC,638.4813887595103,866.6881873647876,321.42811637357386,237.32764737748064,484.21468278196903,399.6705637726021,,-2.0491497001166147e-06,8.666805237103643e-07,-1.049517762058234e-08,4.3526740637146325e-07,117.1278405723298,-1.7504116665762018e-06,0.00020374836268760625,0.9553919828190355,0.14028211483198358,0
14019,PantheonPlus,SNIa,316.642,-0.648,0.2164,0.21513,0.21521,40.4641,0.162888305289238,0.22943,1238.2832546972256,0,1,987,SGC,611.1838742735243,1017.9901797905505,333.76961179882124,198.11093025844113,451.4991855595485,375.02888003037776,,-1.9514387612231995e-06,9.659916713962944e-07,-1.0849698007956734e-07,3.753239751258194e-09,83.38003152838542,-1.0933465289209787e-06,0.00018179030412778508,0.9555225924345009,0.23579268013866667,0
14024,PantheonPlus,SNIa,318.199,0.9163,0.14881,0.14759,0.14771,39.134,0.13401082045864804,0.188785,671.1197196984218,0,1,819,SGC,426.6807538890741,584.1868713698713,167.63511776561137,151.90263823472728,268.29553120131476,219.87255786482575,,-1.2446582579348184e-06,2.670344989235581e-07,1.8381354826969138e-07,9.58249647559497e-07,69.04407825684054,-1.0846333527492644e-06,0.0001248018261033715,0.9327817024141418,0.22006826795276394,0
14108,PantheonPlus,SNIa,53.5946,-1.1232,0.1352,0.13463,0.13477,39.2366,0.1406287666162226,0.199357,703.59055361453,0,1,791,SGC,390.49803334535505,619.7943566019468,81.13631114523349,30.875257592851938,30.875257592851938,15.99145901471438,,-1.8324609373995016e-07,8.6289357943543e-08,8.6289357943543e-08,-6.65354344547642e-08,113.10365417999662,-8.675239105153111e-07,7.508020589779117e-05,0.9218996493168438,-0.05913380447286922,0
14157,PantheonPlus,SNIa,51.1367,1.0224,0.2115,0.21083,0.21095,39.806,0.11015480016776391,0.155718,914.53430312046,0,1,976,SGC,599.6406940385991,754.8776748827569,187.5584021584948,9.855046035919372,9.855046035919372,75.15308812277952,,-7.99829796549619e-07,4.755595756089891e-08,4.755595756089891e-08,9.973716389505638e-09,163.2792101204501,-1.047219958568207e-06,9.632017077308934e-05,0.9505692419922869,-0.11787538197215322,0
14284,PantheonPlus,SNIa,49.0493,-0.6009,0.18107,0.18037,0.1805,39.3688,0.09682071059437646,0.13762,747.7561609862663,0,1,888,SGC,517.079815992975,633.1175637229514,58.662996301247404,0.4847423109869169,0.4847423109869169,33.05809847876711,,-3.891862124295526e-07,0.0,0.0,2.1016913759725474e-07,101.96933410834734,-7.063948340475462e-07,7.769750931762095e-05,0.9321578315223745,0.020342599605210687,0
