name,survey,indicator,ra,dec,z_helio,z_cmb,z_hd,mu,sigma_mu,sigma_mu_column,dl_mpc,is_calibrator,n_lightcurves,pantheon_row,r_end_mpch,I_q_SDSS_VoidFinder,expI_q_SDSS,sdI_q_SDSS,dI_q_SDSS
000190,PantheonPlus,SNIa,148.988,2.2635,0.1011,0.10237,0.10221,38.4085,0.13343511531826996,0.187412,480.5073110898127,0,1,742,299.34799535731236,145.5553008606743,174.6867659019194,35.05370327262574,-29.131465041245093
010010,PantheonPlus,SNIa,150.859,1.0294,0.0984,0.09968,0.0995,38.4377,0.13943471590676407,0.194713,487.0123785979774,0,1,740,291.67781201593436,141.381669815231,169.62060001911215,33.87839705189477,-28.238930203881154
010026,PantheonPlus,SNIa,160.674,58.8438,0.03123,0.03174,0.03236,35.6746,0.14450570922977402,0.20211,136.43317942360423,0,1,508,94.43639719599753,48.69403368589179,45.47469361499381,15.703909923039468,3.219340070897978
020027,PantheonPlus,SNIa,186.336,46.0152,0.1091,0.10988,0.11001,38.5701,0.12738312290095577,0.179741,517.630669174941,0,1,755,320.7051477509101,186.12613235549045,188.38926443000926,38.07238893324512,-2.2631320745188077
120225,PantheonPlus,SNIa,150.818,3.4749,0.106,0.10728,0.10713,38.7801,0.33151479604988976,0.468541,570.1905299204249,0,1,751,313.320637268961,169.12781512755572,183.65584709339936,37.03140377478845,-14.528031965843638
130308,PantheonPlus,SNIa,213.238,52.7437,0.08177,0.08221,0.08245,37.8192,0.15473538703218473,0.217606,366.30259892130476,0,1,729,241.60466318651805,133.1147772512423,137.50208417200153,29.597486668273426,-4.387306920759244
140181,PantheonPlus,SNIa,183.738,46.845,0.10154,0.10231,0.10246,38.2511,0.1425595664976574,0.199553,446.9099254085233,0,1,743,299.1770297854436,160.76489446210317,174.5738429235776,35.02750612828055,-13.808948461474415
160099,PantheonPlus,SNIa,214.667,54.1831,0.10102,0.10142,0.10165,38.2982,0.11717358917435276,0.165557,456.709452207509,0,1,741,296.64041570982704,159.3963894388445,172.8984060903521,34.63881942159092,-13.502016651507603
1981B,PantheonPlus,SNIa,188.623,2.1998,0.00236,0.0035,0.00317,30.7946,0.15596679133713048,0.614535,14.418497285255388,1,1,5,10.484053980668063,0.0,18.368442680712132,11.107399198140174,-18.368442680712132
1990N,PantheonPlus,SNIa,190.736,13.2565,0.00355,0.00462,0.00359,31.6969,0.1618295708453804,0.550993,21.84640597744984,1,1,13,13.835280705461962,0.0,18.368442680712132,11.107399198140174,-18.368442680712132
