case,sigma,aperture,relative_L1_vs_baseline,peak_absolute_change_mjy_beam
common30__newton_p5_boxcar_hanning_decimated_s-1,3,2,0.535467224313788,4.258567520242
common30__newton_p5_boxcar_hanning_decimated_s-1,3,3,0.4582360876267062,3.8886311924441235
common30__newton_p5_boxcar_hanning_decimated_s-1,3,4,0.1777812018265111,0.334279399176276
common30__newton_p5_boxcar_hanning_decimated_s-1,3,5,0.4655189261415589,1.3036842021893853
common30__newton_p5_boxcar_hanning_decimated_s-1,3,6,0.07441733347705484,0.19191082826979233
common30__newton_p5_boxcar_hanning_decimated_s-1,3,7,0.2532745498890695,0.46227307173137544
common30__newton_p5_boxcar_hanning_decimated_s-1,3,8,0.22486277113083403,0.574723522184077
common30__newton_p5_boxcar_hanning_decimated_s-1,3,9,0.205761141942596,0.7447140181902325
common30__newton_p5_boxcar_hanning_decimated_s-1,3,10,0.46063035369052124,3.0511077942210543
common30__newton_p5_boxcar_hanning_decimated_s-1,3,11,0.7636792497535021,1.4955291860222706
common30__newton_p5_boxcar_hanning_decimated_s-1,3,12,0.41412448806753077,1.068049582131346
common30__newton_p5_boxcar_hanning_decimated_s-1,3,13,0.5010318710459464,2.248738901540549
common30__newton_p5_boxcar_hanning_decimated_s-1,3,14,0.2935027837068501,0.8274631617003907
common30__newton_p5_boxcar_hanning_decimated_s-1,10,0,0.27217117493276416,0.21738267153027202
common30__newton_p5_boxcar_hanning_decimated_s-1,10,1,0.11429869509821848,0.1655128542756883
common30__newton_p5_boxcar_hanning_decimated_s-1,10,2,0.24639865430213126,0.8961531433533461
common30__newton_p5_boxcar_hanning_decimated_s-1,10,3,0.2214537106701731,1.0352942612446911
common30__newton_p5_boxcar_hanning_decimated_s-1,10,4,0.1072529853676368,0.1271299964935142
common30__newton_p5_boxcar_hanning_decimated_s-1,10,5,0.24779110839140012,0.4561632683129815
common30__newton_p5_boxcar_hanning_decimated_s-1,10,6,0.028277131378823702,0.029334576567100257
common30__newton_p5_boxcar_hanning_decimated_s-1,10,7,0.17568881274870596,0.19758309684519848
common30__newton_p5_boxcar_hanning_decimated_s-1,10,8,0.10814587005677447,0.10596784329836362
common30__newton_p5_boxcar_hanning_decimated_s-1,10,9,0.1049338181986737,0.1732502012615822
common30__newton_p5_boxcar_hanning_decimated_s-1,10,10,0.22971496049740087,0.9793033202708563
common30__newton_p5_boxcar_hanning_decimated_s-1,10,11,0.4934987751283851,0.5099619588603379
common30__newton_p5_boxcar_hanning_decimated_s-1,10,12,0.20921892920320445,0.25755091839790134
common30__newton_p5_boxcar_hanning_decimated_s-1,10,13,0.19426081002816126,0.4381641812862025
common30__newton_p5_boxcar_hanning_decimated_s-1,10,14,0.11527027717901091,0.17488198291388135
common30__newton_p5_boxcar_independent_s1,3,0,0.30682345389634263,0.5560895990951638
common30__newton_p5_boxcar_independent_s1,3,1,0.24552387444259988,0.5486009072173443
common30__newton_p5_boxcar_independent_s1,3,2,0.6054004236908407,3.876615375335511
common30__newton_p5_boxcar_independent_s1,3,3,0.4906974498772622,3.5421801726644055
common30__newton_p5_boxcar_independent_s1,3,4,0.18018125758435372,0.375375211058697
common30__newton_p5_boxcar_independent_s1,3,5,0.490918118835023,1.4456954732520941
common30__newton_p5_boxcar_independent_s1,3,6,0.06788901669783996,0.2015898766701929
common30__newton_p5_boxcar_independent_s1,3,7,0.2579550094838002,0.4431406231883752
common30__newton_p5_boxcar_independent_s1,3,8,0.28407852125902916,0.6016187010832623
common30__newton_p5_boxcar_independent_s1,3,9,0.22977723657563998,0.7463002546756723
common30__newton_p5_boxcar_independent_s1,3,10,0.474911570933345,3.5929910298630863
common30__newton_p5_boxcar_independent_s1,3,11,0.8164785436592329,1.5450552227949648
common30__newton_p5_boxcar_independent_s1,3,12,0.44947462140855465,1.07369814625034
common30__newton_p5_boxcar_independent_s1,3,13,0.48888956284079704,2.5853359286006743
common30__newton_p5_boxcar_independent_s1,3,14,0.2775923594110379,0.9957040338272027
common30__newton_p5_boxcar_independent_s1,10,0,0.27217549999188606,0.2230312816608262
common30__newton_p5_boxcar_independent_s1,10,1,0.11424953667570636,0.16954319158677644
common30__newton_p5_boxcar_independent_s1,10,2,0.25073642791036393,0.9050928396022524
common30__newton_p5_boxcar_independent_s1,10,3,0.22262635499151676,1.0639685260394494
common30__newton_p5_boxcar_independent_s1,10,4,0.1068427708034613,0.12692656736008434
common30__newton_p5_boxcar_independent_s1,10,5,0.2487724257187309,0.45554051416756347
common30__newton_p5_boxcar_independent_s1,10,6,0.028781015976671785,0.02946205293593951
common30__newton_p5_boxcar_independent_s1,10,7,0.17518943228657974,0.20300707591646583
common30__newton_p5_boxcar_independent_s1,10,8,0.10888726497484484,0.10785723334643282
common30__newton_p5_boxcar_independent_s1,10,9,0.10460590843729078,0.17197642026169246
common30__newton_p5_boxcar_independent_s1,10,10,0.23018445090641226,0.9729879189888924
common30__newton_p5_boxcar_independent_s1,10,11,0.49341135211829346,0.5042892913656206
common30__newton_p5_boxcar_independent_s1,10,12,0.2115582522816093,0.25723728877558616
common30__newton_p5_boxcar_independent_s1,10,13,0.1985041670137439,0.4502206778559108
common30__newton_p5_boxcar_independent_s1,10,14,0.11670881292697567,0.18159773262435808
common30__newton_p5_boxcar_hanning_full_s1,3,0,0.2827455647335036,0.42640210522038546
common30__newton_p5_boxcar_hanning_full_s1,3,1,0.16591773065628976,0.3832615697811257
common30__newton_p5_boxcar_hanning_full_s1,3,2,0.44638946344514746,2.619720518322171
common30__newton_p5_boxcar_hanning_full_s1,3,3,0.36009244730824613,2.621698956788287
common30__newton_p5_boxcar_hanning_full_s1,3,4,0.15652225670691258,0.2717361518016941
common30__newton_p5_boxcar_hanning_full_s1,3,5,0.3944934726978968,1.0921620230319724
common30__newton_p5_boxcar_hanning_full_s1,3,6,0.05257586485123546,0.10270158854528244
common30__newton_p5_boxcar_hanning_full_s1,3,7,0.22726835139285112,0.3720369894514801
common30__newton_p5_boxcar_hanning_full_s1,3,8,0.17862223224221085,0.2992877824865915
common30__newton_p5_boxcar_hanning_full_s1,3,9,0.18129142849087995,0.48116199904412316
common30__newton_p5_boxcar_hanning_full_s1,3,10,0.3760591138925115,2.5054346406407455
common30__newton_p5_boxcar_hanning_full_s1,3,11,0.6796899635575798,1.091928644394
common30__newton_p5_boxcar_hanning_full_s1,3,12,0.3600078722198604,0.7374834847251964
common30__newton_p5_boxcar_hanning_full_s1,3,13,0.35416954030304,1.2782875540528287
common30__newton_p5_boxcar_hanning_full_s1,3,14,0.21192252117338614,0.5856308403853545
common30__newton_p5_boxcar_hanning_full_s1,10,0,0.27217020658170005,0.2093043794500511
common30__newton_p5_boxcar_hanning_full_s1,10,1,0.11154355774978136,0.15591579539366673
common30__newton_p5_boxcar_hanning_full_s1,10,2,0.24103821265684783,0.8146186738544614
common30__newton_p5_boxcar_hanning_full_s1,10,3,0.21294959262418917,0.9681404426262379
common30__newton_p5_boxcar_hanning_full_s1,10,4,0.1021193777997446,0.11478887337138888
common30__newton_p5_boxcar_hanning_full_s1,10,5,0.23846225052717032,0.4140426998026243
common30__newton_p5_boxcar_hanning_full_s1,10,6,0.02709874079410158,0.02641199025010721
common30__newton_p5_boxcar_hanning_full_s1,10,7,0.17335373295809417,0.19019701472593586
common30__newton_p5_boxcar_hanning_full_s1,10,8,0.10693020929709184,0.0986831541070129
common30__newton_p5_boxcar_hanning_full_s1,10,9,0.09886002034345671,0.15813809954052238
common30__newton_p5_boxcar_hanning_full_s1,10,10,0.22116796358949706,0.882919020780113
common30__newton_p5_boxcar_hanning_full_s1,10,11,0.48783741109807954,0.4732918098826693
common30__newton_p5_boxcar_hanning_full_s1,10,12,0.20014247995846607,0.23393962808371271
common30__newton_p5_boxcar_hanning_full_s1,10,13,0.1882495377000378,0.40190826290748904
common30__newton_p5_boxcar_hanning_full_s1,10,14,0.10996680612952185,0.16478794726474866
common30__newton_p5_boxcar_hanning_decimated_s1,3,0,0.2957854477520304,0.5429158941741934
common30__newton_p5_boxcar_hanning_decimated_s1,3,1,0.22745096620898692,0.5181409001515191
common30__newton_p5_boxcar_hanning_decimated_s1,3,2,0.5794193277189607,3.7363080957655526
common30__newton_p5_boxcar_hanning_decimated_s1,3,3,0.46837424808262873,3.29226946163522
common30__newton_p5_boxcar_hanning_decimated_s1,3,4,0.17618939669559514,0.35743678219194086
common30__newton_p5_boxcar_hanning_decimated_s1,3,5,0.4758026759524514,1.3976402511810377
