case,sigma,comparison,aperture,profile_L1,centroid_km_s,passed
common30__newton_p5_boxcar_independent_s-1,3,planar,0,0.0009294612853730969,0.0002903218664727092,True
common30__newton_p5_boxcar_independent_s-1,3,planar,1,0.00011172959190123377,6.782429519347488e-05,True
common30__newton_p5_boxcar_independent_s-1,3,planar,2,0.0004411152934336514,0.0004680526303459942,True
common30__newton_p5_boxcar_independent_s-1,3,planar,3,0.0005479114848562712,0.0006489202795592064,True
common30__newton_p5_boxcar_independent_s-1,3,planar,4,6.587011776481676e-05,0.00014997503687297353,True
common30__newton_p5_boxcar_independent_s-1,3,planar,5,0.00019407052088701206,0.0008901402380701029,True
common30__newton_p5_boxcar_independent_s-1,3,planar,6,0.0003848886773935254,0.0005634521537370984,True
common30__newton_p5_boxcar_independent_s-1,3,planar,7,0.00015915250331674622,0.0007876538813782474,True
common30__newton_p5_boxcar_independent_s-1,3,planar,8,0.00015005296749235256,0.0006017694691173858,True
common30__newton_p5_boxcar_independent_s-1,3,planar,9,6.943063658717173e-05,0.00013680025417883712,True
common30__newton_p5_boxcar_independent_s-1,3,planar,10,0.00034388494011630146,0.0005847647563754776,True
common30__newton_p5_boxcar_independent_s-1,3,planar,11,0.0005434671988032146,0.0025462148898753867,True
common30__newton_p5_boxcar_independent_s-1,3,planar,12,0.00015353809698132506,0.0008258944893313469,True
common30__newton_p5_boxcar_independent_s-1,3,planar,13,9.929853732762724e-05,8.41223362400001e-05,True
common30__newton_p5_boxcar_independent_s-1,3,planar,14,0.0001234368543901866,0.00027826190763136083,True
common30__newton_p5_boxcar_independent_s-1,3,vertical,0,7.285281075293431e-07,5.44796208146181e-08,True
common30__newton_p5_boxcar_independent_s-1,3,vertical,1,7.7850227039704e-07,3.1737014438704136e-07,True
common30__newton_p5_boxcar_independent_s-1,3,vertical,2,4.7496432069236114e-07,3.394353100816261e-07,True
common30__newton_p5_boxcar_independent_s-1,3,vertical,3,1.022171017257241e-06,1.7707429122992835e-07,True
common30__newton_p5_boxcar_independent_s-1,3,vertical,4,9.413510861842746e-08,3.0541968953912146e-08,True
common30__newton_p5_boxcar_independent_s-1,3,vertical,5,3.269838982181404e-07,1.295935732059661e-07,True
common30__newton_p5_boxcar_independent_s-1,3,vertical,6,8.992906932148247e-05,1.0396238061233243e-05,True
common30__newton_p5_boxcar_independent_s-1,3,vertical,7,9.019919815650811e-08,1.4694202832288283e-07,True
common30__newton_p5_boxcar_independent_s-1,3,vertical,8,2.0479814338103679e-07,8.597206146987446e-08,True
common30__newton_p5_boxcar_independent_s-1,3,vertical,9,4.80704001253514e-06,4.2503511510361136e-05,True
common30__newton_p5_boxcar_independent_s-1,3,vertical,10,7.217448789697671e-07,5.049364659726052e-08,True
common30__newton_p5_boxcar_independent_s-1,3,vertical,11,1.0437537886201824e-06,5.724367468928904e-07,True
common30__newton_p5_boxcar_independent_s-1,3,vertical,12,6.402629465917121e-07,2.561208134466142e-07,True
common30__newton_p5_boxcar_independent_s-1,3,vertical,13,9.40708661922478e-07,5.867784835800194e-07,True
common30__newton_p5_boxcar_independent_s-1,3,vertical,14,8.666846713950701e-07,2.2556129408712877e-07,True
common30__newton_p5_boxcar_independent_s-1,3,joint,0,0.0009294672516317912,0.0002903725257041856,True
common30__newton_p5_boxcar_independent_s-1,3,joint,1,0.00011173101313613703,6.810551973757129e-05,True
common30__newton_p5_boxcar_independent_s-1,3,joint,2,0.0004406988633684421,0.0004677324843882502,True
common30__newton_p5_boxcar_independent_s-1,3,joint,3,0.000548019559249346,0.0006488008026863668,True
common30__newton_p5_boxcar_independent_s-1,3,joint,4,6.585809028362573e-05,0.0001499952814469907,True
common30__newton_p5_boxcar_independent_s-1,3,joint,5,0.00019415869862527066,0.0008899445851113796,True
common30__newton_p5_boxcar_independent_s-1,3,joint,6,0.0004532537857209016,0.0005586613713383648,True
common30__newton_p5_boxcar_independent_s-1,3,joint,7,0.0001592045593726347,0.0007878066552038376,True
common30__newton_p5_boxcar_independent_s-1,3,joint,8,0.0001499379181639342,0.0006016966160018455,True
common30__newton_p5_boxcar_independent_s-1,3,joint,9,7.148249247323235e-05,0.00010587997201660926,True
common30__newton_p5_boxcar_independent_s-1,3,joint,10,0.0003439043979320877,0.0005847061546333521,True
common30__newton_p5_boxcar_independent_s-1,3,joint,11,0.0005434948120639756,0.0025459045121323243,True
common30__newton_p5_boxcar_independent_s-1,3,joint,12,0.00015362424593835737,0.0008259495114231186,True
common30__newton_p5_boxcar_independent_s-1,3,joint,13,9.960904476599363e-05,8.3492078317704e-05,True
common30__newton_p5_boxcar_independent_s-1,3,joint,14,0.00012377852953445308,0.0002784899042111988,True
common30__newton_p5_boxcar_independent_s-1,3,fine_planar_vertical,0,7.257957313560612e-07,5.0659231476402056e-08,True
common30__newton_p5_boxcar_independent_s-1,3,fine_planar_vertical,1,7.730343290012653e-07,2.812245440964034e-07,True
common30__newton_p5_boxcar_independent_s-1,3,fine_planar_vertical,2,4.753418061735119e-07,3.2014595774398913e-07,True
common30__newton_p5_boxcar_independent_s-1,3,fine_planar_vertical,3,1.0278016257198992e-06,1.1947687283964115e-07,True
common30__newton_p5_boxcar_independent_s-1,3,fine_planar_vertical,4,9.195487357794431e-08,2.0244574017169725e-08,True
common30__newton_p5_boxcar_independent_s-1,3,fine_planar_vertical,5,3.33918742168168e-07,1.9565295872325805e-07,True
common30__newton_p5_boxcar_independent_s-1,3,fine_planar_vertical,6,6.847659556310527e-05,4.790782398733651e-06,True
common30__newton_p5_boxcar_independent_s-1,3,fine_planar_vertical,7,8.89450462135177e-08,1.5277382559020225e-07,True
common30__newton_p5_boxcar_independent_s-1,3,fine_planar_vertical,8,1.9977325968913734e-07,7.28531155402834e-08,True
common30__newton_p5_boxcar_independent_s-1,3,fine_planar_vertical,9,3.5115104195506133e-06,3.0920282162227863e-05,True
common30__newton_p5_boxcar_independent_s-1,3,fine_planar_vertical,10,7.232686703875803e-07,5.8601742125574674e-08,True
common30__newton_p5_boxcar_independent_s-1,3,fine_planar_vertical,11,1.0710184342926323e-06,3.103777430624177e-07,True
common30__newton_p5_boxcar_independent_s-1,3,fine_planar_vertical,12,6.358779377677094e-07,5.502209177166151e-08,True
common30__newton_p5_boxcar_independent_s-1,3,fine_planar_vertical,13,9.406641769645669e-07,6.302579222960958e-07,True
common30__newton_p5_boxcar_independent_s-1,3,fine_planar_vertical,14,8.657037118644996e-07,2.279965798379635e-07,True
common30__newton_p5_boxcar_independent_s-1,3,fine_vertical_planar,0,0.0009294613133832014,0.000290318046083371,True
common30__newton_p5_boxcar_independent_s-1,3,fine_vertical_planar,1,0.00011172967032380788,6.778814959318424e-05,True
common30__newton_p5_boxcar_independent_s-1,3,fine_vertical_planar,2,0.0004411165387414119,0.00046807191969833184,True
common30__newton_p5_boxcar_independent_s-1,3,fine_vertical_planar,3,0.0005479125090850489,0.0006489778769775967,True
common30__newton_p5_boxcar_independent_s-1,3,fine_vertical_planar,4,6.586935823885812e-05,0.0001499647394780368,True
common30__newton_p5_boxcar_independent_s-1,3,fine_vertical_planar,5,0.00019406371740466737,0.0008900741786845856,True
common30__newton_p5_boxcar_independent_s-1,3,fine_vertical_planar,6,0.00036347189259083683,0.000569057609399598,True
common30__newton_p5_boxcar_independent_s-1,3,fine_vertical_planar,7,0.0001591518140101958,0.0007876597131755148,True
common30__newton_p5_boxcar_independent_s-1,3,fine_vertical_planar,8,0.00015005568711708823,0.0006017825880633154,True
common30__newton_p5_boxcar_independent_s-1,3,fine_vertical_planar,9,6.909577242677032e-05,0.0001483834835269704,True
common30__newton_p5_boxcar_independent_s-1,3,fine_vertical_planar,10,0.00034388495629349467,0.0005847566482799493,True
common30__newton_p5_boxcar_independent_s-1,3,fine_vertical_planar,11,0.0005435182939679915,0.002546476948879217,True
common30__newton_p5_boxcar_independent_s-1,3,fine_vertical_planar,12,0.00015349919173054293,0.000825693390609672,True
common30__newton_p5_boxcar_independent_s-1,3,fine_vertical_planar,13,9.929897356938707e-05,8.407885680128402e-05,True
common30__newton_p5_boxcar_independent_s-1,3,fine_vertical_planar,14,0.00012343699568301907,0.00027826434291711166,True
common30__newton_p5_boxcar_independent_s-1,10,planar,0,0.000929444813135701,0.0002902021758899309,True
common30__newton_p5_boxcar_independent_s-1,10,planar,1,0.00011172895965652272,6.783151301448243e-05,True
common30__newton_p5_boxcar_independent_s-1,10,planar,2,0.00043484545519316257,0.0004679014448356611,True
common30__newton_p5_boxcar_independent_s-1,10,planar,3,0.0005469701671791829,0.000648955726916256,True
common30__newton_p5_boxcar_independent_s-1,10,planar,4,4.879097233971258e-05,0.00014995204986334443,True
common30__newton_p5_boxcar_independent_s-1,10,planar,5,0.00015354013503774872,0.0008901799970573165,True
common30__newton_p5_boxcar_independent_s-1,10,planar,6,0.0003825811862393658,0.00056321962456235,True
common30__newton_p5_boxcar_independent_s-1,10,planar,7,0.00012766684665661636,0.0007876710387826336,True
common30__newton_p5_boxcar_independent_s-1,10,planar,8,0.00010318784016947246,0.0006017705846730337,True
common30__newton_p5_boxcar_independent_s-1,10,planar,9,6.792106665909975e-05,0.00013671784458146874,True
common30__newton_p5_boxcar_independent_s-1,10,planar,10,0.0003438647883132185,0.0005848935885097717,True
common30__newton_p5_boxcar_independent_s-1,10,planar,11,0.0003920385496039647,0.0025462215279858924,True
common30__newton_p5_boxcar_independent_s-1,10,planar,12,0.00014744192943389695,0.0008258961158773559,True
common30__newton_p5_boxcar_independent_s-1,10,planar,13,9.710566539712886e-05,8.400290145260669e-05,True
common30__newton_p5_boxcar_independent_s-1,10,planar,14,0.00012273138681074652,0.00027816672767499995,True
common30__newton_p5_boxcar_independent_s-1,10,vertical,0,1.4882326603434831e-08,1.0965386110228792e-07,True
common30__newton_p5_boxcar_independent_s-1,10,vertical,1,1.0808650055813488e-08,6.450331113683205e-08,True
common30__newton_p5_boxcar_independent_s-1,10,vertical,2,2.301533902664048e-09,8.58128146319359e-09,True
common30__newton_p5_boxcar_independent_s-1,10,vertical,3,3.89414022271535e-09,3.4337055865307775e-08,True
common30__newton_p5_boxcar_independent_s-1,10,vertical,4,8.43227143457168e-09,1.1002779132240903e-08,True
common30__newton_p5_boxcar_independent_s-1,10,vertical,5,1.056758294480709e-08,3.0141499962610396e-08,True
common30__newton_p5_boxcar_independent_s-1,10,vertical,6,8.992220881722027e-05,1.0334036971121341e-05,True
common30__newton_p5_boxcar_independent_s-1,10,vertical,7,1.4156478461009884e-08,1.4390600711067236e-07,True
common30__newton_p5_boxcar_independent_s-1,10,vertical,8,1.5150396014606796e-08,5.9292048604220327e-08,True
common30__newton_p5_boxcar_independent_s-1,10,vertical,9,4.794342996644798e-06,4.251145259992484e-05,True
common30__newton_p5_boxcar_independent_s-1,10,vertical,10,1.4420880694249327e-08,1.2239958380177995e-08,True
common30__newton_p5_boxcar_independent_s-1,10,vertical,11,3.1951320517009954e-08,2.1814555850596662e-07,True
common30__newton_p5_boxcar_independent_s-1,10,vertical,12,1.1930207437259689e-08,1.0914887127455586e-07,True
common30__newton_p5_boxcar_independent_s-1,10,vertical,13,6.1211152570372475e-09,4.315788260100817e-08,True
common30__newton_p5_boxcar_independent_s-1,10,vertical,14,5.922229126099772e-09,1.695876505891647e-08,True
common30__newton_p5_boxcar_independent_s-1,10,joint,0,0.0009294427571795394,0.0002903081062157753,True
common30__newton_p5_boxcar_independent_s-1,10,joint,1,0.00011172804534190624,6.773078407462663e-05,True
common30__newton_p5_boxcar_independent_s-1,10,joint,2,0.00043484693777580977,0.00046791250512256966,True
common30__newton_p5_boxcar_independent_s-1,10,joint,3,0.0005469678522966233,0.0006489792294743779,True
common30__newton_p5_boxcar_independent_s-1,10,joint,4,4.8785527140340935e-05,0.000149952837599443,True
common30__newton_p5_boxcar_independent_s-1,10,joint,5,0.00015353712650822363,0.00089008361450027,True
common30__newton_p5_boxcar_independent_s-1,10,joint,6,0.00045102461712304636,0.0005584302551286946,True
common30__newton_p5_boxcar_independent_s-1,10,joint,7,0.00012766819811765013,0.0007878207572424856,True
common30__newton_p5_boxcar_independent_s-1,10,joint,8,0.00010318481310662825,0.000601724411744442,True
common30__newton_p5_boxcar_independent_s-1,10,joint,9,7.142050059758098e-05,0.00010579540259314513,True
common30__newton_p5_boxcar_independent_s-1,10,joint,10,0.00034386277588645,0.0005848731688331554,True
common30__newton_p5_boxcar_independent_s-1,10,joint,11,0.0003920368250390214,0.002546265699294281,True
common30__newton_p5_boxcar_independent_s-1,10,joint,12,0.00014743726532528476,0.0008258036181914008,True
common30__newton_p5_boxcar_independent_s-1,10,joint,13,9.710532283042212e-05,8.400260912111435e-05,True
common30__newton_p5_boxcar_independent_s-1,10,joint,14,0.00012273027641879425,0.00027818632481313443,True
common30__newton_p5_boxcar_independent_s-1,10,fine_planar_vertical,0,1.4703312516409885e-08,1.0593032584438333e-07,True
common30__newton_p5_boxcar_independent_s-1,10,fine_planar_vertical,1,1.0415085645654057e-08,1.0072893985579867e-07,True
common30__newton_p5_boxcar_independent_s-1,10,fine_planar_vertical,2,2.5688758890543663e-09,1.1060286908559647e-08,True
common30__newton_p5_boxcar_independent_s-1,10,fine_planar_vertical,3,3.681160252736643e-09,2.3502558121890615e-08,True
common30__newton_p5_boxcar_independent_s-1,10,fine_planar_vertical,4,8.90886253280534e-09,7.877360985730775e-10,True
common30__newton_p5_boxcar_independent_s-1,10,fine_planar_vertical,5,1.0375396531128273e-08,9.63825570465815e-08,True
common30__newton_p5_boxcar_independent_s-1,10,fine_planar_vertical,6,6.846962715740692e-05,4.789369433655377e-06,True
common30__newton_p5_boxcar_independent_s-1,10,fine_planar_vertical,7,1.4442486497798539e-08,1.497184598520107e-07,True
common30__newton_p5_boxcar_independent_s-1,10,fine_planar_vertical,8,1.3840413169959005e-08,4.6172928591659e-08,True
