galaxy	team_release_kin	point_index	outer_fold	source_cell	radius_kpc	radius_over_screen	local_hi_surface_density	enclosed_baryonic_mass_msun	enclosed_fraction	enclosed_log_slope	gbar_m_s2	u	vbar_km_s	h_spectral	h_resistance	h_heat	h_communicability	item39_h_equipartition	item39_h_quasilocal	item39_h_wedge	item39_h_flow	total_baryonic_mass_msun	gas_fraction	effective_radius_kpc	distance_mpc	inclination_degrees
WALLABY J122733+061359	NGC 4636 Kin TR1	0	0	mass1|gas1	3.326503842777e+00	7.670280220904e-02	5.640000000000e+00	3.164854187398e+09	1.632250911696e-01	1.019204153954e+00	3.986467156644e-11	3.322055963870e-01	6.396808986588e+01	3.739591135435e-01	8.656707213775e-15	1.409392130268e-14	1.000000000000e+00	9.304195476602e-01	3.606178829069e-01	3.802485334390e-01	3.248524432377e-01	1.938950785520e+10	6.124432928474e-01	5.403124429489e+00	9.148542274809e+01	3.100000000000e+01
WALLABY J122733+061359	NGC 4636 Kin TR1	1	0	mass1|gas1	1.000168822062e+01	2.306197586419e-01	4.310000000001e+00	9.718969338212e+09	5.012488924831e-01	8.126452151623e-01	1.354204120680e-11	1.128503433900e-01	6.464783632968e+01	4.424487279885e-01	2.143665817908e-01	3.490086541077e-01	4.956659759029e-01	8.081451065076e-01	3.697782838836e-01	7.804642486204e-01	4.221487937535e-01	1.938950785520e+10	6.124432928474e-01	5.403124429489e+00	9.148542274809e+01	3.100000000000e+01
WALLABY J122733+061359	NGC 4636 Kin TR1	2	0	mass1|gas1	1.667243726000e+01	3.844344446717e-01	3.290000000000e+00	1.401806250533e+10	7.229715478092e-01	6.451758419425e-01	7.029110200219e-12	5.857591833516e-02	6.013467865710e+01	8.698260037390e-04	3.612283442626e-01	4.089019131980e-01	3.009005773356e-01	6.605503093325e-01	3.057027914206e-01	8.017178120876e-01	5.121868030754e-01	1.938950785520e+10	6.124432928474e-01	5.403124429489e+00	9.148542274809e+01	3.100000000000e+01
WALLABY J122733+061359	NGC 4636 Kin TR1	3	0	mass1|gas1	2.334762163784e+01	5.383514011045e-01	2.150000000000e+00	1.714518051444e+10	8.842504225727e-01	4.464971127504e-01	4.383967361375e-12	3.653306134479e-02	5.619921535297e+01	6.008152823691e-01	5.267640591790e-01	7.408745955103e-01	1.573098337399e-01	5.062959175959e-01	2.431453522068e-01	6.103580949966e-01	6.349906889947e-01	1.938950785520e+10	6.124432928474e-01	5.403124429489e+00	9.148542274809e+01	3.100000000000e+01
WALLABY J122733+061359	NGC 4636 Kin TR1	4	0	mass1|gas1	3.001837067722e+01	6.921660871344e-01	8.399999999998e-01	1.864376384807e+10	9.615387861981e-01	2.421127166414e-01	2.883831654853e-12	2.403193045711e-02	5.168372214040e+01	9.936843464560e-01	7.153427218257e-01	1.000000000000e+00	5.991603544184e-02	3.348840417547e-01	1.628904306974e-01	3.781961117392e-01	7.840316279866e-01	1.938950785520e+10	6.124432928474e-01	5.403124429489e+00	9.148542274809e+01	3.100000000000e+01
WALLABY J130148-114530	NGC5044 Kin TR3	0	0	mass0|gas1	3.082757477053e+00	7.700205338810e-02	1.070000000000e+01	1.856019699037e+09	9.614993798286e-02	1.256441759803e+00	2.722164746508e-11	2.268470622090e-01	5.088645011737e+01	3.654733974865e-01	5.807270906777e-15	6.953711695478e-15	1.000000000000e+00	8.838291624997e-01	1.105842586224e-01	3.038206675135e-01	2.283345734522e-01	1.930338945583e+10	5.992081461203e-01	8.440057682714e+00	8.478191649482e+01	6.640000000000e+01
WALLABY J130148-114530	NGC5044 Kin TR3	1	0	mass0|gas1	9.240051744554e+00	2.308008213553e-01	9.130000000000e+00	7.371780551614e+09	3.818904741306e-01	1.075531466283e+00	1.203466859419e-11	1.002889049516e-01	5.857732590134e+01	5.028873088168e-01	2.927919155228e-01	3.505933509897e-01	3.786451356415e-01	7.551747349530e-01	2.465999662285e-01	7.585653832729e-01	3.005882215322e-01	1.930338945583e+10	5.992081461203e-01	8.440057682714e+00	8.478191649482e+01	6.640000000000e+01
WALLABY J130148-114530	NGC5044 Kin TR3	2	0	mass0|gas1	1.540145635536e+01	3.847022587269e-01	6.900000000001e+00	1.223308679181e+10	6.337273990043e-01	8.429062084522e-01	7.188247493774e-12	5.990206244812e-02	5.844773397140e+01	1.904406630853e-01	4.304907931839e-01	3.960955272000e-01	2.516742468530e-01	6.213600343903e-01	2.445187435252e-01	8.632158719459e-01	4.070108919201e-01	1.930338945583e+10	5.992081461203e-01	8.440057682714e+00	8.478191649482e+01	6.640000000000e+01
WALLABY J130148-114530	NGC5044 Kin TR3	3	0	mass0|gas1	2.155875062286e+01	5.385010266941e-01	4.480000000001e+00	1.571743866546e+10	8.142320653805e-01	6.030476139225e-01	4.713517675421e-12	3.927931396185e-02	5.599633938619e+01	3.657674166129e-01	5.677117719185e-01	6.022661558269e-01	1.359798002637e-01	4.747703207155e-01	2.038325522616e-01	7.420188630834e-01	5.366603279192e-01	1.930338945583e+10	5.992081461203e-01	8.440057682714e+00	8.478191649482e+01	6.640000000000e+01
WALLABY J130148-114530	NGC5044 Kin TR3	4	0	mass0|gas1	2.771604489036e+01	6.922997946612e-01	2.340000000000e+00	1.780708286172e+10	9.224847741100e-01	3.826633550295e-01	3.231028665318e-12	2.692523887765e-02	5.256677167541e+01	8.298642530758e-01	7.189774795259e-01	8.467581163822e-01	5.781722432245e-02	3.161772153119e-01	1.425484141354e-01	5.258996754847e-01	6.787936036183e-01	1.930338945583e+10	5.992081461203e-01	8.440057682714e+00	8.478191649482e+01	6.640000000000e+01
WALLABY J130223-122031	NGC5044 Kin TR3	0	0	mass1|gas0	2.666230128601e+00	9.099733074497e-02	5.630000000000e+00	2.426203833944e+09	7.441318535581e-02	1.393896260992e+00	4.757103110695e-11	3.964252592246e-01	6.255980277411e+01	4.075562869520e-01	0.000000000000e+00	0.000000000000e+00	1.000000000000e+00	7.997304692542e-01	1.002605262355e-01	2.902579724769e-01	1.785864070076e-01	3.260448833555e+10	2.730473752140e-01	8.295048974544e+00	7.332659211814e+01	5.200000000000e+01
WALLABY J130223-122031	NGC5044 Kin TR3	1	0	mass1|gas0	7.991580438793e+00	2.727493326863e-01	6.160000000000e+00	1.368037019876e+10	4.195854895182e-01	1.131534373334e+00	2.985678515479e-11	2.488065429566e-01	8.580510591169e+01	4.913586177303e-01	3.627566256859e-01	4.105079459141e-01	3.892260379904e-01	6.988034063542e-01	2.120883597395e-01	8.099875110259e-01	2.773291055212e-01	3.260448833555e+10	2.730473752140e-01	8.295048974544e+00	7.332659211814e+01	5.200000000000e+01
WALLABY J130223-122031	NGC5044 Kin TR3	2	0	mass1|gas0	1.332048572249e+01	4.546226644019e-01	5.960000000000e+00	2.291268952574e+10	7.027464835495e-01	7.980270189479e-01	1.799892184360e-11	1.499910153633e-01	8.601190149434e+01	4.631037560383e-02	5.092103554217e-01	5.599778836506e-01	2.444013171085e-01	5.454687780680e-01	2.143860665257e-01	8.474186618631e-01	4.295787613601e-01	3.260448833555e+10	2.730473752140e-01	8.295048974544e+00	7.332659211814e+01	5.200000000000e+01
WALLABY J130223-122031	NGC5044 Kin TR3	3	0	mass1|gas0	1.864583603268e+01	6.363746663432e-01	3.559999999999e+00	2.859644302135e+10	8.770707494947e-01	4.821015210738e-01	1.146459819892e-11	9.553831832431e-02	8.121675293402e+01	6.185484946545e-01	6.604128745300e-01	7.781438662736e-01	1.113331942724e-01	3.682387112845e-01	1.590384962897e-01	6.402927963178e-01	6.115376289157e-01	3.260448833555e+10	2.730473752140e-01	8.295048974544e+00	7.332659211814e+01	5.200000000000e+01
WALLABY J130223-122031	NGC5044 Kin TR3	4	0	mass1|gas0	2.397118634288e+01	8.181266682845e-01	1.299999999999e+00	3.122523397674e+10	9.576974082643e-01	2.377330548263e-01	7.574207330084e-12	6.311839441737e-02	7.484945303590e+01	9.999999999998e-01	8.383546184876e-01	9.999999999996e-01	3.181381501190e-02	1.772348398806e-01	7.859491366453e-02	4.005380443394e-01	7.875233113137e-01	3.260448833555e+10	2.730473752140e-01	8.295048974544e+00	7.332659211814e+01	5.200000000000e+01
WALLABY J130806-144640	NGC5044 Kin TR3	0	1	mass0|gas1	1.347376668513e+00	7.700205338810e-02	4.830000000000e+00	6.817653099567e+07	2.286783108444e-02	1.226729312473e+00	5.234405908190e-12	4.362004923492e-02	1.475208760354e+01	5.485177005706e-01	0.000000000000e+00	0.000000000000e+00	1.000000000000e+00	5.882011393448e-01	5.420475110142e-01	1.540578230598e-01	2.396453537450e-01	2.981329131911e+09	9.031901859242e-01	2.447554630909e+00	3.705551832969e+01	4.020000000000e+01
WALLABY J130806-144640	NGC5044 Kin TR3	1	1	mass0|gas1	4.038537001089e+00	2.308008213553e-01	5.050000000000e+00	8.134628612544e+08	2.728524175836e-01	1.246647895249e+00	6.951845970541e-12	5.793204975450e-02	2.943319286771e+01	7.379749726781e-01	3.663930662698e-01	5.446552702944e-01	2.760768345517e-01	6.733178924143e-01	8.349315159165e-02	6.954502607484e-01	2.320399775577e-01	2.981329131911e+09	9.031901859242e-01	2.447554630909e+00	3.705551832969e+01	4.020000000000e+01
WALLABY J130806-144640	NGC5044 Kin TR3	2	1	mass0|gas1	6.731493835891e+00	3.847022587269e-01	4.580000000000e+00	1.545290843309e+09	5.183227932698e-01	1.160192313643e+00	4.753328945224e-12	3.961107454353e-02	3.142171851511e+01	3.788453480599e-01	5.078715792112e-01	5.836300314923e-01	1.985697815857e-01	5.557806035293e-01	1.479699087499e-01	8.952496509483e-01	2.657457531086e-01	2.981329131911e+09	9.031901859242e-01	2.447554630909e+00	3.705551832969e+01	4.020000000000e+01
WALLABY J130806-144640	NGC5044 Kin TR3	3	1	mass0|gas1	9.422654168467e+00	5.385010266941e-01	3.260000000000e+00	2.234941221267e+09	7.496459204536e-01	8.995747504703e-01	3.508569999307e-12	2.923808332756e-02	3.193941602587e+01	2.770213689221e-01	6.137495969192e-01	7.917707047860e-01	1.235029068382e-01	4.421408431098e-01	1.639136701189e-01	8.265343288489e-01	3.795126334822e-01	2.981329131911e+09	9.031901859242e-01	2.447554630909e+00	3.705551832969e+01	4.020000000000e+01
WALLABY J130806-144640	NGC5044 Kin TR3	4	1	mass0|gas1	1.211381450104e+01	6.922997946612e-01	1.729999999999e+00	2.699673813333e+09	9.055269290589e-01	5.470895456349e-01	2.564247846471e-12	2.136873205393e-02	3.095962786724e+01	8.265563435909e-01	7.183336119697e-01	9.629900915718e-01	5.961989881808e-02	3.078033626773e-01	1.334482214073e-01	5.752206816750e-01	5.704198569911e-01	2.981329131911e+09	9.031901859242e-01	2.447554630909e+00	3.705551832969e+01	4.020000000000e+01
WALLABY J130806-144640	NGC5044 Kin TR3	5	1	mass0|gas1	1.480677133584e+01	8.462012320329e-01	6.599999999992e-01	2.915647077541e+09	9.779688684260e-01	2.469005701958e-01	1.853637293415e-12	1.544697744512e-02	2.910166496822e+01	9.999999999995e-01	8.479597393136e-01	9.999999999989e-01	1.852176150327e-02	1.546094552854e-01	7.223429238308e-02	2.925490544074e-01	7.802300880856e-01	2.981329131911e+09	9.031901859242e-01	2.447554630909e+00	3.705551832969e+01	4.020000000000e+01
WALLABY J130906+051433	NGC 4808 Kin TR1	0	1	mass0|gas1	1.871020263417e+00	7.665576451350e-02	3.700000000000e+00	7.255662838237e+07	2.042988068100e-02	1.022278461940e+00	2.888887667848e-12	2.407406389873e-02	1.291456687746e+01	7.690479630756e-01	0.000000000000e+00	1.068261840825e-01	1.000000000000e+00	5.532495129263e-01	5.791369436729e-01	1.455144796386e-01	3.235047830212e-01	3.551495454883e+09	9.541125569359e-01	2.080420360850e+00	5.145675094907e+01	5.020000000000e+01
WALLABY J130906+051433	NGC 4808 Kin TR1	1	1	mass0|gas1	5.628028952357e+00	2.305805396566e-01	3.020000000000e+00	8.075902775808e+08	2.273944280206e-01	1.055983433753e+00	3.553767240906e-12	2.961472700755e-02	2.484265017889e+01	1.000000000000e+00	3.933665660923e-01	1.000000000000e+00	2.506833514870e-01	6.209934299655e-01	6.956955861968e-03	6.542294673068e-01	3.089076190075e-01	3.551495454883e+09	9.541125569359e-01	2.080420360850e+00	5.145675094907e+01	5.020000000000e+01
WALLABY J130906+051433	NGC 4808 Kin TR1	2	1	mass0|gas1	9.382542947613e+00	3.844031071137e-01	2.260000000000e+00	1.396540839325e+09	3.932261372896e-01	1.132531834930e+00	2.211174727121e-12	1.842645605934e-02	2.530154747979e+01	6.387233461079e-01	5.816277804019e-01	5.443458235196e-01	1.623499063021e-01	4.537228650942e-01	1.134606271490e-02	8.750351355543e-01	2.769223780574e-01	3.551495454883e+09	9.541125569359e-01	2.080420360850e+00	5.145675094907e+01	5.020000000000e+01
WALLABY J130906+051433	NGC 4808 Kin TR1	3	1	mass0|gas1	1.313955163655e+01	5.383278822568e-01	1.880000000000e+00	2.072848768230e+09	5.836551938648e-01	1.150835915988e+00	1.673466679286e-12	1.394555566072e-02	2.604798183353e+01	9.781121939322e-03	7.134928586178e-01	4.814993295959e-01	1.039052745550e-01	3.364331989674e-01	4.039928281691e-02	9.404577067353e-01	2.695043812669e-01	3.551495454883e+09	9.541125569359e-01	2.080420360850e+00	5.145675094907e+01	5.020000000000e+01
WALLABY J130906+051433	NGC 4808 Kin TR1	4	1	mass0|gas1	1.689406563181e+01	6.921504497139e-01	1.480000000000e+00	2.756812989788e+09	7.762400444573e-01	9.773058752258e-01	1.346323715455e-12	1.121936429546e-02	2.649214412710e+01	6.229951002928e-01	8.109126499858e-01	5.529067520893e-01	5.861246692242e-02	2.367281846155e-01	5.726650715677e-02	8.196160899688e-01	3.434964923435e-01	3.551495454883e+09	9.541125569359e-01	2.080420360850e+00	5.145675094907e+01	5.020000000000e+01
WALLABY J130906+051433	NGC 4808 Kin TR1	5	1	mass0|gas1	2.065107432075e+01	8.460752248570e-01	9.099999999999e-01	3.271003275595e+09	9.210213886373e-01	6.555056950700e-01	1.069070198456e-12	8.908918320464e-03	2.610055300714e+01	9.507794353147e-01	8.993953187485e-01	8.697037112424e-01	2.291990038968e-02	1.253482378140e-01	4.241203520395e-02	5.375324549927e-01	5.063044328715e-01	3.551495454883e+09	9.541125569359e-01	2.080420360850e+00	5.145675094907e+01	5.020000000000e+01
WALLABY J131430-173154	NGC5044 Kin TR3	0	2	mass0|gas0	1.290288167954e+00	7.708119218911e-02	7.380000000000e+00	8.448882263766e+08	2.561120941440e-01	7.747712542454e-01	7.073532808648e-11	5.894610673873e-01	5.306850046404e+01	1.665409494752e-01	0.000000000000e+00	0.000000000000e+00	1.000000000000e+00	9.546542379763e-01	5.373184553781e-01	4.500435617427e-01	4.415602705555e-01	3.298900152296e+09	3.982205093412e-01	1.492301876912e+00	3.548547186212e+01	6.030000000000e+01
WALLABY J131430-173154	NGC5044 Kin TR3	1	2	mass0|gas0	3.865703351189e+00	2.309352517986e-01	5.650000000000e+00	2.294478626343e+09	6.955283641266e-01	4.905894573606e-01	2.140116978383e-11	1.783430815319e-01	5.052522901806e+01	2.012407712230e-01	1.083183272529e-01	2.140448727731e-01	6.433617960384e-01	8.575671571146e-01	5.014693554522e-01	7.186223848129e-01	6.060455038778e-01	3.298900152296e+09	3.982205093412e-01	1.492301876912e+00	3.548547186212e+01	6.030000000000e+01
WALLABY J131430-173154	NGC5044 Kin TR3	2	2	mass0|gas0	6.439398150201e+00	3.846865364851e-01	3.650000000000e+00	2.754978014809e+09	8.351201575142e-01	2.947968547814e-01	9.260578639005e-12	7.717148865837e-02	4.289601750617e+01	9.849062608776e-02	2.459302881337e-01	1.264851955098e-01	3.044402826843e-01	6.989458936557e-01	3.692663954418e-01	6.648448062704e-01	7.430736806463e-01	3.298900152296e+09	3.982205093412e-01	1.492301876912e+00	3.548547186212e+01	6.030000000000e+01
WALLABY J131430-173154	NGC5044 Kin TR3	3	2	mass0|gas0	9.014813333437e+00	5.385405960946e-01	1.820000000000e+00	2.999587127401e+09	9.092688438337e-01	2.140708384931e-01	5.144682147304e-12	4.287235122753e-02	3.782970161764e+01	4.929155964177e-01	4.901178585766e-01	3.956945447771e-01	1.215725428716e-01	5.163391529489e-01	2.560614936710e-01	5.480051403429e-01	8.066269292095e-01	3.298900152296e+09	3.982205093412e-01	1.492301876912e+00	3.548547186212e+01	6.030000000000e+01
WALLABY J131430-173154	NGC5044 Kin TR3	4	2	mass0|gas0	1.159022851667e+01	6.923946557040e-01	8.599999999996e-01	3.142414987613e+09	9.525644434631e-01	1.663390300898e-01	3.260544137473e-12	2.717120114561e-02	3.414808185333e+01	8.224451201009e-01	7.510067874813e-01	7.085819803876e-01	4.326825816998e-02	3.304206773190e-01	1.581618581828e-01	4.180559250731e-01	8.464330580026e-01	3.298900152296e+09	3.982205093412e-01	1.492301876912e+00	3.548547186212e+01	6.030000000000e+01
WALLABY J132202-201335	NGC5044 Kin TR3	0	1	mass0|gas1	9.793755760797e-01	9.057971014493e-02	4.600000000000e+00	8.821601576292e+07	8.358657826579e-02	1.081946305874e+00	1.281915634180e-11	1.068263028483e-01	1.968247141328e+01	4.265645479995e-01	0.000000000000e+00	0.000000000000e+00	1.000000000000e+00	8.212317011955e-01	4.015204057540e-02	3.055146464595e-01	2.978811449037e-01	1.055384938505e+09	7.020747583724e-01	1.573558167668e+00	2.693476179243e+01	5.120000000000e+01
WALLABY J132202-201335	NGC5044 Kin TR3	1	1	mass0|gas1	2.945961732848e+00	2.724637681159e-01	4.300000000000e+00	4.948013725924e+08	4.688349762629e-01	9.018840506024e-01	7.946707664088e-12	6.622256386740e-02	2.687710213438e+01	4.853392116622e-01	3.124948989575e-01	3.685981589468e-01	4.671667936457e-01	7.266050326472e-01	2.649015793375e-01	8.188298799867e-01	3.784148264536e-01	1.055384938505e+09	7.020747583724e-01	1.573558167668e+00	2.693476179243e+01	5.120000000000e+01
