component,radius_inner_kpc,nonnegative_prediction_lower_bound_rms,thin_source_rms,negative_measurement_pixels,evaluated_pixels,fraction_of_thin_squared_error_at_least_from_negatives
stellar_luminosity,0.0,0.0,0.00015722823302295286,0,45,0.0
stellar_luminosity,0.5,0.0,0.00021708248664601069,0,148,0.0
stellar_luminosity,1.0,0.0,0.011185200029152086,0,244,0.0
stellar_luminosity,1.5,0.0,0.12137975504557998,0,356,0.0
stellar_luminosity,2.0,0.0,0.0018896135413687704,0,452,0.0
stellar_luminosity,2.5,0.0,0.021295313584022986,0,531,0.0
atomic_helium,0.0,0.0,0.00019202703560574803,0,45,0.0
atomic_helium,0.5,0.0,0.0001577462965054513,0,148,0.0
atomic_helium,1.0,0.0,0.0001490696203660214,0,244,0.0
atomic_helium,1.5,0.0,0.0001770656578666616,0,356,0.0
atomic_helium,2.0,0.0,0.0016119536003608899,0,452,0.0
atomic_helium,2.5,0.0,0.00817922935396609,0,544,0.0
co21,0.0,0.0,0.00013164341897116348,0,45,0.0
co21,0.5,0.0,0.00022369827848423688,0,148,0.0
co21,1.0,0.005694592186339853,0.010654868960699204,7,244,0.28564658083603306
co21,1.5,0.08121032106583499,0.09439272771384563,48,356,0.740193696591778
co21,2.0,0.3876225830595196,0.42350825863899,148,452,0.837711302722551
co21,2.5,0.6464685441593572,0.6700199571072166,208,515,0.9309349134947219
