component,radius_inner_kpc,nonnegative_prediction_lower_bound_rms,thin_source_rms,negative_measurement_pixels,evaluated_pixels,fraction_of_thin_squared_error_at_least_from_negatives
stellar_luminosity,all,0.0,0.05227956610634372,0,1776,0.0
atomic_helium,all,0.0,0.0012529929916955942,0,1789,0.0
co21,all,0.09234263480365776,0.0985328283404459,411,1760,0.8782994802660354
