resolution,scenario,algorithm,group,pairs,fractional_gain,kms_gain,galaxies_improved,incremental_gain_over_local,fixed_prediction_bootstrap_025,fixed_prediction_bootstrap_975
NA,nominal,ridge,local,868,-0.05914818857291437,-0.36909810800740006,4,0.0,0.0,0.0
NA,nominal,ridge,gas_surroundings,868,-0.12520815087322856,-0.23495222468084087,4,-0.0623708400892633,-0.25111893432331744,0.07681207041156911
NA,nominal,trees,local,868,0.024906122890805182,-0.5905180873173794,3,0.0,0.0,0.0
NA,nominal,trees,gas_surroundings,868,0.012238698059964914,-0.6018312000066957,3,-0.012990979769450073,-0.05269532569214366,0.013127314263094944
NA,nominal,gpu_rbf_features,local,868,-0.23525819054377228,-1.5756478207894058,3,0.0,0.0,0.0
NA,nominal,gpu_rbf_features,gas_surroundings,868,-0.09650126635576428,-0.5368831707275705,3,0.11233030086359996,-0.15756507221295785,0.3974335910671714
NA,lighter_stars,ridge,local,868,-0.06648181431341982,0.07436642611525246,3,0.0,0.0,0.0
NA,lighter_stars,ridge,gas_surroundings,868,-0.1464429816485513,0.06445379276300467,3,-0.07497658775045202,-0.2736632560887259,0.029997605370143402
NA,lighter_stars,trees,local,868,0.01096077453732125,-0.033155605262674026,6,0.0,0.0,0.0
NA,lighter_stars,trees,gas_surroundings,868,-0.008374227989418337,-0.03381256319641257,6,-0.019549277752552774,-0.08997131866254326,0.008314125337348406
NA,lighter_stars,gpu_rbf_features,local,868,-0.2778506774814651,-0.7134504832137814,4,0.0,0.0,0.0
NA,lighter_stars,gpu_rbf_features,gas_surroundings,868,-0.08196911631680415,-0.005743131430656634,4,0.15328986760074892,-0.07345691819617692,0.43951551755647067
NA,heavier_stars,ridge,local,868,0.10077376756867717,-0.1260692547309865,7,0.0,0.0,0.0
NA,heavier_stars,ridge,gas_surroundings,868,0.028843365555185962,-0.021605965107837966,6,-0.07999144088468846,-0.2934429618250121,0.08211898076233355
NA,heavier_stars,trees,local,868,0.167589115288572,-0.38262791971578203,7,0.0,0.0,0.0
NA,heavier_stars,trees,gas_surroundings,868,0.1386172668846698,-0.38907299046936017,6,-0.03480474479132489,-0.10964963445557635,0.006630317260794758
NA,heavier_stars,gpu_rbf_features,local,868,-0.024289930234072887,-1.1116927139684107,6,0.0,0.0,0.0
NA,heavier_stars,gpu_rbf_features,gas_surroundings,868,0.07962427496940194,-0.26595490786117315,6,0.10144999197612758,-0.17198614980000906,0.3878255025148896
NA,inclination_minus5,ridge,local,868,-0.3198110077880376,-0.4963869268177654,1,0.0,0.0,0.0
NA,inclination_minus5,ridge,gas_surroundings,868,-0.41732893704436314,-0.3381308246378725,2,-0.07388779808691148,-0.28028730220209275,0.052374717167534335
NA,inclination_minus5,trees,local,868,-0.2652657983321236,-0.6867143756186509,2,0.0,0.0,0.0
NA,inclination_minus5,trees,gas_surroundings,868,-0.394606968315119,-0.834684371035777,0,-0.10222450504351999,-0.5528494560127253,-0.0031478156500048945
NA,inclination_minus5,gpu_rbf_features,local,868,-0.45344670695817113,-1.721700472213609,2,0.0,0.0,0.0
NA,inclination_minus5,gpu_rbf_features,gas_surroundings,868,-0.3396526259102739,-0.694764346674521,2,0.07829257206550766,-0.10379845761016768,0.3416964622201481
NA,inclination_plus5,ridge,local,868,0.20102095974546108,-0.10490595845517103,4,0.0,0.0,0.0
NA,inclination_plus5,ridge,gas_surroundings,868,0.10444412001179659,-0.30721638419137887,4,-0.1208753107001368,-0.3327467343688406,-0.026756930422186402
NA,inclination_plus5,trees,local,868,0.25684518190226147,-0.16491171828058415,4,0.0,0.0,0.0
NA,inclination_plus5,trees,gas_surroundings,868,0.2234486569077534,-0.18363837859472754,4,-0.04493885282207222,-0.14635481561014407,0.003489662541158133
NA,inclination_plus5,gpu_rbf_features,local,868,0.1097637336115529,-0.792572129222372,4,0.0,0.0,0.0
