galaxy,galactic_longitude_deg,galactic_latitude_deg,quadrupole_axis_angle_deg,octopole_axis_angle_deg,inclination_deg
ESO116-G012,273.27712823622323,-50.825054283451,54.706944137353176,61.82461537495478,74.0
ESO444-G084,315.1198231458453,33.73823637873584,59.038553847190784,54.057817664548146,32.0
IC2574,140.20689965023,43.60721439258866,47.80412583228952,55.00664890747709,75.0
NGC0024,43.69173670294963,-80.4347889058824,11.235471661405803,16.653814714464293,64.0
NGC0055,332.88221298454226,-75.73091295575371,20.929403873179456,28.295500393990686,77.0
NGC0247,113.94703707586389,-83.5570802251996,19.487316673891673,22.581486250720538,74.0
NGC0289,299.12458410157546,-85.91307303967264,22.200694168041466,27.945901632448283,46.0
NGC0300,299.2087455919094,-79.41887502855478,25.569488423706613,32.20026982988007,42.0
NGC0801,138.21857507062407,-22.45713954037535,70.48233444242929,65.2175438216105,80.0
NGC1003,144.0051551415839,-17.545030567193315,77.04725907322566,72.08323916460263,67.0
NGC1090,173.50909141516362,-51.44385954584544,53.78496953151422,53.664446419533704,64.0
NGC2403,150.56902829757283,29.185829454743132,57.095962253875605,63.270993821251764,63.0
NGC2683,190.45485426955906,38.76073201764347,35.36183351011884,38.000600282967724,80.0
NGC2841,166.94204778985855,44.151271440975314,37.91129339385161,43.655653832273764,76.0
NGC2903,208.7115288975629,44.54005806713921,25.893365019641877,25.982879688027392,66.0
NGC2915,291.96607076607575,-18.357257158893947,80.39328540392185,87.94320738573242,56.0
NGC2955,188.44540876180125,48.942314315443376,26.596020153642836,30.63577838316197,56.0
NGC2976,143.91440210714197,40.902494372758355,48.899021396891364,55.87870625414532,61.0
NGC2998,175.71812934580277,49.8102160754627,30.00029830844334,35.4952603983728,58.0
NGC3109,262.1016893381607,23.070178444211678,51.382888430171384,43.93908436424532,70.0
NGC3198,171.21868094961133,54.82886020102364,27.462451719688243,33.795231207575135,73.0
NGC3521,255.53176715822383,52.8292067268126,21.848731947987734,14.258330332299149,75.0
NGC3726,155.37891267184395,64.87864666569165,25.727805911599685,33.24862695705115,53.0
NGC3741,157.57129063714967,66.44661940034591,24.043776631832962,31.588289730748485,70.0
NGC3769,152.72178051297996,64.74938570279032,26.667790034909597,34.20947523702027,70.0
NGC3877,150.72033243788405,65.95662319744375,26.5097557049636,34.08558415162539,76.0
NGC3893,148.15506388265428,65.22734752692027,27.787262200601443,35.36533222312448,49.0
NGC3917,143.64975477873608,62.79362723451,30.900837336056963,38.473165243543605,79.0
NGC3949,147.63377505771214,66.40575949305052,27.164704766385125,34.753599105396844,55.0
NGC3953,142.2179453783722,62.59013056592535,31.495582228226468,39.07304913139325,62.0
