name	z	T500_keV	T500_flag	T2500_keV	r500_kpc	r500_flag	r2500_kpc	r2500_ep	r2500_em	M500_Msun	M500_flag	M500_from_r500_Msun	fgas500	fgas500_flag	Mgas500_Msun	M2500_Msun	fgas2500	Mgas2500_Msun
NGC 6269	0.0348	1.72	E	2.16	645	E	232	27	21	8.49e+13	E	8.5254e+13	0.076	E	6.4524e+12	1.9837e+13	0.044	8.7281e+11
ESO 306-017	0.0358	2.37	E	2.54	690	E	337	16	14	1.03e+14	E	1.0445e+14	0.081	E	8.343e+12	6.0844e+13	0.052	3.1639e+12
NGC 5098	0.0368	0.96		1.05	398		195	17	13	2e+13		2.006e+13	0.108		2.16e+12	1.1797e+13	0.048	5.6624e+11
A1139	0.0398	2.01	S	2.2	650	S	298	37	36			8.7581e+13				4.2198e+13	0.026	1.0971e+12
A160	0.0447	1.68		2.05	626		286	25	23	7.9e+13		7.8525e+13	0.085		6.715e+12	3.7441e+13	0.043	1.61e+12
UGC 842	0.0452	1.54	E	1.78	570	E	276	23	29	5.6e+13	E	5.9303e+13	0.056	E	3.136e+12	3.3663e+13	0.032	1.0772e+12
A2717	0.0498	2.43		2.6	732		342	13	11	1.29e+14		1.2604e+14	0.076		9.804e+12	6.4272e+13	0.053	3.4064e+12
RXJ 1022+3830	0.0543	1.94		2.36	631		326	25	23	8e+13		8.1014e+13	0.075		6e+12	5.5859e+13	0.038	2.1226e+12
AS1101	0.0564	2.57	E	2.69	768	E	362	21	18	1.41e+14	E	1.463e+14	0.114	E	1.6074e+13	7.6607e+13	0.085	6.5116e+12
ESO 351-021	0.0571	1.14		1.34	437		194	28	35	3.22e+13		2.6968e+13	0.074		2.3828e+12	1.1797e+13	0.036	4.247e+11
A3880	0.0581	2.49		2.75	799		309	24	12	1.49e+14		1.6496e+14	0.088		1.3112e+13	4.7708e+13	0.074	3.5304e+12
A1991	0.0587	2.68		2.86	749		348	13	10	1.34e+14		1.3595e+14	0.094		1.2596e+13	6.8179e+13	0.066	4.4998e+12
A1275	0.0637	1.46	E	1.63	592	E	202	12	9	6.9e+13	E	6.7389e+13	0.094	E	6.486e+12	1.3386e+13	0.069	9.2363e+11
A2092	0.0669	1.67	E	2.14	659	E	283	34	24	8.95e+13	E	9.3189e+13	0.078	E	6.981e+12	3.6901e+13	0.05	1.845e+12
RXJ 1206-0744	0.068	1.91	S	2.14	624	S	248	28	27			7.9183e+13				2.4854e+13	0.053	1.3173e+12
A1238	0.072	2.51	S	2.88	725	S	272	63	59			1.2458e+14				3.2894e+13	0.035	1.1513e+12
A744	0.0729	2.24	S	2.49	681	S	325	30	24			1.0332e+14				5.6152e+13	0.046	2.583e+12
A2462	0.0733	2.32		2.62	646		327	13	12	8.8e+13		8.8222e+13	0.099		8.712e+12	5.7213e+13	0.052	2.9751e+12
RXJ 1159	0.0543	1.84	E	2.12	630	E	273	15	13	8.3e+13	E	8.0629e+13	0.065	E	5.395e+12	3.2804e+13	0.042	1.3778e+12
A1692	0.0848	2.61		3.06	658		356	42	32	9.7e+13		9.4081e+13	0.09		8.73e+12	7.4498e+13	0.043	3.2034e+12
A2550	0.122	1.95		2.05	617		286	9	9	7.9e+13		7.994e+13	0.093		7.347e+12	3.9809e+13	0.067	2.6672e+12
