system,probe,r_kpc,g_bar,g_obs,boost,err_boost,geometry,source,assumes
CamB,rotation_curve,0.16,2.124908088041714e-12,8.021131290080394e-13,0.37748132896762415,0.569067330101946,disk,SPARC,none
CamB,rotation_curve,0.41,4.965352083982455e-12,1.851639007873364e-12,0.3729119257920295,0.23114375565621664,disk,SPARC,none
CamB,rotation_curve,0.57,5.720879452723729e-12,2.6212844287451225e-12,0.458196060659366,0.20244303121916024,disk,SPARC,none
CamB,rotation_curve,0.73,6.2130666738937905e-12,3.492800932571032e-12,0.5621701996611698,0.1901364824107677,disk,SPARC,none
CamB,rotation_curve,0.9,6.117615463818251e-12,4.278188748654278e-12,0.6993229263847989,0.19247419992242173,disk,SPARC,none
CamB,rotation_curve,1.06,5.728303637175385e-12,5.087717750532423e-12,0.8881717996780573,0.20655158132047843,disk,SPARC,none
CamB,rotation_curve,1.22,5.0153888545088644e-12,5.740163907016662e-12,1.144510241086535,0.23357351858908879,disk,SPARC,none
CamB,rotation_curve,1.47,4.226051150235345e-12,6.222296235733182e-12,1.4723665224417997,0.2629225932931785,disk,SPARC,none
CamB,rotation_curve,1.79,2.8769094791518544e-12,7.314565590661553e-12,2.542508078084532,0.37947881762455704,disk,SPARC,none
D512-2,rotation_curve,0.96,4.284163372833898e-12,1.770309444976583e-11,4.132217403757772,0.9780182676142848,disk,SPARC,none
D512-2,rotation_curve,1.92,4.45029213325316e-12,1.894252373739031e-11,4.256467479033413,0.6886583204883912,disk,SPARC,none
D512-2,rotation_curve,2.88,3.0028892105403492e-12,1.5571944485780176e-11,5.185654013182228,1.1681661459802977,disk,SPARC,none
D512-2,rotation_curve,3.83,2.2596718596845794e-12,1.0905349232451155e-11,4.826076487925729,1.6077959553089616,disk,SPARC,none
D564-8,rotation_curve,0.51,2.0503139670475505e-12,4.634416055412561e-12,2.260344576438756,0.8099126936654092,disk,SPARC,none
D564-8,rotation_curve,1.02,2.0940104744668915e-12,7.244412605747154e-12,3.4595875684869672,0.6460951617969038,disk,SPARC,none
D564-8,rotation_curve,1.53,1.7265018667311038e-12,8.30402034401156e-12,4.809737251969552,0.8744976821762821,disk,SPARC,none
D564-8,rotation_curve,2.04,1.3557395059979322e-12,7.619167426521626e-12,5.6199346502876395,0.9340895948423292,disk,SPARC,none
D564-8,rotation_curve,2.56,1.0516955429304885e-12,7.291753401249822e-12,6.933331086420481,1.0919996461112258,disk,SPARC,none
D564-8,rotation_curve,3.07,8.320764163354391e-13,6.597677706523545e-12,7.929172822347835,1.3003843428650446,disk,SPARC,none
D631-7,rotation_curve,0.45,8.675209672120727e-12,5.093648036927778e-12,0.5871498476050774,0.22061754083615273,disk,SPARC,none
D631-7,rotation_curve,0.9,1.0909014020748938e-11,1.1408983445195033e-11,1.0458308535945735,0.2608701679752756,disk,SPARC,none
D631-7,rotation_curve,1.35,1.1867945008743392e-11,1.6227902219736228e-11,1.3673725491465247,0.24717888388417947,disk,SPARC,none
D631-7,rotation_curve,1.8,1.0420489048276934e-11,1.7190713740857636e-11,1.6497031627992722,0.23704472630513818,disk,SPARC,none
