name	z	kT_keV	r500_Mpc	M500_1e14	Mgas500_1e13	Mstar3d500_1e13	fgas	fstar
Abell 0122	0.1134	3.65	0.89	2.26	1.98	0.55	0.088	0.024
Abell 1651	0.0845	6.1	1.18	5.15	6.7	0.65	0.13	0.013
Abell 2401	0.0571	2.06	0.68	0.95	0.85	0.27	0.089	0.028
Abell 2721	0.1144	4.78	1.03	3.46	4.36	0.57	0.126	0.017
Abell 2811	0.1079	4.89	1.04	3.59	4.47	0.47	0.125	0.013
Abell 2955	0.0943	2.13	0.68	0.99	0.66	0.3	0.067	0.03
Abell 2984	0.1042	2.08	0.67	0.95	1.05	0.39	0.111	0.041
Abell 3112	0.075	4.54	1.02	3.23	4.29	0.7	0.133	0.022
Abell 3693	0.1237	3.63	0.9	2.26	2.49	0.51	0.11	0.023
Abell 4010	0.0963	3.78	0.92	2.41	2.87	0.56	0.119	0.023
Abell S0084	0.11	3.75	0.91	2.37	2.09	0.52	0.088	0.022
Abell S0296	0.0696	2.7	0.78	1.45	1.09	0.29	0.075	0.02
Abell 0478	0.0881	7.09	1.28	6.58	11.5		0.173	
Abell 2029	0.0773	8.41	1.42	8.71	12.0		0.13	
Abell 2390	0.2329	10.6	1.5	11.8	17.2		0.144	
