name	z	kT_keV	kT_err	R500_kpc	R500_err	M500_Msun	M500_err_Msun	Mgas500_Msun	Mgas500_err_Msun	R2500_kpc	R2500_err	M2500_Msun	M2500_err_Msun	Mgas2500_Msun	Mgas2500_err_Msun
NGC4936	0.012	0.85	0.03	417	21	2.07e+13	3.2e+12	1.69e+12	2.4e+11	187	9	9.3e+12	1.4e+12	4.9e+11	2e+10
S0753	0.013	1.51	0.03	547	36	4.67e+13	9.4e+12	3.53e+12	1.9e+11	211	5	1.33e+13	1.1e+12	6.2e+11	4e+10
HCG62	0.015	1.05	0.01	437	6	2.39e+13	5.4e+12	2.01e+12	2.2e+11	202	1	1.17e+13	2.4e+12	4.9e+11	8e+10
S0805	0.015	1.01	0.01	427	58	2.22e+13	9.7e+12	1.71e+12	4.2e+11	155	13	5.3e+12	1.3e+12	1.7e+11	4e+10
NGC3402	0.016	0.96	0.02	470	9	2.95e+13	1.8e+12	1.35e+12	1.6e+11	210	2	1.32e+13	2.9e+12	4.9e+11	2e+10
A194	0.018	1.37	0.04	463	23	2.83e+13	4.3e+12	2.72e+12	2.6e+11	197	11	1.09e+13	1.3e+12	4.7e+11	6e+10
RXCJ1840.6-7709	0.019	1.17	0.04	488	12	3.31e+13	2.4e+12	1.71e+12	1.7e+11	219	5	1.49e+13	1e+12	5.3e+11	4e+10
WBL154	0.023	1.19	0.02	508	8	3.53e+13	1.8e+12	2.71e+12	1.6e+11	233	4	1.71e+13	7e+11	6e+11	4e+10
S0301	0.023	1.35	0.03	497	47	3.49e+13	8.6e+12	3.06e+12	4.4e+11	230	8	1.73e+13	3.2e+12	9.1e+11	5e+10
NGC1132	0.024	1.08	0.01	490	9	3.35e+13	1.9e+12	2.47e+12	6e+10	215	2	1.41e+13	4e+11	6.9e+11	1e+10
IC1633	0.024	2.8	0.06	797	80	1.44e+14	2.62e+13	1.15e+13	1.65e+12	289	35	3.43e+13	1.25e+13	1.59e+12	4.3e+11
NGC4325	0.026	1	0.01	435	3	2.34e+13	5e+11	1.69e+12	3e+10	205	1	1.22e+13	1e+11	6.2e+11	1e+10
RXCJ2315.7-0222	0.027	1.39	0.02	552	25	4.78e+13	6.8e+12	3.79e+12	1.5e+11	253	10	2.3e+13	3e+12	1.14e+12	9e+10
NGC6338	0.028	1.97	0.09	671	39	8.59e+13	1.5e+13	6.34e+12	3.3e+11	295	15	3.66e+13	1.3e+12	1.96e+12	1.7e+11
IIIZw054	0.029	2.17	0.02	694	14	9.51e+13	5.7e+12	9.06e+12	3.7e+11	307	5	4.11e+13	1.9e+12	2.42e+12	1e+11
IC1262	0.031	1.87	0.02	625	11	6.96e+13	3.7e+12	5.34e+12	2.9e+11	208	13	1.28e+13	2.3e+12	6.2e+11	1.1e+11
AWM4	0.033	2.45	0.03	724	38	1.08e+14	1.72e+13	6.5e+12	3.5e+11	309	12	4.19e+13	4.9e+12	2.16e+12	1.5e+11
A3390	0.033	1.58	0.06	543	21	4.37e+13	5.1e+12	1.94e+12	1.9e+11	253	14	2.22e+13	3.7e+12	5.1e+11	7e+10
CID28	0.034	2.01	0.02	655	11	8e+13	4.2e+12	6.27e+12	1.6e+11	295	3	3.66e+13	1.3e+12	1.77e+12	4e+10
UGC03957	0.034	2.66	0.03	751	20	1.21e+14	9.5e+12	8.17e+12	4.6e+11	357	5	6.47e+13	2.8e+12	3.05e+12	1.3e+11
