mode,band,q,q_pass
0,DC,0.9728972693852443,True
1,low,0.9699948850973257,True
2,low,0.9753007035430146,True
3,low,1.0477534947289144,True
24,low,1.0196254995784966,True
25,low,0.9808959873037922,True
26,low,1.086284267578688,True
48,low,0.9730806635837248,True
49,low,0.9675537277226246,True
50,low,0.9988830913816594,True
72,low,0.8627572739624699,True
4,middle,1.0130919240071556,True
5,middle,0.9706467400657772,True
6,middle,0.9332281615783069,True
7,middle,0.9963649193039439,True
8,middle,1.0364749109788571,True
27,middle,0.9518522409956253,True
28,middle,0.913851169495441,True
29,middle,0.8616264811725068,True
30,middle,0.9954322123922269,True
31,middle,0.9377903837719924,True
51,middle,1.0037561129169237,True
52,middle,0.9845752522597548,True
53,middle,0.9595193440880794,True
54,middle,0.9703581641250222,True
55,middle,0.8776584174100464,True
73,middle,1.040143021921766,True
74,middle,1.0588032387879953,True
75,middle,0.9958135540142815,True
76,middle,1.077667045441425,True
77,middle,1.0535004397462495,True
78,middle,0.981339864963539,True
79,middle,0.9286005349569024,True
96,middle,1.0062767584227674,True
97,middle,1.0299160844911495,True
98,middle,1.0227403813643094,True
99,middle,0.9536297998524407,True
100,middle,0.9914324311283115,True
101,middle,0.9566795519314324,True
102,middle,1.0089045447678802,True
120,middle,1.1001448697642067,True
121,middle,0.9372230730457903,True
122,middle,1.1425197545732384,True
123,middle,0.9575680591416696,True
124,middle,0.9847648241279272,True
125,middle,1.027844098452201,True
126,middle,0.993017672489259,True
144,middle,0.9930904344723037,True
145,middle,1.102834442363571,True
146,middle,0.8610116134714838,True
147,middle,1.0525545917228176,True
148,middle,0.9305288004568679,True
149,middle,0.9831700998354543,True
168,middle,1.0165295550043676,True
169,middle,1.0456489887983498,True
170,middle,0.9742075944046794,True
171,middle,0.9700672111719393,True
192,middle,0.9694360999775256,True
9,high,1.0635203887640043,True
10,high,0.9222911143273371,True
11,high,0.9631109866120957,True
12,high,0.941725718948541,True
13,high,0.9449013445915753,True
14,high,1.0153089387403258,True
15,high,1.0836900105845195,True
16,high,1.0266675281969084,True
17,high,0.9753560167336174,True
18,high,1.004830872262613,True
19,high,0.9404982464962961,True
20,high,0.9964726348142973,True
21,high,0.9381850154960502,True
22,high,0.9890931317178838,True
23,high,0.9376945518259371,True
32,high,0.9284124129262963,True
33,high,0.9508292876563667,True
