band,group,q
DC,all,0.9728972693852445
DC,channel_eigen_quartile_1,1.107326374435167
DC,channel_eigen_quartile_2,0.9059451101980815
DC,channel_eigen_quartile_3,0.9408847452399675
DC,channel_eigen_quartile_4,0.9306851530814859
low,all,0.9882129594480713
low,frequency_lower,0.9837795478212711
low,frequency_upper,0.9926463710748714
low,channel_eigen_quartile_1,1.062696250807103
low,channel_eigen_quartile_2,0.977135658381199
low,channel_eigen_quartile_3,0.9247063412760373
low,channel_eigen_quartile_4,0.9819729882987297
middle,all,0.9905071376516118
middle,frequency_lower,0.9980256821978114
middle,frequency_upper,0.9826616998642732
middle,channel_eigen_quartile_1,1.0024043806349223
middle,channel_eigen_quartile_2,0.9844784186303636
middle,channel_eigen_quartile_3,0.9710912993139692
middle,channel_eigen_quartile_4,1.003467599630986
high,all,1.0005493174857465
high,frequency_lower,0.9996972020555495
high,frequency_upper,1.0014214043713392
high,channel_eigen_quartile_1,1.0385606854030627
high,channel_eigen_quartile_2,1.0195262288673255
high,channel_eigen_quartile_3,0.9871013241077375
high,channel_eigen_quartile_4,0.9513102036349712
DC,fixed_original_channel_quartile_1,1.107326374435167
DC,fixed_original_channel_quartile_2,0.9059451101980815
DC,fixed_original_channel_quartile_3,0.9408847452399675
DC,fixed_original_channel_quartile_4,0.930685153081486
