case,conversion,fill,stellar_msun,atomic_helium_msun,molecular_helium_msun,total_msun
nominal,nominal,zero,17835081058.84064,9434158514.874794,899311191.8410962,28168550765.55653
nominal,nominal,annular,18234000586.78649,9434156978.700203,932642553.3067243,28600800118.79342
nominal,low_conversion,zero,11890054039.227097,9434158514.874794,268759666.5272242,21592972220.629116
nominal,low_conversion,annular,12156000391.190994,9434156978.700203,278720763.057182,21868878132.94838
nominal,high_conversion,zero,23780108078.454193,9434158514.874794,2150077332.2177935,35364343925.54678
nominal,high_conversion,annular,24312000782.38199,9434156978.700203,2229766104.457456,35975923865.53965
registration_reverse,nominal,zero,17834860585.28215,9434158514.874794,899311191.8410962,28168330291.99804
registration_reverse,nominal,annular,18232906577.85248,9434156978.700203,932642553.3067243,28599706109.85941
registration_reverse,low_conversion,zero,11889907056.854769,9434158514.874794,268759666.5272242,21592825238.256786
registration_reverse,low_conversion,annular,12155271051.901655,9434156978.700203,278720763.057182,21868148793.65904
registration_reverse,high_conversion,zero,23779814113.709538,9434158514.874794,2150077332.2177935,35364049960.802124
registration_reverse,high_conversion,annular,24310542103.80331,9434156978.700203,2229766104.457456,35974465186.96097
distance_low,nominal,zero,13915904421.461123,7361045781.445151,701691713.6245688,21978641916.53084
distance_low,nominal,annular,14227163226.75806,7361044582.837826,727698662.4498974,22315906472.045784
distance_low,low_conversion,zero,9277269614.307417,7361045781.445151,209700971.8878022,16848016367.640371
distance_low,low_conversion,annular,9484775484.505375,7361044582.837826,217473163.49077398,17063293230.833975
distance_low,high_conversion,zero,18554539228.614834,7361045781.445151,1677607775.1024177,27593192785.162403
distance_low,high_conversion,annular,18969550969.01075,7361044582.837826,1739785307.9261918,28070380859.77477
distance_high,nominal,zero,22239877335.746643,11764147717.89347,1121417420.3764584,35125442474.01657
distance_high,nominal,annular,22737319502.62437,11764145802.32413,1162980752.1035967,35664446057.05209
distance_high,low_conversion,zero,14826584890.497765,11764147717.89347,335136240.5722749,26925868848.96351
distance_high,low_conversion,annular,15158213001.749582,11764145802.32413,347557466.1459025,27269916270.219612
distance_high,high_conversion,zero,29653169780.99553,11764147717.89347,2681089924.5781994,44098407423.4672
distance_high,high_conversion,annular,30316426003.499165,11764145802.32413,2780459729.16722,44861031534.99052
intrinsic_flat,nominal,zero,17939483398.215874,9917224694.437609,899234646.0308318,28755942738.684315
intrinsic_flat,nominal,annular,18343683820.636448,9917231833.636997,931584042.8574591,29192499697.130905
intrinsic_flat,low_conversion,zero,11959655598.810585,9917224694.437609,268736790.76783484,22145617084.01603
intrinsic_flat,low_conversion,annular,12229122547.090967,9917231833.636997,278404426.60107976,22424758807.329044
intrinsic_flat,high_conversion,zero,23919311197.62117,9917224694.437609,2149894326.1426787,35986430218.201454
intrinsic_flat,high_conversion,annular,24458245094.181934,9917231833.636997,2227235412.808638,36602712340.62757
intrinsic_thicker,nominal,zero,17312145652.152336,7501862437.561973,898977537.6430687,25712985627.357376
intrinsic_thicker,nominal,annular,17698345032.636063,7501872162.561615,947516415.621857,26147733610.819534
intrinsic_thicker,low_conversion,zero,11541430434.768227,7501862437.561973,268659953.7783884,19311952826.10859
intrinsic_thicker,low_conversion,annular,11798896688.424044,7501872162.561615,283165825.35825616,19583934676.343914
intrinsic_thicker,high_conversion,zero,23082860869.536453,7501862437.561973,2149279630.227107,32734002937.32553
intrinsic_thicker,high_conversion,annular,23597793376.848087,7501872162.561615,2265326602.8660493,33364992142.275753
pa_low,nominal,zero,17831489736.46402,9407200825.975918,899235839.8495727,28137926402.28951
pa_low,nominal,annular,18242739647.86301,9407199964.218174,923155920.7306099,28573095532.811794
pa_low,low_conversion,zero,11887659824.309347,9407200825.975918,268737147.54125166,21563597797.826515
pa_low,low_conversion,annular,12161826431.908676,9407199964.218174,275885677.4597225,21844912073.58657
