# DECADE (DELVE DR3) tangential shear profiles around eFEDS X-ray systems.
# See acquire_decade.py for every cut and convention.  g_t and g_x are
# metacalibration-response-corrected reduced shear; err is shape noise.
id	z	bin	R_Mpc	theta_arcmin	n	gt	gx	err	R11	R22	beta	beta2
082626.5-003429	0.1610	0	0.33939	2.0406	24	0.0113328	-0.0034149	0.0448028	0.64398	0.71180	0.75460	0.57210
082626.5-003429	0.1610	1	0.45354	2.7268	39	-0.0546473	0.0287259	0.0411187	0.69804	0.73374	0.76253	0.58427
082626.5-003429	0.1610	2	0.59237	3.5615	100	-0.0081449	-0.0259191	0.0284314	0.79648	0.69932	0.73366	0.54389
082626.5-003429	0.1610	3	0.79206	4.7621	188	0.0100925	0.0036248	0.0222333	0.73361	0.76609	0.71592	0.51863
082626.5-003429	0.1610	4	1.06513	6.4039	301	-0.0116705	-0.0014528	0.0152845	0.71434	0.70971	0.72985	0.53817
082626.5-003429	0.1610	5	1.39682	8.3982	549	0.0245283	0.0135288	0.0128597	0.73537	0.73296	0.72581	0.53278
082626.5-003429	0.1610	6	1.87507	11.2736	868	-0.0050819	0.0036794	0.0104656	0.72781	0.74299	0.71917	0.52362
082626.5-003429	0.1610	7	2.49071	14.9750	1600	0.0013979	-0.0146077	0.0074047	0.72745	0.73278	0.72057	0.52570
082626.5-003429	0.1610	8	3.29790	19.8281	2732	-0.0137767	0.0045371	0.0055630	0.75410	0.72629	0.72058	0.52566
082626.5-003429	0.1610	9	4.40651	26.4935	4222	0.0032540	-0.0057005	0.0043923	0.73093	0.74197	0.72540	0.53257
082751.7-002853	0.2570	0	0.33722	1.4086	22	-0.0273825	-0.0443808	0.0529366	0.81447	0.66725	0.55092	0.31349
082751.7-002853	0.2570	1	0.45186	1.8874	27	0.0824149	0.0202550	0.0390924	0.72028	0.79989	0.56407	0.32927
082751.7-002853	0.2570	2	0.59247	2.4748	35	0.0469047	0.1528483	0.0413109	0.65213	0.76930	0.59841	0.36684
082751.7-002853	0.2570	3	0.79074	3.3030	67	-0.0299600	0.0485362	0.0364440	0.77842	0.78739	0.58116	0.34528
082751.7-002853	0.2570	4	1.04404	4.3610	102	0.0244815	-0.0306806	0.0271566	0.76500	0.70619	0.60352	0.37522
082751.7-002853	0.2570	5	1.42027	5.9325	168	0.0354883	-0.0321938	0.0244896	0.77271	0.75178	0.60683	0.37704
082751.7-002853	0.2570	6	1.87431	7.8291	369	-0.0163306	-0.0087523	0.0153500	0.73892	0.74064	0.61270	0.38455
