==============================================================================
ACQUIRE -- DECADE raw shear around the eFEDS systems
==============================================================================

   542 eFEDS systems with a Bahar+2022 density fit
   1/542  082626.5-003429  rad 0.501 deg  2 s elapsed
   26/542  083330.4+050427  rad 0.401 deg  39 s elapsed
   51/542  083806.9-003600  rad 0.251 deg  75 s elapsed
   76/542  083936.0+011445  rad 0.534 deg  112 s elapsed
   101/542  084124.1-023350  rad 0.414 deg  174 s elapsed
   126/542  084324.2-001438  rad 0.292 deg  211 s elapsed
   151/542  084640.3-010423  rad 0.362 deg  275 s elapsed
   176/542  085056.4+005607  rad 0.315 deg  338 s elapsed
   201/542  085438.5+001211  rad 0.462 deg  377 s elapsed
   226/542  085801.1-004103  rad 0.361 deg  417 s elapsed
   251/542  090105.2-012525  rad 0.257 deg  456 s elapsed
   276/542  090333.8+043950  rad 0.388 deg  495 s elapsed
   301/542  090718.6+035258  rad 0.191 deg  559 s elapsed
   326/542  090932.5-005020  rad 0.169 deg  622 s elapsed
   351/542  091336.6+031723  rad 0.556 deg  660 s elapsed
   376/542  091555.6-013248  rad 0.230 deg  697 s elapsed
   401/542  091957.7+035012  rad 0.222 deg  733 s elapsed
   426/542  092235.8-002443  rad 1.299 deg  856 s elapsed
   451/542  092553.3+015519  rad 0.377 deg  893 s elapsed
   476/542  092821.1+041941  rad 0.512 deg  932 s elapsed
   501/542  093049.2-003714  rad 0.290 deg  970 s elapsed
   526/542  093522.2+032329  rad 0.296 deg  1010 s elapsed

   wrote decade_efeds_shear_profiles.tsv: 5411 rows, 542 systems queried, 1077 s
