# Chiu+2022 Fig. 8 model curve, RGB (0.216, 0.494, 0.722)
R_hinvMpc	g_plus
0.233071	0.02434063
0.310307	0.02179112
0.413138	0.01866950
0.550046	0.01502297
0.732324	0.01144926
0.975004	0.00833208
1.298100	0.00591420
1.728266	0.00414926
2.300974	0.00286546
3.063465	0.00193730
