# eFEDS x HSC overlap, SAMPLED from Chiu+2022 Fig. 1.
# Each row is one plotted HSC S19A weak-lensing source from a
# random subset the authors drew for the figure.  This is a
# sampling of the coverage, NOT the survey mask.
RAdeg	DEdeg
138.13251	3.58291
142.92991	3.47424
131.27825	0.98517
130.50793	1.76313
139.10729	0.12837
140.49398	4.17008
137.03294	0.88713
129.16841	2.33170
135.79074	1.99007
131.90290	0.83333
139.15164	2.27892
138.76784	-1.38268
135.64145	4.44359
141.87845	-1.39257
137.03314	2.53944
130.40083	1.64890
142.96698	-0.84535
139.66278	-1.49072
145.18755	2.25252
131.07716	3.56865
145.34553	-0.97101
144.08992	-1.29234
134.83975	0.70260
140.75563	-0.09004
136.84797	0.43048
134.19665	-1.49490
139.68527	1.10723
141.04269	-1.14332
132.92596	0.44868
138.80246	4.29161
144.00361	2.71831
141.85207	2.73070
135.80152	2.48796
137.74645	2.86476
136.96493	-1.08426
142.90136	3.38500
133.04411	4.39574
144.17018	-0.50815
129.88155	1.91368
130.16540	3.43398
144.38584	0.92476
132.94706	-0.94618
141.42704	0.53206
138.40745	3.43671
142.75517	1.37826
134.12725	-0.76121
143.57737	-0.99503
143.87565	2.76766
139.45881	3.08803
139.11459	3.44649
132.20706	0.01737
143.69023	1.69470
142.51132	1.92539
138.80120	0.82223
138.71111	2.79223
137.27174	3.17676
131.00763	0.84120
143.99473	-0.71675
134.96194	0.42558
142.73496	-0.62142
140.06569	-0.04773
132.91705	-1.45994
144.65820	2.28753
138.95335	3.20366
133.41460	0.55305
143.96818	2.47024
139.99933	-0.77593
138.33420	0.48916
142.06937	1.88155
137.21005	-0.86233
135.36098	2.30678
129.75072	2.42318
140.38528	-0.05768
131.08595	4.08778
131.23169	1.48558
145.75525	-0.21268
128.99558	0.01065
139.56798	2.45012
140.48967	-0.21401
130.24405	3.30676
131.81666	4.13456
136.08527	0.26135
144.07339	1.95045
136.82753	3.13731
128.81906	-0.90966
143.87006	-0.72379
137.67467	1.16913
128.80822	1.10236
134.10176	-0.85742
143.12751	-0.47521
136.64445	4.50819
137.50714	0.88653
141.85067	0.22616
128.69756	2.76759
133.84395	1.16254
134.02086	3.06962
128.91319	-1.38767
129.66089	0.22267
143.61548	2.18874
131.29573	-0.38337
128.63474	-0.23097
141.94969	0.77802
138.60062	1.93543
143.22696	3.34422
129.51902	-1.05672
137.76185	1.09166
140.12001	0.77713
140.22378	2.13163
144.16180	0.30292
144.54872	0.68671
137.13817	4.11677
140.35763	3.56981
136.73967	2.35221
143.59755	1.49827
135.30035	-1.20319
142.39011	1.38799
132.46237	-0.00349
132.50739	3.61289
139.14761	-0.61050
132.39409	1.29048
145.42158	2.72289
144.17013	2.77410
133.39968	4.23318
137.95130	-0.29999
139.70761	2.67768
134.91245	-1.25787
